Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Plutôt pas d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.7227154297657034,0.2392857537093983,0.39040964000000006,0.33230613,0.15084899,0.08843692000000002,0.03799813,"q12v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Le second tour de l'élection présidentielle n'a pas permis d'exprimer le vrai choix des électeurs"
Gender,Man,2929.637,0.7049998999999999,0.2605691421838269,0.3921703,0.31226056,0.16185558,0.09871356,0.035,"q12v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Le second tour de l'élection présidentielle n'a pas permis d'exprimer le vrai choix des électeurs"
Gender,Woman,3049.36,0.7393636697536531,0.21883867434478055,0.3877981,0.35156525000000005,0.14027498,0.07856383,0.04179726,"q12v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Le second tour de l'élection présidentielle n'a pas permis d'exprimer le vrai choix des électeurs"
Age,18-24,478.2759,0.6765528014269587,0.2549999,0.3484677,0.32829042999999997,0.1949999,0.05996881999999999,0.06827315,"q12v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Le second tour de l'élection présidentielle n'a pas permis d'exprimer le vrai choix des électeurs"
Age,25-34,836.9062,0.7549999,0.19616499435659573,0.41399909000000007,0.3442326,0.12157408,0.075,0.045194229999999995,"q12v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Le second tour de l'élection présidentielle n'a pas permis d'exprimer le vrai choix des électeurs"
Age,35-49,1494.556,0.755,0.21409274727745228,0.38759371,0.36723039999999996,0.14434247,0.06975028,0.031082610000000004,"q12v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Le second tour de l'élection présidentielle n'a pas permis d'exprimer le vrai choix des électeurs"
Age,50-64,1554.412,0.7254974871526982,0.24203177793274885,0.41659341,0.30890465,0.14132695,0.10070469999999998,0.03247187,"q12v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Le second tour de l'élection présidentielle n'a pas permis d'exprimer le vrai choix des électeurs"
Age,65+,1614.848,0.6853765803344959,0.2776023501902346,0.36987870000000006,0.31751936,0.16807178999999997,0.10953024999999998,0.0349999,"q12v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Le second tour de l'élection présidentielle n'a pas permis d'exprimer le vrai choix des électeurs"
Socio-Professional Category,Total-CSP+,1734.019,0.7182770200326525,0.25780830544532674,0.38561088,0.33266573,0.16943223,0.08837608,0.02391536,"q12v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Le second tour de l'élection présidentielle n'a pas permis d'exprimer le vrai choix des électeurs"
Socio-Professional Category,Small Business owners,212.9949,0.6951894153334187,0.2947203900187282,0.37627394,0.31891571,0.21358216,0.08113823,0.0100902,"q12v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Le second tour de l'élection présidentielle n'a pas permis d'exprimer le vrai choix des électeurs"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.675,0.2949999,0.3499920199999999,0.325,0.19259819999999997,0.10271697,0.02969281,"q12v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Le second tour de l'élection présidentielle n'a pas permis d'exprimer le vrai choix des électeurs"
Socio-Professional Category,Prof Intermed,896.9079,0.7474397315488022,0.22869694870565863,0.40640605,0.34103323,0.14558474,0.08311219,0.023862679999999997,"q12v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Le second tour de l'élection présidentielle n'a pas permis d'exprimer le vrai choix des électeurs"
Socio-Professional Category,Total-CSP-,1674.09,0.7683511639159185,0.1826735121767647,0.41124846,0.35789862,0.11687795,0.0649999,0.04897507,"q12v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Le second tour de l'élection présidentielle n'a pas permis d'exprimer le vrai choix des électeurs"
Socio-Professional Category,Salaried,956.6466,0.775,0.18078159688227605,0.41911913999999995,0.35528303,0.12028747,0.06049406,0.04481564,"q12v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Le second tour de l'élection présidentielle n'a pas permis d'exprimer le vrai choix des électeurs"
Socio-Professional Category,Blue collar,717.4432,0.7602833227773292,0.1849999,0.39841755,0.36138624,0.1123316,0.07286461,0.055,"q12v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Le second tour de l'élection présidentielle n'a pas permis d'exprimer le vrai choix des électeurs"
