Indicator,Category,BASE,ST Improbable,ST probable,Tout à fait improbable,Plutôt improbable,Plutôt probable,Tout à fait probable,No rep.,Question
Total,Total,1998.234,0.3563556620495898,0.6046283868656024,0.12794533,0.22841029,0.38962816000000006,0.21499990000000002,0.03901632,"comp2v13b_i4_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques cachent délibérément les informations les plus importantes au public"
Gender,Man,969.0054,0.37206789559686665,0.5924699697235949,0.15176448,0.22030331,0.36941982,0.22304994,0.03546286,"comp2v13b_i4_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques cachent délibérément les informations les plus importantes au public"
Gender,Woman,1029.229,0.345,0.6149998999999999,0.10551986,0.2360428,0.40422919,0.21184615,0.04236187,"comp2v13b_i4_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques cachent délibérément les informations les plus importantes au public"
Age,18-24,151.2158,0.3962956251926055,0.5639846497522084,0.12971667,0.26657902,0.36898514000000016,0.1949999,0.03971927,"comp2v13b_i4_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques cachent délibérément les informations les plus importantes au public"
Age,25-34,288.6909,0.3711363953626526,0.585,0.14780587,0.22333066,0.37590609999999997,0.20795746999999998,0.0449999,"comp2v13b_i4_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques cachent délibérément les informations les plus importantes au public"
Age,35-49,506.8327,0.285,0.6925883037933426,0.08644434,0.19549536,0.46327905,0.22978135,0.0249999,"comp2v13b_i4_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques cachent délibérément les informations les plus importantes au public"
Age,50-64,529.153,0.32111960056921157,0.6381725134318429,0.12637961,0.19473990000000002,0.38843321,0.2497393,0.04070762,"comp2v13b_i4_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques cachent délibérément les informations les plus importantes au public"
Age,65+,522.3425,0.445,0.5049999,0.15831051,0.28621431,0.32472181,0.18383308,0.046919670000000004,"comp2v13b_i4_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques cachent délibérément les informations les plus importantes au public"
Socio-Professional Category,Total-CSP+,508.5243,0.38836806815328195,0.5881899842347751,0.11329647,0.27507161,0.3873278,0.20086218,0.023442180000000003,"comp2v13b_i4_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques cachent délibérément les informations les plus importantes au public"
Socio-Professional Category,Small Business owners,59.56604,0.42730740536050404,0.5496806569649417,0.07938246,0.34792493,0.36585477,0.18382572,0.023012090000000002,"comp2v13b_i4_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques cachent délibérément les informations les plus importantes au public"
