Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,Je ne sais pas,No rep.,Moyenne,Question
Total,Total,5979.002,0.165,0.3449999,0.3575996462285846,0.03811039,0.010021749999999998,0.01938998,0.01822801,0.01982346,0.05865701000000001,0.06165955000000001,0.1349999,0.14973807,0.12726706,0.23037396000000013,0.11977447,0.01195639,7.414689,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Gender,Man,2929.637,0.16984530848019738,0.32660653862577516,0.39867089335641237,0.04623515,0.011521299999999998,0.01926204,0.02314848,0.02114005,0.0485382,0.05660677,0.12275958,0.14724032,0.13219942,0.2673295999999999,0.08901919,0.0149999,7.460576,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Gender,Woman,3049.36,0.15883667392502032,0.36549177532334653,0.3149999,0.03030469,0.00858109,0.01951291,0.01350074,0.01855859,0.06837861,0.06651402,0.14683963,0.15275335999999998,0.12252856,0.1949999,0.14932238,0.00820552,7.36785,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Age,18-24,478.2759,0.14499990000000001,0.395,0.2827108788044725,0.02466419,0.00793631,0.00369191,0.02038685,0.0099773,0.08249443,0.06934364,0.17850823999999998,0.14575528,0.08111378999999999,0.20159705,0.15949116,0.0150398,7.397635,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Age,25-34,836.9062,0.1913318362320652,0.3619703139969569,0.2725037764088735,0.03452375,0.005615969999999999,0.03178931,0.024415230000000003,0.02923907,0.06574843,0.09292646999999998,0.135,0.13432628,0.10084812,0.17122553999999987,0.14934183,0.025,7.00833,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Age,35-49,1494.556,0.20503393650020474,0.3609635905245438,0.29055558975374624,0.05081901999999999,0.01549621,0.022218070000000003,0.01820238,0.02760367,0.07069464,0.07162268,0.1309344,0.15840664,0.10842069,0.18213495999999998,0.13405807,0.00938815,6.992085,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Age,50-64,1554.412,0.1549999,0.33024494149556227,0.3852828593706173,0.03999336,0.0067297,0.0149999,0.012378470000000003,0.01679528,0.06334958,0.06189169,0.13756906,0.13078412,0.12682519,0.2592307099999998,0.12318799999999999,0.00626494,7.542319,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Age,65+,1614.848,0.1249999,0.3265635527306595,0.45928632292327204,0.030377270000000005,0.01102495,0.01847641,0.0200364,0.01357416,0.0322641,0.035,0.12370087,0.16912743,0.1724963,0.28552418999999984,0.07618277,0.01221515,7.860227,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Socio-Professional Category,Total-CSP+,1734.019,0.17355288494532067,0.37030245920027405,0.342313146511082,0.04029621,0.01023709,0.02127944,0.01621599,0.02178029,0.06374388,0.08189143,0.14068271,0.14772837,0.11930896,0.22300413,0.10558298,0.00824858,7.300035,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Socio-Professional Category,Small Business owners,212.9949,0.2349999,0.295,0.3257719316284099,0.0732764,0.00580163,0.0735443,0.01384571,0.02723366,0.04201524,0.135,0.08805337999999999,0.07042868,0.11091956,0.215,0.1416209000000001,0.00326054,6.60917,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.17709227879624473,0.362891107832885,0.3849999,0.044651199999999995,0.00776455,0.01733488,0.01576238,0.01712599,0.07445337,0.07263221,0.11884278000000001,0.17141607,0.14499990000000001,0.24147588000000006,0.06697737,0.00656342,7.435901,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Socio-Professional Category,Prof Intermed,896.9079,0.1549999,0.395,0.3166796724613531,0.0307363,0.012690190000000002,0.01211827,0.01755434,0.02422352,0.06362369,0.07748883,0.16970526999999996,0.145,0.105294,0.21065657999999995,0.12011178,0.01079723,7.333112,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Socio-Professional Category,Total-CSP-,1674.09,0.18017143642217565,0.3508791642026414,0.3068922817769654,0.03443312,0.01148158,0.01652634,0.021775800000000005,0.02618492,0.06976973,0.07033791,0.14226893,0.13827237,0.10906887,0.19830647999999984,0.14499990000000001,0.01657405,7.216951,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Socio-Professional Category,Salaried,956.6466,0.17219922173977306,0.35567658945320035,0.3049999,0.03728702,0.011167350000000001,0.01100957,0.02477384,0.01627855,0.07168293,0.05680186,0.15862378,0.14025116,0.11197008,0.19472895999999998,0.15832963,0.00709484,7.260274,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Socio-Professional Category,Blue collar,717.4432,0.19080172479159324,0.345,0.3049999,0.03062772,0.01190057,0.02388248,0.01777819,0.03939418,0.06721866,0.08838702,0.12046123,0.13563386,0.10499990000000001,0.20214996000000005,0.12835249,0.02921374,7.159721,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,Far left,187.3446,0.12155493139380584,0.5179861068853866,0.22090468580359401,0.01505382,0.01171828,0.011709640000000002,0.01482535,0.0,0.06824787,0.16405847999999998,0.17574432,0.17818336,0.09880867,0.12209596999999998,0.08966717,0.04988757,7.172002,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,Radical left,828.7407,0.17037729654160827,0.4690935294960173,0.26225042404699084,0.03311463,0.01946211,0.015,0.02361437,0.00369771,0.07589445,0.10128022,0.19584007999999997,0.17156668999999997,0.10797558,0.15427479,0.07604181,0.02223756,7.077826,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,Left,1430.296,0.13934514254392097,0.4039761699676151,0.37780277648822347,0.02804789,0.01002882,0.00895145,0.0164377,0.0141399,0.06173942,0.05979308,0.17207333,0.17211025,0.1452154,0.23258738,0.07005137,0.00882496,7.616198,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,PC/LFI,641.3963,0.195,0.4548125706369058,0.2743269644679896,0.03838998,0.02172399,0.01543659,0.026181540000000003,0.005,0.07812791,0.08294334000000002,0.2020124699999997,0.16963397,0.11065312,0.16367385000000004,0.07206195,0.01416129,7.051923,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,PS,449.3176,0.085,0.36034511000681924,0.4849999,0.00599403,0.0,0.00282222,0.00972599,0.01599028,0.04847794,0.04124167,0.16301599000000003,0.15613915,0.16180944,0.32499989999999995,0.06190634,0.00787705,8.261826,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,EELV,339.583,0.1249999,0.3656885061973067,0.4289443228901329,0.03769441,0.00120883,0.00481229,0.0049999,0.0293745,0.04833192000000001,0.04061340000000001,0.12715631,0.19791865000000003,0.18853918,0.24231992999999996,0.07703068,0,7.810406,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,EM,672.9198,0.04042321239470142,0.345,0.5546359313546726,0.00486931,0.0,0.00501812,0.00971482,0.011195190000000002,0.00962578,0.04789513000000001,0.12894658,0.16785849,0.17194293,0.38269256,0.06024027999999999,0,8.554712,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,MoDem,161.1257,0.0649999,0.3743291107501783,0.5253669029831989,0.01368258,0.0030463200000000004,0.0,0.005,0.01474721,0.030869150000000005,0.05410118,0.09963295999999999,0.22059498,0.23582396,0.28943591000000013,0.02747765,0.0055881,8.310496,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,Right,573.0042,0.13052253369172512,0.395,0.4216024943621705,0.03976987,0.00857904,0.02030085,0.02468809,0.00970329,0.0274814,0.03549157,0.17703396,0.18127248999999998,0.13329037,0.28831202,0.049564170000000005,0.00451296,7.701014,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,UDI/PR,89.32552,0.07208464053721714,0.425,0.48991598369648454,0.0,0.0085156,0.0085156,0.01420011,0.01103145,0.02982189,0.02770647,0.20741419,0.18823992999999997,0.12813225,0.3618199499999998,0.0049999,0.00960266,8.277642,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,LR,397.5368,0.09619964742886696,0.4145347047116141,0.435,0.02999516,0.00744673,0.02099969,0.011357379999999999,0.00818609,0.0182146,0.03648437,0.1749999,0.20221983999999998,0.13737745,0.29678108999999997,0.05279295,0.00314475,7.913373,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,Radical right,1008.8,0.3018085844567803,0.29935428231562256,0.29025793021411583,0.09389726,0.023398699999999998,0.03510094,0.04392827,0.03573462,0.06974882,0.06932864,0.12233584,0.10768993,0.09437223,0.1958858,0.10606959,0.00250985,6.348423,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,Debout la France,86.14185,0.3495172207237248,0.2674460787642708,0.2966500022927299,0.12611895,0.01387032,0.02929657,0.09708371999999998,0.0149999,0.06781985,0.03898279,0.15108556,0.07737771,0.11977744,0.17775010999999988,0.08083718,0.0049999,6.043438,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,Reconquete,205.4045,0.4749999,0.225,0.24155809634160885,0.1549999,0.05060391,0.07367409,0.05599352,0.04717869,0.09499990000000001,0.06018223,0.07714359,0.08668875,0.12869262,0.1130612,0.05011112,0.0066704799999999995,5.211628,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,RN,717.2537,0.2449999,0.325,0.30343684528919124,0.072723,0.01675212,0.0247516,0.03408912,0.035,0.0624992,0.07559246,0.13182503,0.11734456,0.08154858,0.2217958499999999,0.12512518,0.0009533,6.738081,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,No preference,1860.95,0.17666444557887098,0.2949999,0.295,0.03209904,0.00715996,0.026305600000000002,0.01214634,0.02072539,0.078228,0.060101940000000006,0.10377017,0.13372192,0.10695365,0.18700099000000003,0.21915151,0.01263619,7.237085,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Politics,Total-left,1649.278,0.13355589536754872,0.3865541770398926,0.39714056696324085,0.01886837,0.00986215,0.01296769,0.01560624,0.013311520000000002,0.0629399,0.059195859999999996,0.15718721,0.17017137,0.14723618,0.2503393700000001,0.06731424,0.0149999,7.73135,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Politics,Very Left,217.9165,0.14365144447529213,0.3063134273907666,0.3883890848100075,0.03707051,0.01080422,0.01117253,0.02457501,0.00202175,0.05800745,0.029796049999999998,0.09652165,0.17999573,0.10072376000000001,0.28766546,0.09941334999999998,0.06223306,7.732485,"q3v13b. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
