Indicator,Category,BASE,ST Inquiet,ST pas Inquiet,Très inquiet,Plutôt inquiet,Plutôt pas inquiet,Pas du tout inquiet,No rep.,Question
Total,Total,5979.002,0.7947824737305658,0.18681930529543223,0.25498135,0.53980029,0.14890385,0.03791542,0.01839819,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Gender,Man,2929.637,0.775566392696433,0.21068091371046993,0.2292271,0.54634004,0.16843175,0.04224916,0.01375325,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Gender,Woman,3049.36,0.8132444185009313,0.165,0.27972522,0.53227114,0.13014285,0.035,0.02286079,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Age,18-24,478.2759,0.7504950594416319,0.22201557720136017,0.27262256,0.47787250000000003,0.17965875,0.04235683,0.02748947,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Age,25-34,836.9062,0.7284321707737379,0.24908609829871017,0.23772818999999998,0.49070433,0.19820500999999996,0.05088117,0.0224814,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Age,35-49,1494.556,0.7749999,0.205,0.22358560000000002,0.5512419300000001,0.155,0.05060703999999999,0.01956543,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Age,50-64,1554.412,0.815,0.17334985833871588,0.27581401,0.53595421,0.1349999,0.0382362,0.01499568,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Age,65+,1614.848,0.8434670012285985,0.14074971762048194,0.2684660600000001,0.5749999,0.12292413999999999,0.01782554,0.01578436,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Socio-Professional Category,Total-CSP+,1734.019,0.7592881046862807,0.22931092450544083,0.24807035,0.51121793,0.1757712,0.05353986,0.011400649999999998,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Socio-Professional Category,Small Business owners,212.9949,0.6925447510715045,0.305,0.26247422,0.43007072,0.23963146999999999,0.06513123,0.00269261,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.7592236903256967,0.22032851795319394,0.20687226,0.55235143,0.16016554,0.060162959999999994,0.02044791,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Socio-Professional Category,Prof Intermed,896.9079,0.7749999,0.2156950563151467,0.27153544,0.5049999,0.1677616,0.04793352,0.00776954,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Socio-Professional Category,Total-CSP-,1674.09,0.7759212467669002,0.1913947278820135,0.24503695,0.5308837,0.14305079,0.04834395,0.03268403,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Socio-Professional Category,Salaried,956.6466,0.7832565338130089,0.18618871378417068,0.2530852,0.53017154,0.14860002,0.03758872,0.0305543,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Socio-Professional Category,Blue collar,717.4432,0.7649999,0.1983366766874367,0.23430552,0.5318343,0.13565149,0.06268514,0.03552382,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Political similarity,Far left,187.3446,0.7298192742144689,0.26313525983668595,0.23007538,0.49974384,0.21148958,0.05164569,0.00704594,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Political similarity,Radical left,828.7407,0.725,0.2649999,0.20536025,0.51680544,0.20457979,0.06180346999999999,0.01145188,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Political similarity,Left,1430.296,0.8001113056318412,0.1876975115640399,0.23732549,0.56278533,0.14820002,0.03949749,0.01219217,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Political similarity,PC/LFI,641.3963,0.7199294726209055,0.2673317572926442,0.19814115,0.5215587,0.20256135,0.065,0.0127388,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Political similarity,PS,449.3176,0.8668961554143438,0.1249999,0.275,0.59189595,0.1028651,0.0238061,0.00643285,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Political similarity,EELV,339.583,0.8631872031285428,0.11803238089068062,0.26224687,0.60093998,0.10550793000000001,0.01252446,0.01878008,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Political similarity,EM,672.9198,0.8201357724947311,0.17678570314025532,0.25869338,0.56144165,0.14911212,0.02767364,0.00307888,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Political similarity,MoDem,161.1257,0.879000680834901,0.12099931916509904,0.2433752,0.63562548,0.112614,0.00838533,0,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Political similarity,Right,573.0042,0.8594502448673151,0.13808399659199705,0.29233957,0.56711068,0.12111782,0.01696617,0.002466,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Political similarity,UDI/PR,89.32552,0.8649998999999999,0.12909927644417857,0.12218255,0.7433655,0.10953951,0.01955971,0.00535286,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
Political similarity,LR,397.5368,0.875,0.12432625105399045,0.32832206,0.545,0.11188848,0.01243777,0.00235169,"q2v13b_i2. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- D'une possible extension du conflit au-delà de l'Ukraine"
