Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Plutôt pas d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.8123089773176191,0.15252162484642084,0.25814977,0.55415904,0.12270198,0.029819659999999998,0.035169,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Gender,Man,2929.637,0.7934709999907837,0.17032502661592544,0.2433935,0.55007805,0.13617428,0.03415072,0.03620479,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Gender,Woman,3049.36,0.8304080200435502,0.13541756302961933,0.27232731,0.55808071,0.10975883,0.0256587,0.03417389,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Age,18-24,478.2759,0.7967537147491647,0.19121099348723197,0.23146828,0.56528564,0.1545938,0.03661719,0.01203529,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Age,25-34,836.9062,0.8232806735091698,0.13626521108339262,0.30430662,0.51897429,0.1097257,0.026539470000000003,0.04045386,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Age,35-49,1494.556,0.8029782758223847,0.1579853816116626,0.22947732,0.57350109,0.13503776,0.02294764,0.0390356,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Age,50-64,1554.412,0.8049999,0.15737179074788407,0.2732576,0.53211028,0.11819916,0.03917266,0.03726161,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Age,65+,1614.848,0.8265490002774255,0.13976268973922004,0.255,0.57154844,0.11289911,0.02686362,0.03368883,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Socio-Professional Category,Total-CSP+,1734.019,0.8220186745358614,0.16190428132563714,0.24363032,0.57838813,0.14324007,0.01866418,0.016077,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Socio-Professional Category,Small Business owners,212.9949,0.859437009994136,0.12934427068441545,0.22678252,0.63265458,0.11641269,0.01293161,0.01121879,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.8118499792876387,0.165,0.23685012,0.5749999,0.13805542,0.02634525,0.023749309999999996,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Socio-Professional Category,Prof Intermed,896.9079,0.8249998999999999,0.16568022201610666,0.25173042,0.57468587,0.1506682,0.01501205,0.00790231,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Socio-Professional Category,Total-CSP-,1674.09,0.8189900184577891,0.13130273760669978,0.27072421,0.54826557,0.10263564000000001,0.02866713,0.04970731,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Socio-Professional Category,Salaried,956.6466,0.8297865690423193,0.11697558952281857,0.27112311,0.55866346,0.08697681,0.02999876,0.05323775000000001,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Socio-Professional Category,Blue collar,717.4432,0.8045935901267165,0.15040674996989306,0.27019226,0.5344009399999999,0.12351528,0.026891520000000002,0.045,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Political similarity,Far left,187.3446,0.7786165173695958,0.20293928941640163,0.28849009,0.49012606,0.17999884,0.022940490000000004,0.01844483,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Political similarity,Radical left,828.7407,0.7430744019208905,0.2305528134433364,0.22211507000000003,0.52095945,0.18887753000000002,0.04167533,0.026373229999999998,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Political similarity,Left,1430.296,0.7831854385385961,0.19614583275070335,0.21961481999999996,0.5625340400000001,0.165,0.0321817,0.02066944,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Political similarity,PC/LFI,641.3963,0.7326927205535797,0.23861846412272725,0.20272755,0.52996533,0.19147086,0.04714754,0.02868902,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Political similarity,PS,449.3176,0.8349998999999999,0.15584924783716464,0.24499990000000002,0.59127437,0.13812559,0.01772368,0.00787646,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Political similarity,EELV,339.583,0.8083078363757902,0.16924262993141587,0.21537515,0.59293251,0.14619807,0.02304455,0.02244917,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Political similarity,EM,672.9198,0.8991248288429022,0.08791861972258803,0.34569082,0.55343371,0.08111983,0.00679878,0.01295668,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Political similarity,MoDem,161.1257,0.7719308589504964,0.22422208251073542,0.23316206,0.53761587,0.2130958,0.01112627,0.005,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Political similarity,Right,573.0042,0.8549998999999999,0.12743503450760046,0.24220346,0.6126389,0.115,0.01323793,0.01691971,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Political similarity,UDI/PR,89.32552,0.8381043849506837,0.15427035857166016,0.23535525000000002,0.60274925,0.12383056999999999,0.03043987,0.00762531,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
Political similarity,LR,397.5368,0.8479869033508344,0.13165908162464454,0.22820806,0.61977935,0.11941785000000002,0.012241219999999999,0.02035401,"q10v13b_i1. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- Il vaut mieux choisir soigneusement les personnes avec qui on parle de politique"
