Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Plutôt pas d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.775,0.1749999,0.2755791,0.49874598,0.13235274,0.0449999,0.048322279999999995,"q56_i10. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- Le régime démocratique est irremplaçable, c'est le meilleur système possible"
Gender,Man,2929.637,0.7923872479764558,0.16891795809514965,0.31318341,0.47920544,0.12773518,0.04118275,0.03869479,"q56_i10. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- Le régime démocratique est irremplaçable, c'est le meilleur système possible"
Gender,Woman,3049.36,0.7549999,0.1863472663116195,0.24108088000000005,0.5149999,0.1367892,0.04955814,0.057571880000000006,"q56_i10. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- Le régime démocratique est irremplaçable, c'est le meilleur système possible"
Age,18-24,478.2759,0.7963027198317958,0.15343344709612172,0.27542763,0.52087508,0.11404080999999999,0.03939264,0.05026379,"q56_i10. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- Le régime démocratique est irremplaçable, c'est le meilleur système possible"
Age,25-34,836.9062,0.6843593702615657,0.266567627292043,0.22401782,0.45940999000000005,0.21249943999999998,0.055,0.04907275,"q56_i10. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- Le régime démocratique est irremplaçable, c'est le meilleur système possible"
Age,35-49,1494.556,0.7202326309619713,0.2159741086985031,0.21340351,0.50682892,0.15869549,0.057278659999999995,0.06379264,"q56_i10. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- Le régime démocratique est irremplaçable, c'est le meilleur système possible"
Age,50-64,1554.412,0.7788790873976784,0.1767737253701078,0.30278562,0.47609373,0.13063782,0.04613581,0.04434806,"q56_i10. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- Le régime démocratique est irremplaçable, c'est le meilleur système possible"
Age,65+,1614.848,0.858438688966392,0.10469598377060875,0.33343801000000006,0.525,0.0735102,0.03118578,0.03686601,"q56_i10. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- Le régime démocratique est irremplaçable, c'est le meilleur système possible"
Socio-Professional Category,Total-CSP+,1734.019,0.7823103437736264,0.19037599934026095,0.28899089,0.4933202,0.14670958,0.04366647,0.02731258,"q56_i10. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- Le régime démocratique est irremplaçable, c'est le meilleur système possible"
Socio-Professional Category,Small Business owners,212.9949,0.6587946471957778,0.3049999,0.2453617,0.4134329,0.18498766999999997,0.1206073,0.0356106,"q56_i10. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- Le régime démocratique est irremplaçable, c'est le meilleur système possible"
