Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,Je ne sais pas,No rep.,Moyenne,Question
Total,Total,1455.142,0.16352837042707857,0.3270001828000291,0.3715516423826678,0.04084335,0.00816518,0.02238803,0.02002192,0.02032619,0.05178366000000001,0.05131266,0.145,0.13110315,0.13875663,0.2320186800000002,0.125,0.01328055,7.42249,"q3v13b_groupe2. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Gender,Man,693.0328,0.18359866950020262,0.3177667781380622,0.41374953681845944,0.03938477,0.01126658,0.03081566,0.02821636,0.03176899,0.04214639,0.04948026,0.13362656,0.135,0.15280691,0.25999869,0.07048883,0.015,7.419385,"q3v13b_groupe2. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Gender,Woman,762.1102,0.1452768904024641,0.3349999,0.335,0.042169679999999994,0.00534487,0.015,0.01257021,0.00992054,0.06054735,0.052978899999999995,0.15454852,0.12786854,0.12597979,0.2069229200000002,0.17388233,0.012266349999999999,7.425665,"q3v13b_groupe2. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Age,18-24,110.8492,0.1268204912620028,0.3949999,0.3354664715667772,0.02690235,0.007703340000000001,0.0,0.00555723,0.0027632799999999995,0.08389432,0.03370596,0.2037782,0.15937896,0.10684723,0.22861924,0.12345745,0.0173922,7.689497,"q3v13b_groupe2. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Age,25-34,193.4098,0.15998811849244454,0.395,0.2638318223792176,0.04882652999999999,0.00200455,0.03065974,0.02624326,0.01494007,0.03731396,0.10566362,0.15737848,0.13157694,0.09344402,0.1703878,0.17668919,0.00487183,6.990753,"q3v13b_groupe2. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Age,35-49,363.697,0.19694833886449434,0.3341567293653783,0.3068053902011839,0.041139770000000006,0.01749909,0.03112093,0.023331,0.01630889,0.06754867,0.06469679,0.14318397,0.12627594,0.09738362,0.2102114299999998,0.1463,0.0149999,7.070039,"q3v13b_groupe2. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Age,50-64,383.5679,0.20689499825193922,0.28698047985767317,0.3730434689659901,0.06582084,0.00687981,0.02380984,0.00945895,0.04132606,0.05959951,0.03398976,0.145,0.10813178,0.12931124,0.2435916300000002,0.11347834,0.01960224,7.186724,"q3v13b_groupe2. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Age,65+,403.6189,0.105,0.3049999,0.49000356524434313,0.01684282,0.00405491,0.0153526,0.0280697,0.01139386,0.02826523,0.03450564,0.12319681000000002,0.14929016,0.21549026,0.27451341,0.09111181,0.00791246,8.051441,"q3v13b_groupe2. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Socio-Professional Category,Total-CSP+,419.1823,0.13866193777743002,0.3746291291402333,0.3321237561795906,0.02631781,0.00495596,0.01801777,0.020796730000000003,0.01679511,0.05177855,0.06067095,0.16852482,0.14499990000000001,0.12499990000000001,0.20755721,0.14577228,0.00881301,7.490214,"q3v13b_groupe2. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Socio-Professional Category,Small Business owners,47.15336,0.10132658627084051,0.32598928263012433,0.33905197848043067,0.0,0.0,0.028526620000000003,0.01864557,0.0,0.05415438,0.10878891999999998,0.14073635,0.07646407,0.23000143,0.10905057,0.23363234,0,7.560182,"q3v13b_groupe2. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
