Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,Je ne sais pas,No rep.,Moyenne,Question
Total,Total,1575.317,0.255,0.365,0.2249999,0.05421812,0.0327449,0.0250265,0.03048548,0.045,0.06733603,0.08615802,0.1296148,0.14880002,0.07285886,0.15238405000000002,0.13334377,0.02202945,6.497854,"q4v13b_groupe3. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Gender,Man,798.5598,0.27703160113995223,0.3649999,0.235,0.07844674,0.03704047,0.0249999,0.03940186,0.04955589,0.04708481,0.08395575,0.12172722999999999,0.1649999,0.0773016,0.15898872999999997,0.08708462000000002,0.0294125,6.331466,"q4v13b_groupe3. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Gender,Woman,776.7581,0.23091745036195951,0.35704101444194786,0.21670169902315792,0.029309399999999996,0.02832872,0.02453765,0.02131881,0.03926721,0.08815562,0.08842190000000001,0.13772357,0.13089558,0.06829138,0.1484103,0.18090111,0.01443914,6.685672,"q4v13b_groupe3. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Age,18-24,117.067,0.19566487566948843,0.3788426285802148,0.19340736501319758,0.03870914,0.00555668,0.006658999999999999,0.02922467,0.06105642,0.05445896,0.10290458,0.11589585,0.1600422,0.05868019000000001,0.13472712,0.21370079,0.0183839,6.781349,"q4v13b_groupe3. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Age,25-34,203.9082,0.3349999,0.3209116651512789,0.17561142710298067,0.03666616,0.07864564,0.06375369,0.04115811,0.04321586,0.07249086,0.08964950999999999,0.11843673,0.11282548,0.07160928,0.105,0.14134873999999994,0.02519994,5.788922,"q4v13b_groupe3. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Age,35-49,432.3072,0.31358094429146677,0.36725226875703204,0.14222333100165807,0.09863095,0.03708983,0.01445935,0.02993432,0.07306809,0.06039855,0.09896192,0.16184967999999988,0.10676856999999998,0.0649999,0.07689537,0.15554367,0.0213998,5.69287,"q4v13b_groupe3. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Age,50-64,399.3349,0.245,0.3742430225858045,0.21630523653204367,0.03822048,0.02984846,0.02906863,0.02921485,0.035,0.08336023,0.06013474,0.12422065,0.18852987999999993,0.06200951,0.155,0.14361575,0.02177682,6.686156,"q4v13b_groupe3. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Age,65+,422.7003,0.185,0.36980574653010656,0.35328056308453054,0.03667137,0.01642502,0.0184202,0.0274503,0.020845,0.0603724,0.09132539000000002,0.11127007,0.16721036000000003,0.09499990000000001,0.25828070000000014,0.07433707,0.022392219999999997,7.332077,"q4v13b_groupe3. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Socio-Professional Category,Total-CSP+,464.3317,0.2949999,0.4069226804889694,0.18094711173068734,0.05362464,0.055,0.03351475,0.03291623,0.05236677000000001,0.07220593,0.10912604000000001,0.15058070000000004,0.14705897,0.06278559,0.1181615,0.08634513,0.026313749999999997,6.112864,"q4v13b_groupe3. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Socio-Professional Category,Small Business owners,66.37943,0.4487323859213615,0.3086038852698796,0.12201163824395599,0.12794789,0.10195606,0.00633421,0.13163453,0.08085965999999999,0.0,0.12237675000000002,0.08082144,0.1054057,0.05819555999999999,0.06381608,0.0803652,0.04028679,4.705924,"q4v13b_groupe3. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Socio-Professional Category,Cadres/Prof Lib,157.6206,0.23429665919302428,0.4590802851911489,0.20559228933273951,0.05410668,0.020417679999999997,0.02115424,0.01153211,0.04980709,0.07727886,0.07499990000000001,0.14899931,0.23508124,0.08945005,0.11614223999999998,0.0808008,0.0202298,6.699877,"q4v13b_groupe3. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
