Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Ni d'accord ni pas d'accord,Pas vraiment d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.7833344093211542,0.065,0.33143207,0.45163827,0.13351544,0.04782552,0.015,0.0205887,"pop1_i8. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les hommes politiques élus aideraient davantage le pays s'ils cessaient de parler et s'ils prenaient simplement des mesures sur les problèmes importants"
Gender,Man,2929.637,0.8009630544671574,0.06383842093747451,0.34867835,0.45342877000000004,0.11714547,0.04769379,0.0149999,0.01805372,"pop1_i8. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les hommes politiques élus aideraient davantage le pays s'ils cessaient de parler et s'ils prenaient simplement des mesures sur les problèmes importants"
Gender,Woman,3049.36,0.7663988509064196,0.061334050423695455,0.315,0.45139901999999993,0.14924276,0.04795213,0.013381909999999999,0.02302418,"pop1_i8. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les hommes politiques élus aideraient davantage le pays s'ils cessaient de parler et s'ils prenaient simplement des mesures sur les problèmes importants"
Age,18-24,478.2759,0.7322921769631295,0.10499990000000001,0.32201894,0.40950161000000007,0.1364702,0.09323261,0.01377664,0.025,"pop1_i8. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les hommes politiques élus aideraient davantage le pays s'ils cessaient de parler et s'ils prenaient simplement des mesures sur les problèmes importants"
Age,25-34,836.9062,0.7521715097820998,0.08432574642176148,0.32007554,0.43209585,0.14798851,0.06201598,0.022309779999999998,0.01551424,"pop1_i8. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les hommes politiques élus aideraient davantage le pays s'ils cessaient de parler et s'ils prenaient simplement des mesures sur les problèmes importants"
Age,35-49,1494.556,0.7869327077740814,0.05295509837035214,0.30654475,0.48038809,0.13464527,0.03464519,0.01830991,0.025466199999999998,"pop1_i8. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les hommes politiques élus aideraient davantage le pays s'ils cessaient de parler et s'ils prenaient simplement des mesures sur les problèmes importants"
Age,50-64,1554.412,0.7999269177026425,0.055,0.34188729,0.4589284599999999,0.13020641,0.04742925,0.00654869,0.0149999,"pop1_i8. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les hommes politiques élus aideraient davantage le pays s'ils cessaient de parler et s'ils prenaient simplement des mesures sur les problèmes importants"
Age,65+,1614.848,0.7949999,0.05526957955175967,0.3530758299999999,0.44222664,0.12727916,0.03960282,0.01566676,0.022149539999999995,"pop1_i8. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les hommes politiques élus aideraient davantage le pays s'ils cessaient de parler et s'ils prenaient simplement des mesures sur les problèmes importants"
Socio-Professional Category,Total-CSP+,1734.019,0.7649999,0.0810367706466884,0.29237177,0.47297113999999996,0.145,0.05737818,0.02365858,0.00862033,"pop1_i8. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les hommes politiques élus aideraient davantage le pays s'ils cessaient de parler et s'ils prenaient simplement des mesures sur les problèmes importants"
Socio-Professional Category,Small Business owners,212.9949,0.7590500993216269,0.135,0.38250842000000007,0.37685588,0.10499990000000001,0.05655717999999999,0.07638601,0.00269261,"pop1_i8. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les hommes politiques élus aideraient davantage le pays s'ils cessaient de parler et s'ils prenaient simplement des mesures sur les problèmes importants"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.7464119617608167,0.07373956877147853,0.25921742,0.48876796000000017,0.16242230999999996,0.0571661,0.0149999,0.01742631,"pop1_i8. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les hommes politiques élus aideraient davantage le pays s'ils cessaient de parler et s'ils prenaient simplement des mesures sur les problèmes importants"
Socio-Professional Category,Prof Intermed,896.9079,0.7830468434941871,0.075,0.29296665,0.49007975,0.13984167,0.05615152,0.01655068,0.0044087,"pop1_i8. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les hommes politiques élus aideraient davantage le pays s'ils cessaient de parler et s'ils prenaient simplement des mesures sur les problèmes importants"
