Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,Je ne sais pas,No rep.,Moyenne,Question
Total,Total,1575.317,0.175,0.34302010325540827,0.3524081819722633,0.03838919,0.012683970000000001,0.01743806,0.01581238,0.02769455,0.06155788,0.06649036,0.11358673,0.16294289,0.12483278,0.22757521,0.12438379,0.00661248,7.376726,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Gender,Man,798.5598,0.1749999,0.335,0.3686172281650041,0.05192232,0.0149999,0.0133436,0.01573931,0.03388183,0.05432926999999999,0.06687231,0.0962427,0.16879049,0.11735317,0.2513413499999999,0.10749855,0.0076852,7.335124,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Gender,Woman,776.7581,0.16255845931957452,0.355,0.3349999,0.02447617,0.01022449,0.02164742,0.01588748,0.02133359,0.06898934,0.06609753,0.13141749,0.15693097,0.13252221,0.20322118,0.14174284,0.00550963,7.421103,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Age,18-24,117.067,0.1149999,0.37941571920353306,0.2758953419836504,0.03299368,0.0049999,0.0,0.01221568,0.007621049999999999,0.06053286,0.0649999,0.11805529999999999,0.19579642,0.05877436,0.21840119999999982,0.19698976,0.02861989,7.569615,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Age,25-34,203.9082,0.245,0.2672310873226285,0.319827206556676,0.02596809,0.00806372,0.05682399999999999,0.00902383,0.05224111,0.09248387,0.08903232,0.07582574,0.10237298000000002,0.14541269,0.17441452,0.16413092000000004,0.00420661,6.922257,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Age,35-49,432.3072,0.235,0.3549999,0.2541447378160715,0.07702735,0.01728754,0.011970030000000001,0.01700468,0.05586245,0.0494481,0.08190523,0.09400389,0.1846245,0.10410005,0.15004464,0.14619433,0.01052725,6.67245,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Age,50-64,399.3349,0.14499990000000001,0.347686615920622,0.3685305241289955,0.02227898,0.00833068,0.01105099,0.01262395,0.00435937,0.08900827,0.06618147,0.14206144,0.13944384,0.11782066,0.2506695700000004,0.135,0.00117078,7.646221,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Age,65+,422.7003,0.125,0.3471793135703949,0.4745797436150388,0.021578690000000005,0.01624715,0.015,0.02187602,0.015,0.03337516,0.04039919,0.125,0.18308818,0.16102846,0.31178787000000013,0.05280406,0.00281522,7.936265,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Socio-Professional Category,Total-CSP+,464.3317,0.1902149260970121,0.3672936825118767,0.3349999,0.05159777,0.01640583,0.02061825,0.0049999,0.026831810000000005,0.06891349,0.09714301000000002,0.1021862,0.1681330999999998,0.11127638,0.2249999,0.08835759,0.01853677,7.181292,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Socio-Professional Category,Small Business owners,66.37943,0.39814141218145443,0.2228484034888519,0.19563666033287722,0.20144132,0.01861596,0.06194894,0.0,0.07632586,0.03980934,0.10739203,0.04422079,0.07123559,0.06890445,0.1267322,0.1729111,0.01046225,4.969357,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Socio-Professional Category,Cadres/Prof Lib,157.6206,0.1422162458460379,0.3650401026261796,0.43908188396694336,0.03605761,0.01190793,0.02357531,0.010294,0.025841969999999995,0.0345394,0.1308761,0.06948813,0.165,0.155,0.2837578800000001,0.03947457,0.0141871,7.598667,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Socio-Professional Category,Prof Intermed,227.8753,0.17324470883856213,0.40235005724622197,0.30986513237722557,0.02151833,0.01977,0.0076604,0.00479537,0.0145657,0.105,0.07381572,0.14046323,0.18807098,0.09408821,0.21562250999999993,0.08962955000000002,0.025,7.417256,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Socio-Professional Category,Total-CSP-,425.5188,0.1949999,0.335,0.30268321869680026,0.02165977,0.01081267,0.01645612,0.023736060000000003,0.04385534,0.07998869,0.07611798,0.09166895,0.16685393999999998,0.09990957,0.20277381,0.16530116,0.0008657700000000001,7.256183,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Socio-Professional Category,Salaried,234.9306,0.18150798576260394,0.315,0.30176039221795714,0.01957318,0.00402243,0.01571725,0.02253374,0.03337224,0.08628914,0.04076951,0.08605686,0.18556765,0.09864126,0.20311913,0.20433779,0,7.438471,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Socio-Professional Category,Blue collar,190.5881,0.215,0.3620638959095558,0.3038211724656471,0.02423184,0.01918275,0.01736692,0.02521816,0.05677747,0.07222235,0.11969074000000002,0.09858674,0.14378642,0.10147302,0.20234815,0.11718229,0.00193298,7.053222,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,Far left,41.00365,0.145,0.5249999,0.18031150885348013,0.0257729,0.0,0.01517566,0.0,0.0,0.09682636,0.19157694,0.19440316,0.14155891,0.1195726,0.06073891,0.12985498,0.02451948,6.907054,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,Radical left,207.2672,0.175,0.46255080398635195,0.25021638734927665,0.02696894,0.03091195,0.01464187,0.0181544,0.005459739999999999,0.07856279,0.09570144,0.1849999,0.18184909000000016,0.09533235,0.15488403,0.09303387,0.01949963,7.053761,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,Left,396.8153,0.16019808208000044,0.375,0.3841827671463273,0.03928412,0.01614614,0.00916344,0.01264959,0.023386800000000003,0.05956799,0.055,0.1421395,0.175,0.14373546,0.2385968800000001,0.07176886,0.01356122,7.514862,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,PC/LFI,166.2636,0.185,0.4449999,0.2674561359191068,0.02726389,0.0385354,0.015,0.0226316,0.00680621,0.0740586,0.07205678,0.18288976,0.19108692999999988,0.08935419,0.17810188000000002,0.08395313,0.01826163,7.08784,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,PS,131.2849,0.09530029729237711,0.3634817103871047,0.48035303374569355,0.0,0.0,0.0,0.00957261,0.03951012,0.046217600000000005,0.0526832,0.15568028,0.1549999,0.11858553,0.36188657,0.04300184,0.01786235,8.251846,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,EELV,99.26674,0.2049999,0.255,0.45250020298843296,0.11137215,0.0,0.012327110000000002,0.0,0.0298341,0.05295394,0.02640931,0.05597795,0.16921821,0.26808164,0.18441857,0.08940707999999999,0,7.21478,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,EM,170.6383,0.045000000000000005,0.3449999,0.5931446808834828,0.0,0.0,0.00664994,0.01948731,0.00684723,0.01086309,0.09499990000000001,0.07710702,0.17361746999999997,0.17023816,0.4234453900000002,0.01674449,0,8.559927,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,MoDem,34.74546,0.10499990000000001,0.315,0.5282350557454125,0.03317213,0.0,0.0,0.02268933,0.0163138,0.0349999,0.01560207,0.09947104,0.19881395,0.16650501000000004,0.3622609100000001,0.02425806,0.0259138,8.219638,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,Right,155.9513,0.135,0.4349999,0.3549999,0.06594251,0.005,0.00945254,0.01016989,0.00635334,0.02788578,0.03172875,0.20309372,0.20356823,0.12362903999999998,0.23346522000000003,0.07114554,0.00856544,7.506607,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Political similarity,UDI/PR,20.68276,0.036777528724406226,0.45403916111776194,0.4677108857812014,0.0,0.03677753,0.0,0.0,0.0,0.0,0.0760149,0.07478431,0.30323999,0.19045175999999997,0.27725908,0,0.04147233,8.271994,"q3v13b_groupe3. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
