Indicator,Category,BASE,ST Confiance,ST Pas Confiance,Très confiance,Plutôt confiance,Plutôt pas confiance,Pas du tout confiance,No rep.,Question
Total,Total,5979.002,0.8058584024557944,0.17965857847179179,0.235,0.5708591500000001,0.12220356,0.05745502,0.01448227,"q25_i18. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La gendarmerie nationale"
Gender,Man,2929.637,0.8242690135330759,0.165,0.28069013,0.5424092,0.11048071999999999,0.055,0.011419949999999998,"q25_i18. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La gendarmerie nationale"
Gender,Woman,3049.36,0.7881722722144974,0.19440318624235903,0.19014111,0.59803041,0.13346637,0.06093685,0.01742438,"q25_i18. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La gendarmerie nationale"
Age,18-24,478.2759,0.7456167036641403,0.24356987253591494,0.22061651000000002,0.525,0.17247340000000003,0.07109645,0.01081364,"q25_i18. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La gendarmerie nationale"
Age,25-34,836.9062,0.7244376968410557,0.2578476536558099,0.20298510999999997,0.52126855,0.185,0.07303176,0.01771458,"q25_i18. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La gendarmerie nationale"
Age,35-49,1494.556,0.7707399388179499,0.21060321593837902,0.18412786,0.58661295,0.14934315,0.06126013,0.01865581,"q25_i18. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La gendarmerie nationale"
Age,50-64,1554.412,0.8272259864180153,0.1549999,0.21912273,0.60810319,0.10309641,0.05412771,0.01555128,"q25_i18. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La gendarmerie nationale"
Age,65+,1614.848,0.8778355609939759,0.11316352994213696,0.31582192,0.5620358600000002,0.06814028,0.0449999,0.00900204,"q25_i18. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La gendarmerie nationale"
Socio-Professional Category,Total-CSP+,1734.019,0.7901187933926905,0.20176480188510043,0.23651754,0.5536023,0.14404531,0.05771955,0.00811551,"q25_i18. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La gendarmerie nationale"
Socio-Professional Category,Small Business owners,212.9949,0.7140466743569917,0.2818255272778832,0.23361921,0.4795552600000001,0.18882081,0.09300472,0.005,"q25_i18. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La gendarmerie nationale"
