Indicator,Category,BASE,ST Improbable,ST probable,Tout à fait improbable,Plutôt improbable,Plutôt probable,Tout à fait probable,No rep.,Question
Total,Total,1998.234,0.7326879634717456,0.22826035389248706,0.46499989999999997,0.26768795,0.15924346,0.06901699,0.0390517,"comp2v13b_i3_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Gender,Man,969.0054,0.7371232399736884,0.22988292944497524,0.47503770000000006,0.26208543,0.16330734999999996,0.06657557,0.03299439,"comp2v13b_i3_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Gender,Woman,1029.229,0.7285125079064037,0.22673282622234703,0.45815635,0.27035606,0.15541731,0.07131548,0.044754569999999994,"comp2v13b_i3_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Age,18-24,151.2158,0.7393017131807655,0.21851519484075074,0.46153093999999995,0.27777078,0.13103915,0.08747604,0.04218258,"comp2v13b_i3_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Age,25-34,288.6909,0.725,0.23308060628166669,0.4688617200000001,0.255,0.17288103,0.06019954,0.04305771,"comp2v13b_i3_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Age,35-49,506.8327,0.7368474843868598,0.22029458635956206,0.46136564999999996,0.27548203,0.16684220999999996,0.05345239,0.04285801,"comp2v13b_i3_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Age,50-64,529.153,0.7649999,0.2064966087313121,0.50086069,0.2649999,0.10716473000000001,0.09933184,0.027642840000000002,"comp2v13b_i3_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Age,65+,522.3425,0.6980100221597898,0.25819419250778947,0.43636311,0.26164672,0.20525556000000003,0.0529386,0.04379552,"comp2v13b_i3_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Socio-Professional Category,Total-CSP+,508.5243,0.765,0.2049999,0.475,0.2885538,0.1415672,0.06385364,0.03102536,"comp2v13b_i3_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Socio-Professional Category,Small Business owners,59.56604,0.5669611409454112,0.433039026935482,0.325,0.24274385000000004,0.3232600699999999,0.10899608,0,"comp2v13b_i3_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Socio-Professional Category,Cadres/Prof Lib,183.0192,0.773618287043108,0.2006921678162728,0.51896632,0.25465219,0.13636493,0.06432719,0.025689180000000002,"comp2v13b_i3_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Socio-Professional Category,Prof Intermed,261.2649,0.805,0.1549999,0.47543355,0.32544022999999994,0.10298544,0.05437225,0.04176806999999999,"comp2v13b_i3_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Socio-Professional Category,Total-CSP-,584.6144,0.7231320336960567,0.23720524160882794,0.45419637,0.26870549,0.155,0.08243547,0.03966267,"comp2v13b_i3_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Socio-Professional Category,Salaried,315.3485,0.7376772047433237,0.2149999,0.48700214,0.25080807,0.1349999,0.08026054,0.04692935,"comp2v13b_i3_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Socio-Professional Category,Blue collar,269.2659,0.7060983213990335,0.26274927497317707,0.41643223,0.28966583,0.1777667,0.08498261,0.03115236,"comp2v13b_i3_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Political similarity,Far left,64.31401,0.8174973073518508,0.14175188267688485,0.4800077,0.33748945,0.10369016,0.03806172,0.040750789999999995,"comp2v13b_i3_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Political similarity,Radical left,258.3622,0.8105980673643436,0.15926013944764367,0.5055982899999999,0.3049999,0.13143103,0.02782911,0.030141670000000002,"comp2v13b_i3_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Political similarity,Left,451.9567,0.837891771490499,0.14688893869700348,0.6316431400000001,0.20646803,0.1189417,0.02794723,0.0149999,"comp2v13b_i3_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Political similarity,PC/LFI,194.0482,0.8083115432145209,0.1649999,0.51331159,0.295,0.14062527,0.02443768,0.02662546,"comp2v13b_i3_groupe1. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les dirigeants politiques inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
