Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Plutôt pas d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.7650847081168396,0.2011650104816824,0.30843509,0.45664879,0.16231248999999998,0.03885274,0.03374986,"q18bv12b_i1. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat dépend trop des grands groupes privés en matière industrielle"
Gender,Man,2929.637,0.7680852610750067,0.21247919110797683,0.32054135,0.44754487,0.17437498,0.03810407,0.01943673,"q18bv12b_i1. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat dépend trop des grands groupes privés en matière industrielle"
Gender,Woman,3049.36,0.7622025605372931,0.19029599653697823,0.29720289,0.46499989999999997,0.15072399,0.03957211,0.04750111,"q18bv12b_i1. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat dépend trop des grands groupes privés en matière industrielle"
Age,18-24,478.2759,0.7421822843258462,0.23585884214529731,0.2403943,0.50178798,0.18638612,0.04947274,0.021959100000000002,"q18bv12b_i1. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat dépend trop des grands groupes privés en matière industrielle"
Age,25-34,836.9062,0.7618218146788732,0.2017358695633991,0.27743922,0.48438248,0.15842624,0.0433096,0.03644232,"q18bv12b_i1. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat dépend trop des grands groupes privés en matière industrielle"
Age,35-49,1494.556,0.7635217415740861,0.19587375782506644,0.32042205,0.44309982,0.15737784,0.0384959,0.04060389,"q18bv12b_i1. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat dépend trop des grands groupes privés en matière industrielle"
Age,50-64,1554.412,0.7848639871539849,0.185,0.34189198,0.44297194,0.14848476,0.03511757,0.03153489,"q18bv12b_i1. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat dépend trop des grands groupes privés en matière industrielle"
Age,65+,1614.848,0.7549999,0.215,0.30135325,0.45461486,0.17507425,0.03732336,0.03163536,"q18bv12b_i1. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat dépend trop des grands groupes privés en matière industrielle"
Socio-Professional Category,Total-CSP+,1734.019,0.7659137529634912,0.21417025995678246,0.29561729,0.47029646,0.17123255,0.04293774,0.01991621,"q18bv12b_i1. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat dépend trop des grands groupes privés en matière industrielle"
Socio-Professional Category,Small Business owners,212.9949,0.7406397993566982,0.2285141099622573,0.35099775,0.38964252000000005,0.16084629,0.06766782,0.03084599,"q18bv12b_i1. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat dépend trop des grands groupes privés en matière industrielle"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.7349998999999999,0.245,0.27291216,0.4611889599999999,0.18891162000000003,0.055,0.02198726,"q18bv12b_i1. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat dépend trop des grands groupes privés en matière industrielle"
Socio-Professional Category,Prof Intermed,896.9079,0.795,0.19289505644893973,0.29783772,0.49543102,0.16195676,0.03093827,0.01383523,"q18bv12b_i1. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat dépend trop des grands groupes privés en matière industrielle"
Socio-Professional Category,Total-CSP-,1674.09,0.791778817148421,0.16990036377972512,0.32957314,0.46220436,0.14087869,0.02902167,0.03832156,"q18bv12b_i1. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat dépend trop des grands groupes privés en matière industrielle"
Socio-Professional Category,Salaried,956.6466,0.7961173959119281,0.16093456036952414,0.34707895,0.44903834,0.13213678,0.02879775,0.04294774,"q18bv12b_i1. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat dépend trop des grands groupes privés en matière industrielle"
Socio-Professional Category,Blue collar,717.4432,0.7859919781802934,0.18185537196533466,0.30623093,0.47976105,0.15253514,0.02932024,0.03215296,"q18bv12b_i1. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat dépend trop des grands groupes privés en matière industrielle"
Political similarity,Far left,187.3446,0.7672364188772987,0.20657467575793484,0.3486575,0.41976792,0.16773214,0.03884254,0.0249999,"q18bv12b_i1. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat dépend trop des grands groupes privés en matière industrielle"
Political similarity,Radical left,828.7407,0.8349998999999999,0.14511137198885007,0.44227006999999996,0.39255137,0.11094266,0.035,0.0192359,"q18bv12b_i1. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat dépend trop des grands groupes privés en matière industrielle"
Political similarity,Left,1430.296,0.8349998999999999,0.145,0.37329231,0.46267227,0.11771997,0.02660513,0.01971095,"q18bv12b_i1. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat dépend trop des grands groupes privés en matière industrielle"
Political similarity,PC/LFI,641.3963,0.8556365230045762,0.1249999,0.47063639,0.385,0.09435508,0.03280357,0.01720496,"q18bv12b_i1. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat dépend trop des grands groupes privés en matière industrielle"
