Indicator,Category,BASE,ST Improbable,ST probable,Tout à fait improbable,Plutôt improbable,Plutôt probable,Tout à fait probable,No rep.,Question
Total,Total,2045.387,0.40412582068821207,0.5569879929812794,0.15412956,0.24987715000000002,0.375,0.18210642,0.03888687,"comp2v13b_i12_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts cachent délibérément les informations les plus importantes au public"
Gender,Man,988.965,0.4688359042028788,0.5143538952339062,0.17304312999999996,0.29579257,0.34499684,0.16935675,0.01681082,"comp2v13b_i12_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts cachent délibérément les informations les plus importantes au public"
Gender,Woman,1056.424,0.345,0.5949998999999999,0.13642344,0.20712375,0.40285737999999993,0.1940415,0.05955316,"comp2v13b_i12_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts cachent délibérément les informations les plus importantes au public"
Age,18-24,172.1535,0.3690136999828641,0.5946884611698281,0.14858786,0.22042584,0.43167417,0.16301405,0.03629811,"comp2v13b_i12_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts cachent délibérément les informations les plus importantes au public"
Age,25-34,293.5343,0.35482565410584044,0.615,0.12296158,0.23186401,0.38739016,0.2275453,0.03023958,"comp2v13b_i12_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts cachent délibérément les informations les plus importantes au public"
Age,35-49,510.9997,0.38422664436006515,0.565,0.13038706,0.25335227,0.375,0.18710984,0.05415082999999999,"comp2v13b_i12_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts cachent délibérément les informations les plus importantes au public"
Age,50-64,498.25,0.4203506271951831,0.525,0.13893802,0.28141274,0.35841104,0.16626683,0.05497056,"comp2v13b_i12_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts cachent délibérément les informations les plus importantes au public"
Age,65+,570.4509,0.445,0.5349999,0.20637639,0.23838814000000003,0.3649999,0.17383916999999996,0.0163964,"comp2v13b_i12_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts cachent délibérément les informations les plus importantes au public"
Socio-Professional Category,Total-CSP+,622.673,0.4589840895622582,0.5126731045026844,0.15832174,0.30066231,0.33826904,0.17440374,0.02834258,"comp2v13b_i12_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts cachent délibérément les informations les plus importantes au public"
Socio-Professional Category,Small Business owners,83.97375,0.22060215245835751,0.7601025320412629,0.08754607,0.1330561,0.36788711,0.39221531,0.01929501,"comp2v13b_i12_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts cachent délibérément les informations les plus importantes au public"
