Indicator,Category,BASE,ST Elevé,ST Faible,Très élevée,Assez élevée,Assez faible,Très faible,Je ne sais pas,No rep.,Question
Total,Total,5979.002,0.485,0.21188168192618095,0.20651288999999998,0.27717619,0.29001825000000003,0.12642091,0.0849999,0.01487186,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Gender,Man,2929.637,0.5001332929642819,0.20623892994251505,0.22329517,0.2768387,0.2824136900000001,0.145,0.06234424,0.010108199999999998,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Gender,Woman,3049.36,0.46789162316026967,0.21730343416323425,0.19039002,0.27785813000000015,0.29499990000000004,0.10963349999999998,0.10766994,0.01944851,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Age,18-24,478.2759,0.465,0.2331773355086468,0.1953691,0.26793844,0.28997907,0.11341245,0.11976495,0.013535870000000002,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Age,25-34,836.9062,0.4151847602515073,0.2721745877853456,0.15636531,0.25881933,0.2977866299999999,0.14499990000000001,0.12702893,0.0149999,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Age,35-49,1494.556,0.495,0.2049999,0.1881326,0.30647403,0.2799149,0.11307833,0.09480153,0.01759798,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Age,50-64,1554.412,0.49590739134798234,0.20450183091741445,0.22010973,0.27579786,0.28773092,0.13126713,0.07323464,0.011861250000000002,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Age,65+,1614.848,0.5033644652623652,0.18513525731214334,0.23972677,0.26363763,0.296518,0.1282535,0.05688179,0.01498319,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Socio-Professional Category,Total-CSP+,1734.019,0.4713574649412723,0.20124104753177446,0.17015356,0.30120368,0.31971605,0.13124839,0.06999277,0.00768562,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Socio-Professional Category,Small Business owners,212.9949,0.3949999,0.2875525658126087,0.11334717,0.2814076099999999,0.315,0.14123136,0.14632125,0.00269261,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.4849999,0.185,0.19394965,0.29275171,0.31898625,0.135,0.04985791,0.00945448,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Socio-Professional Category,Prof Intermed,896.9079,0.48583271481943685,0.17984778593208958,0.16849891,0.31873710000000005,0.32499989999999995,0.12315367,0.05669414,0.00791628,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Socio-Professional Category,Total-CSP-,1674.09,0.4678094367686325,0.2521047852863347,0.20164764,0.26616191,0.26436607,0.13274292,0.1193618,0.01571923,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Socio-Professional Category,Salaried,956.6466,0.4491738119384943,0.25229996113507325,0.2053887,0.24378511,0.28352622999999993,0.12119481,0.13110515,0.015,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Socio-Professional Category,Blue collar,717.4432,0.49265893104847874,0.25184460595626246,0.19665919000000004,0.29499990000000004,0.23971421999999998,0.14814148,0.10370316000000002,0.01678205,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Political similarity,Far left,187.3446,0.4322764040169826,0.2657241788661109,0.14256338,0.28971297,0.2944957,0.22777950000000002,0.03794467,0.00750416,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Political similarity,Radical left,828.7407,0.4119669759190058,0.19628552091142623,0.14392548,0.26804114,0.38242432000000004,0.14120074,0.05508474,0.0093241,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Political similarity,Left,1430.296,0.37032460413788476,0.2249999,0.10763429,0.26269038,0.39811298,0.16485182,0.0609208,0.00579028,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Political similarity,PC/LFI,641.3963,0.4049999,0.17600319802281367,0.14432338,0.26171105,0.40810713,0.1159121,0.06009116,0.00985569,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Political similarity,PS,449.3176,0.37936506382122576,0.25002581692771436,0.10314539,0.27621954,0.37060956,0.17897532,0.07105052,0,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Political similarity,EELV,339.583,0.29091473954821057,0.28768489588701435,0.04427616,0.24726615000000013,0.4149999,0.23860028,0.04908452,0.00577299,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Political similarity,EM,672.9198,0.3615959881103216,0.265,0.117581,0.24401511,0.37097809,0.21567176,0.04777595,0.00397756,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Political similarity,MoDem,161.1257,0.47840859651812223,0.17108673538734046,0.16756539,0.31105362,0.34499989999999997,0.11610679999999998,0.05497993,0.005294359999999999,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
Political similarity,Right,573.0042,0.6014945440190491,0.1452340488952786,0.24922679,0.35187452999999996,0.24876013,0.10062712,0.045,0.00451143,"q13v13b_i3. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Des éoliennes au sol"
