Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Ni d'accord ni pas d'accord,Pas vraiment d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.5186432451435875,0.18892484063393858,0.20560538,0.31303786,0.27195074,0.12099126,0.06793366,0.02048039,"pop1_i3. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Je préfèrerais être représenté(e) par un citoyen ordinaire plutôt que par un politicien professionnel"
Gender,Man,2929.637,0.518935281060418,0.20173704114195717,0.2062264,0.31270912,0.26110201,0.12707271,0.07466413,0.01822794,"pop1_i3. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Je préfèrerais être représenté(e) par un citoyen ordinaire plutôt que par un politicien professionnel"
Gender,Woman,3049.36,0.518363853398746,0.17661627357871815,0.20500889,0.31335454,0.28237479,0.11514882,0.06146752,0.02264444,"pop1_i3. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Je préfèrerais être représenté(e) par un citoyen ordinaire plutôt que par un politicien professionnel"
Age,18-24,478.2759,0.5475417013485312,0.14499990000000001,0.24175502,0.30578668,0.29069644,0.09495143,0.0517942,0.01501626,"pop1_i3. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Je préfèrerais être représenté(e) par un citoyen ordinaire plutôt que par un politicien professionnel"
Age,25-34,836.9062,0.5787065503876062,0.1281275010269968,0.24144474,0.33779109000000007,0.2749999,0.08796294999999998,0.04016448,0.01763684,"pop1_i3. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Je préfèrerais être représenté(e) par un citoyen ordinaire plutôt que par un politicien professionnel"
Age,35-49,1494.556,0.5518353945921063,0.16920168933114585,0.20950858,0.34232722,0.25660337,0.11326956,0.05593216,0.022358719999999995,"pop1_i3. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Je préfèrerais être représenté(e) par un citoyen ordinaire plutôt que par un politicien professionnel"
Age,50-64,1554.412,0.5194627936480161,0.19135467302105233,0.21876967,0.30069293,0.2700268,0.1248043,0.06655037,0.01915742,"pop1_i3. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Je préfèrerais être représenté(e) par un citoyen ordinaire plutôt que par un politicien professionnel"
Age,65+,1614.848,0.4474492955374128,0.24884193434923907,0.16004113,0.28740804,0.28060232,0.14929721,0.09954448000000002,0.02310752,"pop1_i3. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Je préfèrerais être représenté(e) par un citoyen ordinaire plutôt que par un politicien professionnel"
Socio-Professional Category,Total-CSP+,1734.019,0.5300458068798555,0.18852942211129173,0.19913242,0.33091316,0.26693341,0.12790736,0.06062206,0.014491699999999998,"pop1_i3. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Je préfèrerais être représenté(e) par un citoyen ordinaire plutôt que par un politicien professionnel"
Socio-Professional Category,Small Business owners,212.9949,0.5949998999999999,0.15818543073097055,0.21365512,0.38189417,0.21085557,0.08590430999999998,0.07228107,0.03540993,"pop1_i3. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Je préfèrerais être représenté(e) par un citoyen ordinaire plutôt que par un politicien professionnel"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.475,0.2225766913436712,0.1762979,0.29565127,0.29059836,0.15458268,0.06799402,0.01487579,"pop1_i3. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Je préfèrerais être représenté(e) par un citoyen ordinaire plutôt que par un politicien professionnel"
Socio-Professional Category,Prof Intermed,896.9079,0.555,0.17459551867031164,0.20680740999999997,0.34573891000000007,0.2649999,0.11988845,0.05470704,0.00785829,"pop1_i3. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Je préfèrerais être représenté(e) par un citoyen ordinaire plutôt que par un politicien professionnel"
Socio-Professional Category,Total-CSP-,1674.09,0.5649999,0.1456841627391598,0.24468786,0.32090144,0.26600918,0.09615492999999999,0.04952926,0.022717259999999996,"pop1_i3. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Je préfèrerais être représenté(e) par un citoyen ordinaire plutôt que par un politicien professionnel"
Socio-Professional Category,Salaried,956.6466,0.5564777003336445,0.151253451379015,0.24016361,0.31735462,0.26622841,0.10956272,0.04169074,0.0249999,"pop1_i3. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Je préfèrerais être représenté(e) par un citoyen ordinaire plutôt que par un politicien professionnel"
Socio-Professional Category,Blue collar,717.4432,0.5777388370257046,0.13825805304169025,0.25072034,0.32773499,0.2649999,0.07827682,0.05998126,0.01828669,"pop1_i3. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Je préfèrerais être représenté(e) par un citoyen ordinaire plutôt que par un politicien professionnel"
