Indicator,Category,BASE,ST D'accord,ST Pas D'accord,Tout à fait d'accord,Plutôt d'accord,Pas vraiment d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,1459.734,0.3004887191776036,0.6639578169721333,0.10914776,0.19134103,0.31118334,0.35277455,0.03555288,"q5v13b_groupe1. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Gender,Man,728.4002,0.2817738106057631,0.6865717499802992,0.13253856,0.14923527,0.30157145999999996,0.385,0.03165471,"q5v13b_groupe1. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Gender,Woman,731.3326,0.31912908025705405,0.6414356477476869,0.0858509,0.23327826,0.31934048,0.32209517,0.03943548,"q5v13b_groupe1. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,18-24,99.86575,0.3549999,0.6267526153861559,0.07256518,0.28338154,0.26972971,0.3570229999999999,0.01730069,"q5v13b_groupe1. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,25-34,212.6536,0.495,0.4549999,0.19883275,0.2962253200000001,0.24499990000000002,0.21447119,0.04547084,"q5v13b_groupe1. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,35-49,359.5816,0.30962151567265955,0.6420306267061496,0.10553371,0.20408767000000003,0.31231131,0.32971932,0.04834802,"q5v13b_groupe1. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,50-64,368.432,0.292400768662874,0.69888609024189,0.11807745000000001,0.17432321000000003,0.31122948,0.38765634,0.00871331,"q5v13b_groupe1. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,65+,419.2003,0.18804101523782304,0.7644746437442912,0.06761904,0.12042202999999999,0.35343415,0.41104074000000007,0.04748363,"q5v13b_groupe1. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Socio-Professional Category,Total-CSP+,412.4482,0.355,0.6299079496528291,0.09769331000000002,0.25686426,0.29861398,0.33182855000000006,0.0149999,"q5v13b_groupe1. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Socio-Professional Category,Small Business owners,47.21814,0.3860120284280575,0.5749998999999999,0.07898676,0.30702522,0.15337118,0.42249229,0.03812469,"q5v13b_groupe1. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
