Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Plutôt pas d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.5093955479526516,0.44231127536000153,0.07037959,0.43901674999999996,0.34742621,0.0948848,0.04829177,"q10v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- En discutant de politique, on peut faire évoluer les opinions des autres"
Gender,Man,2929.637,0.516068031636684,0.4386959886156544,0.06997768,0.44632647000000014,0.3479117,0.09078425,0.0449999,"q10v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- En discutant de politique, on peut faire évoluer les opinions des autres"
Gender,Woman,3049.36,0.5029881680090248,0.44578534512159923,0.07076577,0.43222217,0.34696067,0.09882444,0.05122629,"q10v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- En discutant de politique, on peut faire évoluer les opinions des autres"
Age,18-24,478.2759,0.5586014264988054,0.384199789284804,0.1415791,0.41702206,0.28275625,0.10144348000000002,0.05719904,"q10v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- En discutant de politique, on peut faire évoluer les opinions des autres"
Age,25-34,836.9062,0.5962834305684436,0.36783978897515635,0.11003867999999999,0.4871215300000001,0.29813437,0.06970552,0.0349999,"q10v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- En discutant de politique, on peut faire évoluer les opinions des autres"
Age,35-49,1494.556,0.5249573786462334,0.4263691022618088,0.05456004999999999,0.47039736,0.34035566000000006,0.08601351,0.048673079999999994,"q10v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- En discutant de politique, on peut faire évoluer les opinions des autres"
Age,50-64,1554.412,0.4953735560456301,0.45347147345748745,0.06688574,0.42855329,0.34840472999999994,0.10499990000000001,0.05115634,"q10v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- En discutant de politique, on peut faire évoluer les opinions des autres"
Age,65+,1614.848,0.44889166039156625,0.5021312841827837,0.04674272,0.4021491200000001,0.39772994,0.10440134,0.04897779,"q10v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- En discutant de politique, on peut faire évoluer les opinions des autres"
Socio-Professional Category,Total-CSP+,1734.019,0.5461678908939291,0.4210442907488326,0.08996672,0.45620129,0.34211494,0.07892958,0.03278788,"q10v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- En discutant de politique, on peut faire évoluer les opinions des autres"
Socio-Professional Category,Small Business owners,212.9949,0.4900751144745719,0.4946916569363867,0.129083,0.36099221,0.40442184,0.09026986,0.015233390000000001,"q10v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- En discutant de politique, on peut faire évoluer les opinions des autres"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.5474652568324453,0.4045538095777237,0.08727052,0.4605822499999999,0.3191662,0.0849999,0.04798113,"q10v13b_i2. Etes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes ?
- En discutant de politique, on peut faire évoluer les opinions des autres"
