Indicator,Category,BASE,ST Elevé,ST Faible,Très élevée,Assez élevée,Assez faible,Très faible,Je ne sais pas,No rep.,Question
Total,Total,5979.002,0.2535665651224067,0.365,0.08150686,0.17205964999999998,0.36186616999999993,0.245,0.11673259,0.022834729999999998,"q13v13b_i6. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un barrage hydraulique"
Gender,Man,2929.637,0.22132093498272992,0.37569330261735495,0.06818633,0.15313454,0.3812365699999999,0.295,0.08189308,0.020549480000000002,"q13v13b_i6. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un barrage hydraulique"
Gender,Woman,3049.36,0.28454649500222995,0.3474322480782852,0.09430441,0.19024189,0.34299,0.19722768,0.15020437,0.0250303,"q13v13b_i6. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un barrage hydraulique"
Age,18-24,478.2759,0.2649999,0.2955256578890971,0.09416761,0.17351886,0.4117879299999999,0.15914396,0.13638164,0.025,"q13v13b_i6. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un barrage hydraulique"
Age,25-34,836.9062,0.29026610150576015,0.3563751827863146,0.11691466,0.17335144999999996,0.33451778,0.21133826,0.14503716,0.01884076,"q13v13b_i6. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un barrage hydraulique"
Age,35-49,1494.556,0.3009240202441394,0.32942158072363964,0.08423752999999999,0.21668663,0.35196828,0.21572969,0.11369196,0.01768563,"q13v13b_i6. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un barrage hydraulique"
Age,50-64,1554.412,0.2699505021834623,0.3503396782834924,0.07934389,0.19060648000000002,0.35909064,0.22972725000000002,0.12061261999999999,0.020620500000000003,"q13v13b_i6. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un barrage hydraulique"
Age,65+,1614.848,0.1707646168555802,0.425,0.05896159,0.11180309,0.37465594,0.32798858,0.09532364999999998,0.03126835,"q13v13b_i6. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un barrage hydraulique"
Socio-Professional Category,Total-CSP+,1734.019,0.2928681865654298,0.33585629684565166,0.09111913000000002,0.20174906,0.36152655000000017,0.24130474,0.095,0.00930052,"q13v13b_i6. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un barrage hydraulique"
Socio-Professional Category,Small Business owners,212.9949,0.23812330717777752,0.45292070373515986,0.06208811,0.1760352,0.29923186,0.32112036,0.13180029,0.00972443,"q13v13b_i6. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un barrage hydraulique"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.3045434575779565,0.327703673923045,0.09891296,0.2049999,0.35725314,0.24773857,0.07996513,0.0111303,"q13v13b_i6. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un barrage hydraulique"
Socio-Professional Category,Prof Intermed,896.9079,0.2990245709732292,0.3076990402247544,0.09128252999999999,0.20774207,0.38499989999999995,0.2175977500000001,0.09012647,0.00825128,"q13v13b_i6. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un barrage hydraulique"
Socio-Professional Category,Total-CSP-,1674.09,0.2531608217001476,0.36071316356946165,0.08023021,0.17293055,0.35845151999999997,0.21326052,0.14745277,0.02767443,"q13v13b_i6. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un barrage hydraulique"
Socio-Professional Category,Salaried,956.6466,0.2632666023168848,0.34349612490129583,0.08422678999999998,0.17903989,0.365,0.17898514999999995,0.16422574,0.02852243,"q13v13b_i6. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un barrage hydraulique"
Socio-Professional Category,Blue collar,717.4432,0.2349999,0.385,0.07490122,0.16478419,0.35010033,0.25858312,0.12508751,0.026543700000000003,"q13v13b_i6. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un barrage hydraulique"
Political similarity,Far left,187.3446,0.34378295397892433,0.38172383938474874,0.17196214999999998,0.17182081000000002,0.25599564,0.32672352000000005,0.054999900000000004,0.01849798,"q13v13b_i6. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un barrage hydraulique"
Political similarity,Radical left,828.7407,0.2649999,0.3070604593209915,0.10175232,0.16351966,0.41114760999999994,0.235,0.07264633,0.01593408,"q13v13b_i6. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un barrage hydraulique"
Political similarity,Left,1430.296,0.245,0.3096565326338045,0.0653015,0.17893716,0.43444909,0.22827729,0.08137931,0.01165643,"q13v13b_i6. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un barrage hydraulique"
Political similarity,PC/LFI,641.3963,0.24233987629800796,0.285251879376292,0.08124481999999998,0.16109510000000002,0.45740818999999994,0.20766849,0.0775835,0.0149999,"q13v13b_i6. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un barrage hydraulique"
