Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Plutôt pas d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.735,0.23126050133450365,0.18548146,0.54831091,0.1804746,0.05078567,0.03494627,"q27_i29. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faut donner plus d'autonomie aux enseignants et aux établissements scolaires"
Gender,Man,2929.637,0.7239439561966209,0.23975417432262083,0.18433751,0.53960747,0.18302619,0.05672795,0.03630286,"q27_i29. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faut donner plus d'autonomie aux enseignants et aux établissements scolaires"
Gender,Woman,3049.36,0.745,0.2231004538657292,0.18658082,0.5567525000000001,0.17802375,0.0449999,0.03364303,"q27_i29. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faut donner plus d'autonomie aux enseignants et aux établissements scolaires"
Age,18-24,478.2759,0.7372014772226658,0.23373935420956818,0.25065574,0.48750296,0.18778186,0.0449999,0.02905954,"q27_i29. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faut donner plus d'autonomie aux enseignants et aux établissements scolaires"
Age,25-34,836.9062,0.7476898844816778,0.21908584259502437,0.21247507,0.53521482,0.16749894,0.05158683,0.03322432,"q27_i29. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faut donner plus d'autonomie aux enseignants et aux établissements scolaires"
Age,35-49,1494.556,0.7136152810600607,0.24943454778542926,0.15934077,0.55427445,0.19695435,0.05248006,0.03694986,"q27_i29. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faut donner plus d'autonomie aux enseignants et aux établissements scolaires"
Age,50-64,1554.412,0.7511148910327505,0.21231951374539051,0.18494685,0.56616824,0.15371086,0.05860862,0.03656684,"q27_i29. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faut donner plus d'autonomie aux enseignants et aux établissements scolaires"
Age,65+,1614.848,0.7275842679930248,0.23824818187222574,0.17689752,0.55068706,0.19554596000000002,0.04270217,0.03416803,"q27_i29. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faut donner plus d'autonomie aux enseignants et aux établissements scolaires"
Socio-Professional Category,Total-CSP+,1734.019,0.735,0.24028214223719577,0.19603142,0.5386865,0.18540512,0.05487705999999999,0.0249999,"q27_i29. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faut donner plus d'autonomie aux enseignants et aux établissements scolaires"
Socio-Professional Category,Small Business owners,212.9949,0.7035548738490922,0.28179904777062736,0.20435978,0.49884111999999997,0.18413939,0.09765970999999998,0.015,"q27_i29. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faut donner plus d'autonomie aux enseignants et aux établissements scolaires"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.695,0.2649999,0.1954481,0.4992819700000001,0.19310577000000004,0.07258008,0.03958426,"q27_i29. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faut donner plus d'autonomie aux enseignants et aux établissements scolaires"
Socio-Professional Category,Prof Intermed,896.9079,0.775,0.2139045714727231,0.195,0.57689949,0.17982593,0.03407863,0.014195949999999999,"q27_i29. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faut donner plus d'autonomie aux enseignants et aux établissements scolaires"
Socio-Professional Category,Total-CSP-,1674.09,0.7416978776529339,0.20992909580727442,0.18669808,0.5549999,0.15975527,0.05017375,0.048373,"q27_i29. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faut donner plus d'autonomie aux enseignants et aux établissements scolaires"
Socio-Professional Category,Salaried,956.6466,0.7468874085790927,0.21423804778065378,0.20114126,0.54574605,0.16001134,0.05422661,0.03887443,"q27_i29. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faut donner plus d'autonomie aux enseignants et aux établissements scolaires"
Socio-Professional Category,Blue collar,717.4432,0.735,0.20418355069781136,0.16586191,0.56891626,0.15941387,0.04476962,0.06103852,"q27_i29. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faut donner plus d'autonomie aux enseignants et aux établissements scolaires"
