Indicator,Category,BASE,ST Confiance,ST Pas Confiance,Très confiance,Plutôt confiance,Plutôt pas confiance,Pas du tout confiance,No rep.,Question
Total,Total,5979.002,0.7767177532303886,0.20230516731722117,0.19698973,0.57972785,0.13096475,0.07134027,0.02097614,"q25_i11. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- L'armée"
Gender,Man,2929.637,0.7943991013221091,0.18793830088847183,0.23278048,0.56162009,0.1218835,0.06605474,0.01766293,"q25_i11. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- L'armée"
Gender,Woman,3049.36,0.7597325340399296,0.21610806857832462,0.16260451,0.59712825,0.13968967,0.07641843,0.02415932,"q25_i11. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- L'armée"
Age,18-24,478.2759,0.7249998999999999,0.265,0.17801734999999996,0.5449999,0.20964896000000008,0.05707662,0.01025717,"q25_i11. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- L'armée"
Age,25-34,836.9062,0.7413388740578096,0.23755195026635,0.18740486999999997,0.553934,0.1596394,0.0779126,0.02110903,"q25_i11. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- L'armée"
Age,35-49,1494.556,0.7449998999999999,0.235,0.15137512,0.59432353,0.13616894,0.09597091,0.02216106,"q25_i11. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- L'armée"
Age,50-64,1554.412,0.7824096828897357,0.19470050411345252,0.18981383,0.5904856700000002,0.13240936,0.06229114,0.025,"q25_i11. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- L'armée"
Age,65+,1614.848,0.8335824795894102,0.145275097098922,0.2549999,0.5785824300000001,0.08720158,0.05807356,0.021142529999999996,"q25_i11. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- L'armée"
Socio-Professional Category,Total-CSP+,1734.019,0.765,0.2249999,0.1877760599999999,0.5750000000000001,0.15412051,0.07259442,0.01050901,"q25_i11. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- L'armée"
Socio-Professional Category,Small Business owners,212.9949,0.6917517743382587,0.3082482726112221,0.21941779,0.47233431,0.17691964,0.13132864,0,"q25_i11. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- L'armée"
