Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Ni d'accord ni pas d'accord,Pas vraiment d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.7399721558882234,0.09730660735687995,0.4036866,0.33628371,0.1507439,0.07699529,0.02031135,0.01197834,"pop1_i6. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les responsables politiques sont déconnectés de la réalité et ne servent que leurs propres intérêts"
Gender,Man,2929.637,0.7249998999999999,0.115,0.39307067000000007,0.33416398999999997,0.14863487,0.08944258,0.025,0.00968789,"pop1_i6. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les responsables politiques sont déconnectés de la réalité et ne servent que leurs propres intérêts"
Gender,Woman,3049.36,0.7521791457879686,0.085,0.41385733,0.33832181,0.15277048,0.0650367,0.01583457,0.014178880000000001,"pop1_i6. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les responsables politiques sont déconnectés de la réalité et ne servent que leurs propres intérêts"
Age,18-24,478.2759,0.7044749693639174,0.105,0.34142051,0.36235072999999984,0.18350013,0.08605725,0.015,0.01167138,"pop1_i6. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les responsables politiques sont déconnectés de la réalité et ne servent que leurs propres intérêts"
Age,25-34,836.9062,0.7504207759483679,0.08252611821970013,0.4116412200000001,0.33945811,0.14925711,0.054999900000000004,0.0268479,0.01779576,"pop1_i6. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les responsables politiques sont déconnectés de la réalité et ne servent que leurs propres intérêts"
Age,35-49,1494.556,0.7914169827025551,0.07468679661384384,0.4072287700000001,0.38418761000000007,0.12591057,0.05999932,0.01468751,0.00798537,"pop1_i6. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les responsables politiques sont déconnectés de la réalité et ne servent que leurs propres intérêts"
Age,50-64,1554.412,0.765,0.08179665365424353,0.44921933999999997,0.315,0.14193708,0.06843559,0.01336108,0.01204691,"pop1_i6. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les responsables politiques sont déconnectés de la réalité et ne servent que leurs propres intérêts"
Age,65+,1614.848,0.675,0.13992871155675335,0.3691134900000001,0.305,0.17327389,0.10932837,0.03060037,0.012683879999999998,"pop1_i6. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les responsables politiques sont déconnectés de la réalité et ne servent que leurs propres intérêts"
Socio-Professional Category,Total-CSP+,1734.019,0.734978682471184,0.10800331484257092,0.37066359,0.36431498,0.14973417,0.08643931,0.021564,0.00728407,"pop1_i6. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les responsables politiques sont déconnectés de la réalité et ne servent que leurs propres intérêts"
Socio-Professional Category,Small Business owners,212.9949,0.7159875658994652,0.1149999,0.39775835000000004,0.31822912,0.15504,0.06482982,0.05192345,0.01221958,"pop1_i6. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les responsables politiques sont déconnectés de la réalité et ne servent que leurs propres intérêts"
