Indicator,Category,BASE,ST Improbable,ST probable,Tout à fait improbable,Plutôt improbable,Plutôt probable,Tout à fait probable,No rep.,Question
Total,Total,2045.387,0.7434001487249112,0.22006656930937765,0.4749999,0.26839939000000007,0.16267015,0.05739638,0.03653418,"comp2v13b_i11_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Gender,Man,988.965,0.7516295318843437,0.2220080589302958,0.51010278,0.24152614,0.15468889,0.06731923,0.02636285,"comp2v13b_i11_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Gender,Woman,1056.424,0.7349998999999999,0.21824844948619115,0.44305847,0.29263648,0.17014144000000003,0.04810710000000001,0.04605591,"comp2v13b_i11_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Age,18-24,172.1535,0.7561408858954364,0.18931308396285873,0.43626345,0.31987778,0.10152004,0.08779305,0.05454586,"comp2v13b_i11_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Age,25-34,293.5343,0.7350790009889816,0.2541962898373376,0.43935274,0.29572612,0.19441946,0.05977683,0.01072541,"comp2v13b_i11_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Age,35-49,510.9997,0.745,0.2249999,0.49812849000000003,0.24637784000000001,0.1649999,0.059647410000000005,0.030846359999999996,"comp2v13b_i11_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Age,50-64,498.25,0.7489541394882088,0.1878380732563974,0.48033823999999997,0.26808931,0.145,0.043364820000000005,0.06320763,"comp2v13b_i11_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Age,65+,570.4509,0.7390236390195896,0.235,0.48310418,0.2570961,0.17756252,0.0572373,0.0249999,"comp2v13b_i11_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Socio-Professional Category,Total-CSP+,622.673,0.7938590560374386,0.18663600316699133,0.53407166,0.25978724,0.12983751,0.05679859,0.01950472,"comp2v13b_i11_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Socio-Professional Category,Small Business owners,83.97375,0.735,0.2536673662900609,0.385,0.3494761400000001,0.18287393,0.07079355,0.01185638,"comp2v13b_i11_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Socio-Professional Category,Cadres/Prof Lib,221.9442,0.791726028434174,0.17693848273575072,0.56896553,0.22275995,0.13130742,0.04563106,0.03133556,"comp2v13b_i11_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Socio-Professional Category,Prof Intermed,308.3514,0.8059486676564465,0.18044789159381147,0.54953439,0.25641424,0.11787451000000002,0.06257341,0.01360361,"comp2v13b_i11_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
Socio-Professional Category,Total-CSP-,565.5397,0.7182378177871509,0.22217078659552988,0.41136239,0.30739699,0.16664959,0.054999900000000004,0.05959112999999999,"comp2v13b_i11_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts inventent le réchauffement climatique, on n'a pas encore suffisamment de preuves"
