Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,Je ne sais pas,No rep.,Moyenne,Question
Total,Total,1488.807,0.155,0.39066413578119935,0.3349999,0.03566259,0.0112514,0.01700799,0.01646524,0.01692917,0.05327626,0.07160391,0.16137337,0.15768713,0.11498468,0.22374989,0.10860823,0.01140042,7.411271,"q3v13b_groupe4. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Gender,Man,709.652,0.14717424878672924,0.3621973868882213,0.4090410511067396,0.03797643,0.01426657,0.01575575,0.01993601,0.01037372,0.04886574,0.061637420000000005,0.15643016000000007,0.14409499,0.12407615,0.28500000000000003,0.06714852,0.01443854,7.59526,"q3v13b_groupe4. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Gender,Woman,779.1553,0.1537060711773378,0.4149999,0.275,0.03355516,0.0085052,0.01814854,0.01330406,0.02289984,0.05729335,0.0806813,0.1649999,0.17091048000000011,0.10670418,0.16799514,0.14636954,0.00863331,7.229133,"q3v13b_groupe4. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Age,18-24,150.494,0.15335674511940675,0.40095465599957475,0.2675713317474451,0.02291228,0.010631189999999999,0.0060626199999999995,0.02129,0.00982727,0.08263339,0.08901689999999998,0.22276935999999997,0.08884679999999999,0.059645159999999996,0.20792623,0.175,0.0034388,7.253691,"q3v13b_groupe4. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Age,25-34,226.9345,0.15239450149712802,0.4333397081536743,0.245,0.0349999,0.00658664,0.00970618,0.022166669999999996,0.03266097,0.0458616,0.10717611999999999,0.1849999,0.14067592,0.09782629,0.14686140999999983,0.1162071,0.0542713,7.06356,"q3v13b_groupe4. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Age,35-49,338.9696,0.1349999,0.435,0.3083202741484782,0.03001664,0.01175634,0.02492991,0.00825123,0.02340436,0.04239690000000001,0.05964128,0.1653989,0.20765983,0.11033467,0.19798575,0.11156292,0.006661109999999999,7.418847,"q3v13b_groupe4. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Age,50-64,403.0794,0.14755182229605382,0.4063335908508348,0.33092462676088136,0.04153571,0.00767068,0.01702117,0.01211168,0.00209763,0.06711489,0.08671195,0.16205336,0.15756826,0.09761533,0.23330926999999999,0.11281483999999999,0.00237467,7.401403,"q3v13b_groupe4. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Age,65+,369.3302,0.16070632729194637,0.305,0.46250888771078025,0.03978375,0.01781488,0.01866949,0.02328614,0.02040053,0.04075153,0.03714161,0.1169708,0.15045523,0.17130129,0.29120771,0.06971396,0.0025028799999999994,7.662835,"q3v13b_groupe4. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Socio-Professional Category,Total-CSP+,438.0569,0.1549999,0.4007760179100021,0.355,0.03801091,0.00737985,0.01346829,0.01497776,0.03218456,0.04993598,0.09185592,0.18031199,0.128608,0.10910957,0.245154,0.08735998,0.0016433200000000002,7.391219,"q3v13b_groupe4. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Socio-Professional Category,Small Business owners,52.24401,0.08862235115566358,0.45227213607837524,0.39758931215272336,0.01897488,0.0,0.0,0.02108159,0.0,0.04856587,0.26706411,0.13269056,0.05251739,0.125,0.27258915,0.06151645000000001,0,7.575369,"q3v13b_groupe4. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Socio-Professional Category,Cadres/Prof Lib,155.6393,0.17940423787565224,0.395,0.3436609519575069,0.06031599,0.0035552400000000003,0.01828638,0.01841903,0.01613205,0.06269555,0.06813144,0.16764673,0.15840106,0.12129462,0.22236626999999998,0.07813014,0.00462523,7.237144,"q3v13b_groupe4. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
Socio-Professional Category,Prof Intermed,229.278,0.1549999,0.39117878732368566,0.355,0.02735576,0.0116865,0.013319189999999998,0.0113094,0.05054078,0.04178175,0.06839601,0.19957401000000002,0.12320872,0.09787943,0.25509286,0.09985542000000001,0,7.452395,"q3v13b_groupe4. Les pays européens ont pris des sanctions économiques et financières contre la Russie. Vous personnellement, approuvez ou désapprouvez ces sanctions ?"
