Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,Je ne sais pas,No rep.,Moyenne,Question
Total,Total,5979.002,0.2482521330482913,0.35576020881076803,0.2249999,0.05934191,0.02294905,0.030717300000000003,0.03019447,0.02852076,0.07652851,0.08279526,0.13772024,0.13524491,0.08380487,0.14237028,0.14796846,0.02184385,6.495414,"q4v13b. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Gender,Man,2929.637,0.255,0.3549999,0.26738913387563035,0.07225888,0.02598529,0.03132972,0.02642174,0.02750773,0.06627394,0.07499990000000001,0.13169178,0.15033777,0.09868291,0.16966628000000022,0.10362171,0.021222349999999997,6.587194,"q4v13b. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Gender,Woman,3049.36,0.24678683395860115,0.353617152451662,0.18657947897263685,0.04693211,0.02003205,0.030128999999999996,0.03381913,0.02949407,0.08638052,0.08935996,0.14351234,0.12074498,0.06951108,0.11706837,0.19057425,0.02244095,6.397358,"q4v13b. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Age,18-24,478.2759,0.23462022652615364,0.3790768048316882,0.1870539368594571,0.047526000000000006,0.01267497,0.01961844,0.0343697,0.0293333,0.09109789999999998,0.11177833,0.12870191,0.13859653,0.04795924000000001,0.13909469,0.17806908,0.021179830000000004,6.532342,"q4v13b. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Age,25-34,836.9062,0.3060985807011586,0.3427315988338956,0.16150543513717544,0.05186004,0.035,0.05219788,0.03709327,0.03448668,0.09581298,0.095,0.13436822,0.11341436,0.05767809,0.10382731,0.15846349000000004,0.03079768,5.97567,"q4v13b. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Age,35-49,1494.556,0.2949999,0.345,0.1583589373700283,0.08067112,0.02912667,0.02999729,0.0349999,0.03141046,0.09068004,0.08671217,0.13706071999999994,0.11934695,0.06874751,0.08961143,0.1749999,0.02663584,5.910898,"q4v13b. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Age,50-64,1554.412,0.23704661312444833,0.34313187237360493,0.24150463326325322,0.06113528,0.01935338,0.03204718,0.02836368,0.02862799,0.0675191,0.07291259,0.13706887,0.13315028,0.08862091,0.1528836,0.16146015,0.01685805,6.583112,"q4v13b. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Age,65+,1614.848,0.1871969374207356,0.3749999,0.3192863972336716,0.04525249,0.01767278,0.022258400000000005,0.02180842,0.02241065,0.057794090000000006,0.07380038,0.14390407,0.16229633,0.11726181,0.2020244,0.09575248,0.0177643,7.140942,"q4v13b. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Socio-Professional Category,Total-CSP+,1734.019,0.2711083903924928,0.3749999,0.205,0.05772607,0.0249999,0.0373287,0.03086153,0.03008061,0.08914055,0.09826922,0.1549999,0.12499990000000001,0.0762483,0.12651799,0.12894845,0.01987888,6.321782,"q4v13b. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Socio-Professional Category,Small Business owners,212.9949,0.37978890574375257,0.305,0.151290993352423,0.09383619,0.04322896999999999,0.07866663,0.05936288000000001,0.04836731,0.05632679000000001,0.09825911,0.11046908,0.095,0.06354401,0.08774694000000001,0.14283680000000004,0.02235529,5.30171,"q4v13b. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.2306530907743279,0.4130347564629341,0.23458183356158463,0.05552853,0.01442861,0.02572995,0.02386576,0.02327581,0.08782444,0.08422839,0.17197013,0.15683619,0.10141036,0.13317142,0.10513143,0.01659889,6.692671,"q4v13b. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Socio-Professional Category,Prof Intermed,896.9079,0.2763948227014167,0.3764452292147276,0.1949999,0.052299780000000004,0.02977807,0.0363335,0.02965734,0.027915250000000003,0.10041086,0.10845894,0.15642665,0.11155983999999998,0.06187971999999999,0.13368285,0.13114803,0.0204482,6.290759,"q4v13b. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Socio-Professional Category,Total-CSP-,1674.09,0.2749999,0.33036694562418983,0.18511453983955461,0.0649999,0.021994189999999997,0.02948937,0.03700794,0.0349999,0.08883985,0.07776774,0.12879785,0.12380141,0.06850599,0.11660855,0.17893456000000005,0.02825275,6.198979,"q4v13b. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
Socio-Professional Category,Salaried,956.6466,0.28660500126169897,0.3249999,0.1764835624775126,0.07628657,0.02413333,0.035,0.03001604,0.03137628,0.09056919,0.06906112,0.14412365,0.11278418000000001,0.06778415,0.10869939,0.18078636000000003,0.02937974,6.062342,"q4v13b. Certains proposent de prendre des sanctions plus sévères contre la Russie même si ça implique une hausse significative des prix de l'énergie ou des coûts de la vie
en France. Êtes-vous opposé ou favorable ?"
