Indicator,Category,BASE,ST Elevé,ST Faible,Très élevée,Assez élevée,Assez faible,Très faible,Je ne sais pas,No rep.,Question
Total,Total,5979.002,0.565,0.16198131393834622,0.23721768,0.32749094,0.25446019,0.07183739,0.09014401,0.01884928,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Gender,Man,2929.637,0.5406178308097556,0.14816251979340786,0.20442542999999996,0.33619315,0.29696563,0.07927637,0.06888601,0.0142557,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Gender,Woman,3049.36,0.5878548285541884,0.17525798856153424,0.26872291,0.31882314000000006,0.21362391,0.065,0.1105675,0.02326254,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Age,18-24,478.2759,0.5487326457385789,0.1949999,0.22269385,0.32638050999999996,0.23783992,0.0723785,0.12499990000000001,0.01570732,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Age,25-34,836.9062,0.5318573335936573,0.18417046020211106,0.24086475000000002,0.29099259,0.26615169,0.06119579,0.12297459000000001,0.01782059,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Age,35-49,1494.556,0.577175027232168,0.17667614997363765,0.24747062,0.32970461,0.22479800000000003,0.06942744,0.10724864,0.02135018,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Age,50-64,1554.412,0.6037776985766965,0.14116463331471965,0.2700212,0.33375662,0.2379584,0.07023382,0.07093081,0.01710054,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Age,65+,1614.848,0.537323450875872,0.14499990000000001,0.19856494,0.33912603,0.2966613,0.08096613,0.0649999,0.0196817,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Socio-Professional Category,Total-CSP+,1734.019,0.5900517814395344,0.14648720688758313,0.24089367,0.34915810999999997,0.25448464,0.06938032,0.07710683,0.00897661,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Socio-Professional Category,Small Business owners,212.9949,0.47929598314325833,0.21370375534813274,0.205,0.2744984,0.2988016600000001,0.09329834000000001,0.12040547,0.00799613,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.5743679134164761,0.1584681448564191,0.25420297,0.31989520000000016,0.26243373,0.08501453999999999,0.07345356,0.005,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Socio-Professional Category,Prof Intermed,896.9079,0.6280816569906453,0.11808837897402844,0.23870422,0.3893730200000001,0.24152658,0.053093940000000006,0.065,0.01230224,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Socio-Professional Category,Total-CSP-,1674.09,0.5572150840157937,0.19324600230573027,0.25154227,0.30577329,0.22671171,0.07814574,0.1149999,0.02282709,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Socio-Professional Category,Salaried,956.6466,0.5786567369810336,0.18178865633348823,0.25785175,0.32080488,0.21603798,0.05350554,0.12828321,0.02351609,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Socio-Professional Category,Blue collar,717.4432,0.5286247050637597,0.20852312768453304,0.24312879000000004,0.28549577,0.24094409,0.11100139,0.09752170999999998,0.02190838,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Political similarity,Far left,187.3446,0.5631424658089957,0.1673996474945101,0.25343869,0.30966427999999996,0.255,0.12680349,0.040596139999999996,0.0144974,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Political similarity,Radical left,828.7407,0.5606968500521333,0.14499990000000001,0.21619778,0.34449919,0.2775271,0.08489608000000001,0.06159515,0.01528549,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Political similarity,Left,1430.296,0.5821350965114913,0.1362589282218506,0.2217083,0.36042665,0.27170243,0.06924895,0.06701002,0.00990422,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Political similarity,PC/LFI,641.3963,0.5599821826225065,0.14038409638471566,0.20532002,0.35466216000000006,0.28411841,0.07265535,0.0677287,0.01551569,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Political similarity,PS,449.3176,0.5782110471523929,0.15612484354051567,0.20023571,0.37797518,0.26349424,0.08670446,0.06942038,0.00217012,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Political similarity,EELV,339.583,0.6291675378331659,0.10218173465691745,0.28107302,0.34809457000000005,0.25911156,0.03971857,0.0624632,0.00953873,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Political similarity,EM,672.9198,0.4983026209066816,0.1661275236662675,0.16818022,0.3301224,0.33063613,0.10556946,0.06055812,0.00493293,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Political similarity,MoDem,161.1257,0.4889745087220723,0.16235119537106743,0.16574097,0.32323353999999993,0.3433798,0.09149862,0.07085251,0.005294359999999999,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
Political similarity,Right,573.0042,0.5565217497533177,0.1079561720490007,0.18788204,0.36863952999999994,0.33118571,0.05941278,0.04854338,0.00433677,"q13v13b_i1. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ligne électrique à haute tension"
