,id,Authors,Transform,CorrelationCoefficient,StandardError,Tstatistic,Observations,DegreesofFreedom,LaggedDependentVariable,CrossSection,CountryFixedEffects,StartYear,EndYear,AdvancedCountriesOnly,DevelopingCountriesOnly,MixofCountries,NonOLS,JournalName,DevelopmentJournal,YearofPublication,JournalImpactFactor,Primary,Crossauthor,Prior,Gini,TopIncomeShare,BottomIncomeShare,Theil,IncomeShareRatio,HighLowSkilled,OtherIneqVar,TradeGlobalization,FinancialGlobalization,OverallEconomicGlobalization,DataHyperGlobalizationOnly,SocialSpending,IncomeLevel,GDPgrowth,Unemployment,Population,Education,Democracy,PartisanPolitics,Technology,metric,globalization,country_type
0,1,Asteriou et al. 2014,1,-0.083,0.019483568,-4.26,348,307,0,0,0,1995,2009,0,0,1,0,Economic Modelling,0,2014,1.696,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,gini,hyper-globalisation-only,mix-of-countries
1,1,Asteriou et al. 2014,1,-0.079,0.01803653,-4.38,349,308,0,0,0,1995,2009,0,0,1,0,Economic Modelling,0,2014,1.696,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,gini,hyper-globalisation-only,mix-of-countries
2,1,Asteriou et al. 2014,1,-0.055,0.014824798,-3.71,349,308,0,0,0,1995,2009,0,0,1,0,Economic Modelling,0,2014,1.696,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,gini,hyper-globalisation-only,mix-of-countries
3,1,Asteriou et al. 2014,1,0.121,0.067597765,1.79,348,307,0,0,0,1995,2009,0,0,1,0,Economic Modelling,0,2014,1.696,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,gini,hyper-globalisation-only,mix-of-countries
4,1,Asteriou et al. 2014,1,0.117,0.066857143,1.75,349,308,0,0,0,1995,2009,0,0,1,0,Economic Modelling,0,2014,1.696,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,gini,hyper-globalisation-only,mix-of-countries
5,1,Asteriou et al. 2014,1,0.042,0.017721519,2.37,348,307,0,0,0,1995,2009,0,0,1,0,Economic Modelling,0,2014,1.696,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,gini,hyper-globalisation-only,mix-of-countries
6,1,Asteriou et al. 2014,1,0.044,0.017391304,2.53,349,308,0,0,0,1995,2009,0,0,1,0,Economic Modelling,0,2014,1.696,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,gini,hyper-globalisation-only,mix-of-countries
7,1,Asteriou et al. 2014,1,0.05,0.017064846,2.93,349,308,0,0,0,1995,2009,0,0,1,0,Economic Modelling,0,2014,1.696,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,gini,hyper-globalisation-only,mix-of-countries
8,1,Asteriou et al. 2014,1,5.627,0.551126347,10.21,348,307,0,0,0,1995,2009,0,0,1,0,Economic Modelling,0,2014,1.696,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,gini,hyper-globalisation-only,mix-of-countries
9,1,Asteriou et al. 2014,1,5.693,0.547403846,10.4,349,308,0,0,0,1995,2009,0,0,1,0,Economic Modelling,0,2014,1.696,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,gini,hyper-globalisation-only,mix-of-countries
10,1,Asteriou et al. 2014,1,5.589,0.548478901,10.19,349,308,0,0,0,1995,2009,0,0,1,0,Economic Modelling,0,2014,1.696,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,gini,hyper-globalisation-only,mix-of-countries
11,1,Asteriou et al. 2014,1,0.052,0.034666667,1.5,348,280,0,0,1,1995,2009,0,0,1,0,Economic Modelling,0,2014,1.696,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,gini,hyper-globalisation-only,mix-of-countries
12,1,Asteriou et al. 2014,1,0.064,0.033160622,1.93,349,283,0,0,1,1995,2009,0,0,1,0,Economic Modelling,0,2014,1.696,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,gini,hyper-globalisation-only,mix-of-countries
13,1,Asteriou et al. 2014,1,0.051,0.025888325,1.97,349,289,0,0,1,1995,2009,0,0,1,0,Economic Modelling,0,2014,1.696,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,gini,hyper-globalisation-only,mix-of-countries
14,1,Asteriou et al. 2014,1,0.061,0.045522388,1.34,348,280,0,0,1,1995,2009,0,0,1,0,Economic Modelling,0,2014,1.696,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,gini,hyper-globalisation-only,mix-of-countries
