Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,Je ne sais pas,No rep.,Moyenne,Question
Total,Total,5979.002,0.34258961612657096,0.325,0.2649999,0.13914568,0.03922625,0.03065923,0.03178748,0.028463509999999997,0.07330777,0.05723402,0.10904281000000002,0.15870925000000005,0.12223018,0.14499990000000001,0.05710013,0.00809379,5.997313,"q20v13b. Dans quelle mesure vous sentiriez-vous coupable si vous ne votiez pas lors d'une élection ?La note 0 signifiant que vous ne ressentez pas du tout coupable et la
note 10 signifiant que vous ressentez extrêmement coupable. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note.Pas coupable du toutExtrêmement coupable"
Gender,Man,2929.637,0.33331327396534105,0.3105534235128789,0.2932141080959859,0.1291657,0.03761626,0.026897890000000004,0.03321967,0.0331503,0.07326358,0.04939288000000001,0.09707496000000002,0.16408531,0.13187825,0.16133634000000002,0.057048129999999996,0.00587346,6.166832,"q20v13b. Dans quelle mesure vous sentiriez-vous coupable si vous ne votiez pas lors d'une élection ?La note 0 signifiant que vous ne ressentez pas du tout coupable et la
note 10 signifiant que vous ressentez extrêmement coupable. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note.Pas coupable du toutExtrêmement coupable"
Gender,Woman,3049.36,0.3515029383214838,0.33534512159928637,0.2449999,0.14873419,0.04077311,0.035,0.030411579999999997,0.02396079,0.07335034,0.065,0.12054096999999998,0.1490784100000002,0.11296124,0.1328122,0.05715022,0.010226949999999999,5.833671,"q20v13b. Dans quelle mesure vous sentiriez-vous coupable si vous ne votiez pas lors d'une élection ?La note 0 signifiant que vous ne ressentez pas du tout coupable et la
note 10 signifiant que vous ressentez extrêmement coupable. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note.Pas coupable du toutExtrêmement coupable"
Age,18-24,478.2759,0.3509493160746757,0.3357145948604143,0.24778062202172427,0.13014814,0.05695838,0.03322214,0.04081736,0.0393774,0.05042602000000001,0.05686609,0.10520147,0.17364694999999997,0.12830168,0.11947886,0.06388449,0.00167098,5.855651,"q20v13b. Dans quelle mesure vous sentiriez-vous coupable si vous ne votiez pas lors d'une élection ?La note 0 signifiant que vous ne ressentez pas du tout coupable et la
note 10 signifiant que vous ressentez extrêmement coupable. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note.Pas coupable du toutExtrêmement coupable"
Age,25-34,836.9062,0.3249999,0.355,0.2449331836710016,0.08977491000000001,0.0412873,0.03830749,0.020088710000000003,0.0449999,0.09209235,0.06731477,0.1268822,0.15696247000000005,0.10388275999999999,0.14105034,0.07045677,0.00690003,6.188679,"q20v13b. Dans quelle mesure vous sentiriez-vous coupable si vous ne votiez pas lors d'une élection ?La note 0 signifiant que vous ne ressentez pas du tout coupable et la
note 10 signifiant que vous ressentez extrêmement coupable. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note.Pas coupable du toutExtrêmement coupable"
Age,35-49,1494.556,0.405,0.3149999,0.215,0.18981895999999993,0.04580785,0.02278725,0.0351597,0.0279111,0.08196427999999999,0.06435581,0.11314016,0.14182259,0.095,0.11911437,0.05939319999999999,0.00372473,5.414635,"q20v13b. Dans quelle mesure vous sentiriez-vous coupable si vous ne votiez pas lors d'une élection ?La note 0 signifiant que vous ne ressentez pas du tout coupable et la
note 10 signifiant que vous ressentez extrêmement coupable. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note.Pas coupable du toutExtrêmement coupable"
Age,50-64,1554.412,0.37761713110809747,0.30962788501375443,0.24766850744847568,0.16211235999999996,0.03877917,0.03108828,0.04210114999999999,0.02815901,0.07669376,0.056742179999999996,0.09656783,0.1549999,0.11080305999999998,0.13686539,0.05018435,0.01490356,5.729105,"q20v13b. Dans quelle mesure vous sentiriez-vous coupable si vous ne votiez pas lors d'une élection ?La note 0 signifiant que vous ne ressentez pas du tout coupable et la
note 10 signifiant que vous ressentez extrêmement coupable. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note.Pas coupable du toutExtrêmement coupable"
Age,65+,1614.848,0.25769818583544707,0.3218961165385225,0.35959978895846545,0.09921807000000002,0.027245409999999998,0.03280909,0.02212743,0.01721938,0.05907877,0.0449999,0.10915125999999999,0.16674374,0.16658415999999998,0.19401579000000005,0.05270357,0.00810343,6.736569,"q20v13b. Dans quelle mesure vous sentiriez-vous coupable si vous ne votiez pas lors d'une élection ?La note 0 signifiant que vous ne ressentez pas du tout coupable et la
note 10 signifiant que vous ressentez extrêmement coupable. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note.Pas coupable du toutExtrêmement coupable"
Socio-Professional Category,Total-CSP+,1734.019,0.32698978500235576,0.3692178113388607,0.2549999,0.12132895,0.04882639999999999,0.03059122,0.03732194,0.02994763,0.05897346,0.06593763,0.1186547,0.18462549,0.11116199,0.14441658,0.04557117,0.0026429199999999996,6.077489,"q20v13b. Dans quelle mesure vous sentiriez-vous coupable si vous ne votiez pas lors d'une élection ?La note 0 signifiant que vous ne ressentez pas du tout coupable et la
note 10 signifiant que vous ressentez extrêmement coupable. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note.Pas coupable du toutExtrêmement coupable"
Socio-Professional Category,Small Business owners,212.9949,0.36241872457979046,0.31308674526948765,0.215,0.20547534,0.05009712,0.01952334,0.02050967,0.00271736,0.06409585,0.05509803,0.07356998,0.18441878,0.10735778,0.10588573000000001,0.11125116,0,5.432385,"q20v13b. Dans quelle mesure vous sentiriez-vous coupable si vous ne votiez pas lors d'une élection ?La note 0 signifiant que vous ne ressentez pas du tout coupable et la
note 10 signifiant que vous ressentez extrêmement coupable. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note.Pas coupable du toutExtrêmement coupable"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.235,0.4149999,0.3149999,0.07642778,0.02712933,0.01582252,0.01781462,0.028095459999999996,0.05578049,0.07728238,0.1345569,0.20398039,0.1309538,0.18416609,0.04415832,0.0038318700000000002,6.891929,"q20v13b. Dans quelle mesure vous sentiriez-vous coupable si vous ne votiez pas lors d'une élection ?La note 0 signifiant que vous ne ressentez pas du tout coupable et la
note 10 signifiant que vous ressentez extrêmement coupable. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note.Pas coupable du toutExtrêmement coupable"
Socio-Professional Category,Prof Intermed,896.9079,0.38718222907837024,0.3549999,0.22798349752521968,0.12940024,0.06441399,0.04377625,0.05540835,0.03852261,0.05566079,0.06067359,0.12130198,0.17328177999999997,0.09968184,0.12830158,0.02702108,0.002555,5.698699,"q20v13b. Dans quelle mesure vous sentiriez-vous coupable si vous ne votiez pas lors d'une élection ?La note 0 signifiant que vous ne ressentez pas du tout coupable et la
note 10 signifiant que vous ressentez extrêmement coupable. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note.Pas coupable du toutExtrêmement coupable"
Socio-Professional Category,Total-CSP-,1674.09,0.395,0.293959703480697,0.24297498939722478,0.14648395000000003,0.04865662,0.02570083,0.02870782,0.03682027,0.10066161,0.06161323,0.10845963999999998,0.12388677,0.10388492000000002,0.13909007,0.0649999,0.01103437,5.721324,"q20v13b. Dans quelle mesure vous sentiriez-vous coupable si vous ne votiez pas lors d'une élection ?La note 0 signifiant que vous ne ressentez pas du tout coupable et la
note 10 signifiant que vous ressentez extrêmement coupable. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note.Pas coupable du toutExtrêmement coupable"
Socio-Professional Category,Salaried,956.6466,0.4049999,0.30659859137115003,0.2149999,0.17318595000000012,0.03981877,0.03078541,0.030157259999999998,0.03816126,0.09283799000000001,0.06600795,0.10750354,0.13308708,0.09334445,0.12313272,0.065,0.00697762,5.483085,"q20v13b. Dans quelle mesure vous sentiriez-vous coupable si vous ne votiez pas lors d'une élection ?La note 0 signifiant que vous ne ressentez pas du tout coupable et la
note 10 signifiant que vous ressentez extrêmement coupable. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note.Pas coupable du toutExtrêmement coupable"
Socio-Professional Category,Blue collar,717.4432,0.3604332719300984,0.2749999,0.27830732802262254,0.10817012000000001,0.06044111,0.01892098,0.0267751,0.0349999,0.11109387,0.054999900000000004,0.10973438999999999,0.11161911999999999,0.11793972,0.16115307999999992,0.06770901,0.0164437,6.043532,"q20v13b. Dans quelle mesure vous sentiriez-vous coupable si vous ne votiez pas lors d'une élection ?La note 0 signifiant que vous ne ressentez pas du tout coupable et la
note 10 signifiant que vous ressentez extrêmement coupable. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note.Pas coupable du toutExtrêmement coupable"
Political similarity,Far left,187.3446,0.46759266079726874,0.31516382110826785,0.18111650936296,0.11113766,0.09938322,0.03405864,0.00787364,0.04962205,0.165,0.05067698,0.105,0.16000394000000026,0.10366752,0.07744899,0.03386432,0.00226304,5.436647,"q20v13b. Dans quelle mesure vous sentiriez-vous coupable si vous ne votiez pas lors d'une élection ?La note 0 signifiant que vous ne ressentez pas du tout coupable et la
note 10 signifiant que vous ressentez extrêmement coupable. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note.Pas coupable du toutExtrêmement coupable"
