Indicator,Category,BASE,ST D'accord,ST Pas D'accord,Tout à fait d'accord,Plutôt d'accord,Pas vraiment d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.30832419858698823,0.6625600727345466,0.10971236,0.19861157,0.30756155999999996,0.3549999,0.029114609999999996,"q5v13b. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Gender,Man,2929.637,0.295,0.6846479615051284,0.11655816,0.17566883,0.28489079,0.39975805999999997,0.02312639,"q5v13b. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Gender,Woman,3049.36,0.32378961487000546,0.6413417897526038,0.10313558,0.2206541,0.32705774000000004,0.31415258,0.035,"q5v13b. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,18-24,478.2759,0.4079983959049578,0.5819017851411706,0.12387676000000002,0.28500000000000003,0.29998336,0.28104009,0.010099789999999999,"q5v13b. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,25-34,836.9062,0.45207778362736467,0.5127658272814803,0.17431177000000003,0.27776625,0.26815657,0.24460925,0.03515625,"q5v13b. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,35-49,1494.556,0.3379632479478855,0.6230710659219193,0.1169073,0.22105575,0.31479623,0.3082745,0.03896548,"q5v13b. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,50-64,1554.412,0.3025201169316758,0.6691276186751002,0.10980943,0.19271062,0.30506056,0.36406738,0.02835344,"q5v13b. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,65+,1614.848,0.185,0.7943119104708307,0.06528596,0.11717219999999999,0.32161293,0.4726993500000001,0.023230899999999995,"q5v13b. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Socio-Professional Category,Total-CSP+,1734.019,0.32954569701946745,0.6488446781724998,0.10529498000000001,0.22425095,0.29706826,0.35177735,0.02160871,"q5v13b. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Socio-Professional Category,Small Business owners,212.9949,0.37070906392594377,0.5722831861232358,0.12561728,0.24499990000000002,0.23410457,0.33827022,0.057008029999999994,"q5v13b. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
