Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Plutôt pas d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.7037156033732719,0.265,0.31229125,0.39142452,0.14522992,0.11648539,0.03456804,"q27_i25. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faudrait assujettir le RSA à des obligations d'activité"
Gender,Man,2929.637,0.7149998999999999,0.24910499150577356,0.33418928999999997,0.38170582,0.13643892,0.11266597,0.035,"q27_i25. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faudrait assujettir le RSA à des obligations d'activité"
Gender,Woman,3049.36,0.6915756093081826,0.2738309678096387,0.29125387,0.39991502999999995,0.15367602,0.12015507999999998,0.035,"q27_i25. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faudrait assujettir le RSA à des obligations d'activité"
Age,18-24,478.2759,0.7174921420878618,0.2410403702130925,0.3200316,0.3975349999999999,0.12596595,0.1149999,0.04146755,"q27_i25. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faudrait assujettir le RSA à des obligations d'activité"
Age,25-34,836.9062,0.686002445674318,0.27303991773510583,0.27781094,0.40819137999999994,0.14070836,0.13233132,0.04095786,"q27_i25. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faudrait assujettir le RSA à des obligations d'activité"
Age,35-49,1494.556,0.6584305305388356,0.3042864904359555,0.28952793,0.36920200999999997,0.17898787,0.12499990000000001,0.03728229,"q27_i25. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faudrait assujettir le RSA à des obligations d'activité"
Age,50-64,1554.412,0.681790284686428,0.2876520510649686,0.3183086,0.36348227,0.14792294,0.13972917,0.03055853,"q27_i25. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faudrait assujettir le RSA à des obligations d'activité"
Age,65+,1614.848,0.771835491637603,0.19760454234701966,0.34314554999999997,0.4286906300000001,0.11944374999999999,0.07816061,0.03056055,"q27_i25. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faudrait assujettir le RSA à des obligations d'activité"
Socio-Professional Category,Total-CSP+,1734.019,0.6922380896633774,0.2885185802462372,0.30389696,0.38834194,0.15196627,0.13655243,0.01924272,"q27_i25. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faudrait assujettir le RSA à des obligations d'activité"
Socio-Professional Category,Small Business owners,212.9949,0.6862497646657267,0.2949999,0.36008661000000003,0.32635462,0.10004437,0.1949999,0.0185145,"q27_i25. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faudrait assujettir le RSA à des obligations d'activité"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.6997739451036296,0.27361439152065864,0.2935307,0.40624308,0.15001976,0.12359445,0.02661196,"q27_i25. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faudrait assujettir le RSA à des obligations d'activité"
Socio-Professional Category,Prof Intermed,896.9079,0.6890215818145876,0.29926562136424484,0.29601635,0.39283844,0.16443305,0.135,0.01171216,"q27_i25. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faudrait assujettir le RSA à des obligations d'activité"
Socio-Professional Category,Total-CSP-,1674.09,0.6823916276902676,0.2722879892956771,0.31130112,0.3710904400000001,0.15293079,0.1193572,0.04532029,"q27_i25. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faudrait assujettir le RSA à des obligations d'activité"
Socio-Professional Category,Salaried,956.6466,0.6764111219336377,0.2908092706334816,0.28747178,0.38893987,0.15404006,0.13676921,0.03277881,"q27_i25. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faudrait assujettir le RSA à des obligations d'activité"
Socio-Professional Category,Blue collar,717.4432,0.6903657320886168,0.24759172572825278,0.34307566,0.34728965,0.15145185,0.09613992,0.06204324,"q27_i25. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faudrait assujettir le RSA à des obligations d'activité"
Political similarity,Far left,187.3446,0.615,0.3635311612931464,0.17093036000000003,0.445,0.19203225000000004,0.17012169,0.0219157,"q27_i25. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Il faudrait assujettir le RSA à des obligations d'activité"
