Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Ni d'accord ni pas d'accord,Pas vraiment d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.49696939388881284,0.2449999,0.19943295,0.29753645,0.23716950999999997,0.16461605,0.08493372,0.01631107,"pop1_i1. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- C'est le peuple, et pas les responsables politiques, qui devrait prendre les décisions politiques les plus importantes"
Gender,Man,2929.637,0.5177460552280027,0.26100093629347254,0.22116924,0.29657746,0.21134332,0.17153494,0.0894659,0.00991163,"pop1_i1. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- C'est le peuple, et pas les responsables politiques, qui devrait prendre les décisions politiques les plus importantes"
Gender,Woman,3049.36,0.4770089461395177,0.23854851509825012,0.17855002,0.2984584,0.26198242,0.15796921,0.08057953,0.02245928,"pop1_i1. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- C'est le peuple, et pas les responsables politiques, qui devrait prendre les décisions politiques les plus importantes"
Age,18-24,478.2759,0.4842449724102762,0.20094474758188735,0.19031402,0.29393097,0.29546732,0.16150684,0.03943793,0.01934286,"pop1_i1. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- C'est le peuple, et pas les responsables politiques, qui devrait prendre les décisions politiques les plus importantes"
Age,25-34,836.9062,0.5749998999999999,0.1705151664547353,0.2331468,0.34390439,0.23743366,0.12251194,0.04800321,0.015,"pop1_i1. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- C'est le peuple, et pas les responsables politiques, qui devrait prendre les décisions politiques les plus importantes"
Age,35-49,1494.556,0.5325245089511533,0.20262673329068967,0.2303915,0.30213307,0.24937614,0.12958477,0.07304189,0.015472009999999998,"pop1_i1. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- C'est le peuple, et pas les responsables politiques, qui devrait prendre les décisions politiques les plus importantes"
Age,50-64,1554.412,0.5031167412500676,0.2575940612913436,0.21247102,0.29061163000000007,0.22235302,0.175,0.08262661,0.01693772,"pop1_i1. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- C'est le peuple, et pas les responsables politiques, qui devrait prendre les décisions politiques les plus importantes"
Age,65+,1614.848,0.42027732641090676,0.34059075529090044,0.14345852,0.27681887,0.22273211,0.20981585,0.1307746,0.01640083,"pop1_i1. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- C'est le peuple, et pas les responsables politiques, qui devrait prendre les décisions politiques les plus importantes"
Socio-Professional Category,Total-CSP+,1734.019,0.4873290892429668,0.2349999,0.18829297999999997,0.29903571,0.26503839,0.16464006,0.07394832,0.00904442,"pop1_i1. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- C'est le peuple, et pas les responsables politiques, qui devrait prendre les décisions politiques les plus importantes"
Socio-Professional Category,Small Business owners,212.9949,0.5113014443068825,0.24881760079701437,0.28784417,0.22345699,0.23164888000000003,0.18295724,0.0658604,0.0082325,"pop1_i1. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- C'est le peuple, et pas les responsables politiques, qui devrait prendre les décisions politiques les plus importantes"
