Indicator,Category,BASE,ST Elevé,ST Faible,Très élevée,Assez élevée,Assez faible,Très faible,Je ne sais pas,No rep.,Question
Total,Total,5979.002,0.1807057431992831,0.431517667998773,0.05717061,0.12353525,0.37143841000000005,0.34959814,0.08191942,0.0163372,"q13v13b_i5. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ferme de panneaux solaires"
Gender,Man,2929.637,0.165,0.4349999,0.04793594000000001,0.11550455,0.38512791999999996,0.37412246,0.06411968,0.013191549999999998,"q13v13b_i5. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ferme de panneaux solaires"
Gender,Woman,3049.36,0.1972935304457329,0.4249999,0.06604281,0.13125079,0.3593265700000001,0.32499989999999995,0.09902054999999998,0.01935938,"q13v13b_i5. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ferme de panneaux solaires"
Age,18-24,478.2759,0.2838079443266951,0.3508483283393539,0.08372772000000002,0.20008018,0.34848421,0.27250401,0.07834428,0.0168596,"q13v13b_i5. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ferme de panneaux solaires"
Age,25-34,836.9062,0.20639959412416828,0.43097601618915,0.08759212,0.11880744,0.34762443,0.3197111,0.11126501,0.0149999,"q13v13b_i5. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ferme de panneaux solaires"
Age,35-49,1494.556,0.2095486552527975,0.3930938017712284,0.05709256,0.15245605,0.37873395,0.30206523,0.09102877,0.01862314,"q13v13b_i5. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ferme de panneaux solaires"
Age,50-64,1554.412,0.16941287123362403,0.4681422943209394,0.05883175000000001,0.11058104,0.35014945,0.38544910000000004,0.08269300999999998,0.01229694,"q13v13b_i5. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ferme de panneaux solaires"
Age,65+,1614.848,0.12103021460843374,0.45599994550570705,0.0320123,0.08901798,0.40491254,0.39740533,0.05859466000000001,0.01805803,"q13v13b_i5. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ferme de panneaux solaires"
Socio-Professional Category,Total-CSP+,1734.019,0.18657408021480734,0.43953290015853347,0.0555583,0.13101581,0.36916885,0.36800589,0.07152696,0.00472455,"q13v13b_i5. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ferme de panneaux solaires"
Socio-Professional Category,Small Business owners,212.9949,0.215,0.4949999,0.055,0.15897291,0.28831841,0.3427511,0.15367532,0.00128226,"q13v13b_i5. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une ferme de panneaux solaires"
