Indicator,Category,BASE,ST Confiance,ST Pas Confiance,Très confiance,Plutôt confiance,Plutôt pas confiance,Pas du tout confiance,No rep.,Question
Total,Total,5979.002,0.6229267024831234,0.335,0.059166109999999994,0.56376081,0.24809241,0.08609485,0.0428848,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Gender,Man,2929.637,0.605,0.3549999,0.06553078,0.53697233,0.26324265,0.09330941,0.0409463,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Gender,Woman,3049.36,0.6425512238633679,0.3127008946139518,0.05305139,0.58924781,0.23353717,0.07916363,0.045,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Age,18-24,478.2759,0.6295088253453707,0.33969326073088774,0.08399343999999999,0.54551505,0.27001967,0.0696737,0.030798140000000005,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Age,25-34,836.9062,0.555,0.4136844726446046,0.076736,0.47748648000000005,0.31782952,0.09499990000000001,0.0329481,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Age,35-49,1494.556,0.5949998999999999,0.365,0.04195174,0.55393113,0.26590794,0.09847761,0.03973112,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Age,50-64,1554.412,0.6278359920021204,0.32833753213433764,0.0589869,0.5686552100000001,0.235,0.09353009000000001,0.04382780000000001,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Age,65+,1614.848,0.6773361951093849,0.26903912937935953,0.05881184,0.61852422,0.2017562,0.06728287,0.05362548,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Socio-Professional Category,Total-CSP+,1734.019,0.614651281214335,0.35867784609049846,0.07193583,0.54271545,0.25278985,0.10588806,0.0266709,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Socio-Professional Category,Small Business owners,212.9949,0.5297563462787137,0.45615622721483007,0.07730241,0.45245379,0.25992031,0.19623583,0.0140879,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.6396308333058786,0.33671024819546586,0.07980753,0.5598231,0.24150613,0.09520401,0.02365904,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Socio-Professional Category,Prof Intermed,896.9079,0.6170911193891814,0.3549999,0.065,0.55209219,0.26135404,0.09379112,0.02776265,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Socio-Professional Category,Total-CSP-,1674.09,0.6123398383599449,0.3405248224408485,0.054999900000000004,0.55734044,0.25716831,0.08335645,0.0471349,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Socio-Professional Category,Salaried,956.6466,0.6126004106427598,0.35112788776963194,0.048604079999999994,0.56399626,0.27121468,0.07991307,0.03627135,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Socio-Professional Category,Blue collar,717.4432,0.6119932560514895,0.3263865348504244,0.0649999,0.54699303,0.23843853,0.08794805,0.06162049,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Political similarity,Far left,187.3446,0.625,0.3549999,0.12789224,0.495,0.21278337,0.1443344,0.01998999,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Political similarity,Radical left,828.7407,0.5756005467090008,0.40102036740804453,0.07052851,0.50507221,0.30663234,0.09438794,0.02337956,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Political similarity,Left,1430.296,0.6682489498677197,0.29757211094766395,0.06207371,0.60617523,0.23767772999999998,0.05989432,0.03417996,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Political similarity,PC/LFI,641.3963,0.56191889476132,0.4137119281791928,0.053773169999999995,0.50751496,0.33391275000000004,0.07979912,0.025,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Political similarity,PS,449.3176,0.8006744004686217,0.16264920403741137,0.07929382,0.7213805999999999,0.14141883,0.02123036,0.03667637,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Political similarity,EELV,339.583,0.695,0.2549999,0.055,0.6388621800000001,0.18327513,0.07345636,0.04940633,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Political similarity,EM,672.9198,0.875,0.10191511677914662,0.135,0.73985427,0.08095418,0.02096094,0.023230610000000002,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Political similarity,MoDem,161.1257,0.8460922124775875,0.12931742111903935,0.095,0.75109241,0.10890305,0.020414409999999997,0.02459013,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Political similarity,Right,573.0042,0.7604284575924575,0.20983511115625333,0.0849999,0.67542834,0.16610328999999996,0.04373186,0.02973661,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Political similarity,UDI/PR,89.32552,0.7453120899827955,0.2140264058916198,0.06693252,0.67837959,0.13351112,0.08051524,0.04066165,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Political similarity,LR,397.5368,0.8198747889503563,0.14787788199733962,0.10272292000000001,0.7171519699999999,0.13142539,0.01645249,0.03224753,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Political similarity,Radical right,1008.8,0.5147584258524981,0.46136409595559086,0.04296746,0.47066854,0.33165047999999997,0.12971352,0.025,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Political similarity,Debout la France,86.14185,0.501763312489806,0.491416541437176,0.0227082,0.47905507,0.3599355,0.13148092,0.00682013,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Political similarity,Reconquete,205.4045,0.45173693857729497,0.528848686372499,0.03467934,0.41705756,0.38058022,0.14826861,0.01941449,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Political similarity,RN,717.2537,0.535,0.4349999,0.04777409,0.4865925400000001,0.31424125,0.12418747,0.02720512,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Political similarity,No preference,1860.95,0.5092731131948736,0.4200501356833875,0.023535969999999996,0.48573718,0.30297955,0.11707053,0.07067723,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Politics,Total-left,1649.278,0.6344042665942309,0.3304770329804921,0.06247231,0.57193208,0.24943163,0.0810454,0.03511906,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Politics,Very Left,217.9165,0.45319152060536944,0.509710829606753,0.07875856,0.37443291,0.3052008,0.20451031,0.03709794,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Politics,Left,1431.362,0.6619926335895462,0.3031895495339404,0.05999281,0.60181759,0.24094101000000004,0.06224859,0.035,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Politics,Center,776.1196,0.805,0.17997548316006967,0.0866207,0.71840397,0.14048582,0.03948961,0.0149999,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Politics,Total-right,1622.94,0.6449999,0.32707764920453003,0.07360623,0.5743159999999999,0.23745406,0.08962371,0.025,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Politics,Right,1193.119,0.7089915590984638,0.2682295730769521,0.08301008,0.62598182,0.21019731,0.05803237,0.02277747,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Politics,Very Right,429.8207,0.47916468425089814,0.49043147526398795,0.04750246000000001,0.43166232000000004,0.31311498,0.17731661000000004,0.03040317,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Politics,Both left and Right,200.4265,0.6828488248809413,0.2763283797302253,0.05256915,0.62881809,0.24278965,0.035,0.040823109999999996,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Politics,Neither left nor right,1673.316,0.5056402974692168,0.4149999,0.03134991,0.475,0.30347209,0.11347641,0.07670159,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Loss of job risk,High risk,556.2398,0.5265912291784947,0.4533066493983351,0.08241372000000001,0.445,0.2629447999999999,0.18953948,0.020102,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Loss of job risk,Low risk,1874.312,0.5824259781722573,0.3765486749271199,0.05719688,0.5249999,0.28946499,0.08731284,0.04102539,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
Loss of job risk,Zero risk,3478.817,0.665,0.28935324853247524,0.05654103,0.60910599,0.22103497000000003,0.06831811,0.0449999,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
1st round vote,Arthaud,24.07418,0.6186420472057615,0.31377151786685986,0.25772496,0.36139518999999987,0.2249999,0.08829368000000001,0.06758627,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
1st round vote,Poutou,32.85668,0.6583181867431525,0.27270898946576466,0.08297573,0.5755108400000001,0.24754068,0.0249999,0.06897285,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
1st round vote,Roussel,98.04205,0.6436818691571626,0.2703173791245695,0.01963118,0.6240507,0.24413943,0.0261779,0.08600058,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
1st round vote,Melenchon,942.3053,0.5879761049842339,0.37061831234526643,0.04697413,0.54100205,0.28814716,0.08247116,0.04140487,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
1st round vote,Hidalgo,75.31895,0.8179253693791536,0.1549999,0.05783408000000001,0.76009145,0.13384148,0.0231341,0.02509923,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
1st round vote,Jadot,198.8808,0.7194223876814655,0.2231026826118962,0.06294026,0.6564821700000001,0.19079951,0.03230315,0.05747503,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
1st round vote,Macron,1195.294,0.8631558428302993,0.10776896730009519,0.12073331,0.74242287,0.09086836,0.01690061,0.02907529,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
1st round vote,Pecresse,205.1207,0.8130213089171401,0.1634100800163026,0.0707346,0.74085533,0.1327688,0.03064127,0.025,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
1st round vote,Dupont-Aignan,88.56025,0.535,0.4549999,0.02562239,0.50620216,0.32305701,0.13205733,0.01306119,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
1st round vote,Zemmour,303.4525,0.4719364645208064,0.49856303704863203,0.04110245,0.43083415,0.34610788,0.15245519,0.02950072,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
1st round vote,Le Pen,993.0248,0.5449999,0.43046920882539896,0.04330056999999999,0.50123012,0.30782685,0.12264246000000001,0.025,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
1st round vote,Lassalle,134.5409,0.606636717905113,0.3646951967765936,0.0370668,0.56956985,0.31993765,0.0447575,0.02866768,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
1st round vote,Blank/Null/NA,96.61228,0.5491538963783901,0.39911706876185926,0.03128553,0.51786833,0.26067214,0.13844482,0.05172885,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
1st round vote,Blank,63.86856,0.5800985649277203,0.3816218809379764,0.025664080000000002,0.55443445,0.24348083,0.13814102,0.0382793,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
1st round vote,Null,19.09123,0.339408513752126,0.5821028817944156,0.02708878,0.31231974,0.3671809,0.21492187999999998,0.07848902,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
2nd round vote,Macron,2287.563,0.805,0.16411176435359376,0.095,0.7067986700000001,0.14131891,0.02279271,0.03408971,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
2nd round vote,Le Pen,1619.66,0.5149999,0.4576629045602163,0.04378577,0.47315412999999984,0.325,0.13302421,0.025035890000000005,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
2nd round vote,Blank/Null/NA,370.4173,0.6219326149183636,0.33056717383340356,0.03313636,0.58888319,0.25548037,0.07499990000000001,0.04750018,"q25_i20. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans chacune des organisations suivantes... ?
- La préfecture de votre département"
