Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Plutôt pas d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.7492395888143204,0.2270641488328654,0.31217451,0.43582311000000007,0.15330692,0.075,0.02369546,"q56_i8. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- C'est utile de voter car c'est par les élections que l'on peut faire évoluer les choses"
Gender,Man,2929.637,0.7643462312907708,0.215,0.3348792,0.42946857000000005,0.13697974,0.07750715,0.02116758,"q56_i8. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- C'est utile de voter car c'est par les élections que l'on peut faire évoluer les choses"
Gender,Woman,3049.36,0.7347279429126111,0.23914778838838313,0.29036155,0.4443657,0.16899325999999998,0.07015449,0.02612412,"q56_i8. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- C'est utile de voter car c'est par les élections que l'on peut faire évoluer les choses"
Age,18-24,478.2759,0.7248891278025926,0.23699835178816245,0.27014826,0.45474066,0.17881323,0.05818506,0.03811288,"q56_i8. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- C'est utile de voter car c'est par les élections que l'on peut faire évoluer les choses"
Age,25-34,836.9062,0.7492727380917957,0.2308906302761289,0.2828299,0.46644295,0.16767876999999998,0.06321189,0.01983645,"q56_i8. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- C'est utile de voter car c'est par les élections que l'on peut faire évoluer les choses"
Age,35-49,1494.556,0.6767601883101068,0.3019939701155393,0.265,0.4117609400000001,0.20967537999999997,0.09231845,0.02124523,"q56_i8. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- C'est utile de voter car c'est par les élections que l'on peut faire évoluer les choses"
Age,50-64,1554.412,0.760065542468792,0.21918995736008215,0.30579061,0.45427530999999993,0.1277447,0.09144519,0.02074574,"q56_i8. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- C'est utile de voter car c'est par les élections que l'on peut faire évoluer les choses"
Age,65+,1614.848,0.8130975794625872,0.16037057357720358,0.38994667,0.42315159,0.11074064,0.04962992,0.02653243,"q56_i8. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- C'est utile de voter car c'est par les élections que l'on peut faire évoluer les choses"
Socio-Professional Category,Total-CSP+,1734.019,0.7715959283029771,0.2166917432853965,0.32031460000000006,0.45031616999999996,0.145,0.07265728,0.01171195,"q56_i8. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- C'est utile de voter car c'est par les élections que l'on peut faire évoluer les choses"
Socio-Professional Category,Small Business owners,212.9949,0.6751879974590941,0.32481228423779157,0.31018771,0.365,0.20323975000000002,0.12157254,0,"q56_i8. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- C'est utile de voter car c'est par les élections que l'on peut faire évoluer les choses"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.8197611480919627,0.1589932705312014,0.33752804,0.48223261,0.11131472,0.04767853,0.021246,"q56_i8. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- C'est utile de voter car c'est par les élections que l'on peut faire évoluer les choses"
