Indicator,Category,BASE,ST 1-2,ST 3-5,ST 6-7,1.0,2.0,3.0,4.0,5.0,6.0,7.0,Ne peut choisir,No rep.,moyenne,Question
Total,Total,5979.002,0.04902699480615661,0.5716303490114236,0.29390992008365274,0.02022132,0.02880568,0.06693187,0.18400077,0.32061648000000004,0.19458916000000004,0.09932091,0.06051381,0.025,4.899476,"q1v13b_i6. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Aider en France les gens qui sont moins bien lotis que vous..."
Gender,Man,2929.637,0.054999900000000004,0.5620030741009893,0.295,0.02389946,0.03329453,0.06868318,0.18883616,0.30444991000000005,0.195,0.09855596,0.05923603999999999,0.02804476,4.858003,"q1v13b_i6. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Aider en France les gens qui sont moins bien lotis que vous..."
Gender,Woman,3049.36,0.04118073956502348,0.585,0.29428188209985046,0.01668761,0.02449312,0.06524943,0.17935564,0.33627547999999996,0.19422584,0.10005598000000002,0.06174145,0.02191417,4.939164,"q1v13b_i6. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Aider en France les gens qui sont moins bien lotis que vous..."
Age,18-24,478.2759,0.055891798018675,0.5826040994329843,0.265,0.01987336,0.03601844,0.04440427000000001,0.16867819999999997,0.36962241000000007,0.16939495,0.09551757000000001,0.07499990000000001,0.021490900000000004,4.906349,"q1v13b_i6. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Aider en France les gens qui sont moins bien lotis que vous..."
Age,25-34,836.9062,0.05284322185688193,0.5512523386730794,0.3054114069175255,0.02293522,0.02990799,0.07766763,0.1792545,0.29433036,0.21970061,0.08571068000000001,0.06107584,0.02941732,4.862637,"q1v13b_i6. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Aider en France les gens qui sont moins bien lotis que vous..."
Age,35-49,1494.556,0.054999900000000004,0.605,0.2649999,0.0249999,0.03033493,0.08718924,0.20956505,0.3067731600000001,0.1549999,0.11111467,0.05736198,0.01766117,4.78413,"q1v13b_i6. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Aider en France les gens qui sont moins bien lotis que vous..."
Age,50-64,1554.412,0.054999900000000004,0.575629498485601,0.28565946480083787,0.0249999,0.028933860000000002,0.05834988,0.1698367,0.34927895999999997,0.18848960000000003,0.09716973,0.05339276,0.02954861,4.893294,"q1v13b_i6. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Aider en France les gens qui sont moins bien lotis que vous..."
Age,65+,1614.848,0.03211437856689917,0.5466258743857008,0.3297260794824033,0.00755485,0.02455953,0.0575527,0.18097337999999996,0.30877323000000034,0.23106929999999998,0.09865665,0.0649999,0.02586046,5.031268,"q1v13b_i6. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Aider en France les gens qui sont moins bien lotis que vous..."
Socio-Professional Category,Total-CSP+,1734.019,0.06402963289329586,0.5925973129475514,0.27978620764824375,0.02817614,0.0349999,0.08876316,0.16755024,0.33499989999999996,0.1931574800000001,0.08876638999999999,0.03730135,0.026285439999999997,4.789848,"q1v13b_i6. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Aider en France les gens qui sont moins bien lotis que vous..."
Socio-Professional Category,Small Business owners,212.9949,0.14196823492017885,0.5869149918613075,0.2093277820267058,0.09827597,0.04369226,0.095,0.19296157000000003,0.29895328000000004,0.12506792,0.08425986,0.04957114,0.012218,4.347326,"q1v13b_i6. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Aider en France les gens qui sont moins bien lotis que vous..."
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.04518917150721605,0.5707060816409877,0.32278806278964484,0.01621053,0.02897864,0.0849999,0.16837034,0.31764786999999994,0.21959652,0.10319131,0.0349999,0.02600499,4.930067,"q1v13b_i6. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Aider en France les gens qui sont moins bien lotis que vous..."
Socio-Professional Category,Prof Intermed,896.9079,0.0592117875202125,0.608646662606049,0.2679957440446226,0.0195906,0.03962119,0.09203186,0.155,0.3616156400000001,0.18518656999999997,0.08280909,0.03356515,0.030579899999999997,4.803142,"q1v13b_i6. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Aider en France les gens qui sont moins bien lotis que vous..."
Socio-Professional Category,Total-CSP-,1674.09,0.05264318525288366,0.5649999,0.28934758585261244,0.02221784,0.03042535,0.06272781,0.20207372,0.30198652000000004,0.18253547,0.10681211999999998,0.06622117,0.025,4.877328,"q1v13b_i6. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Aider en France les gens qui sont moins bien lotis que vous..."
Socio-Professional Category,Salaried,956.6466,0.060057141268259354,0.5649999,0.29644144452089205,0.03264085,0.027416290000000003,0.04461619,0.21458488,0.30740234,0.19921641,0.09722501,0.05133933,0.02555823,4.866794,"q1v13b_i6. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Aider en France les gens qui sont moins bien lotis que vous..."
Socio-Professional Category,Blue collar,717.4432,0.04275733605113269,0.5677084959478326,0.27988877725790695,0.00831967,0.03443767,0.08687801,0.1849999,0.2958302899999999,0.16029311,0.11959564,0.08606476,0.02358095,4.891892,"q1v13b_i6. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Aider en France les gens qui sont moins bien lotis que vous..."
Political similarity,Far left,187.3446,0.01425474233044347,0.555,0.3649999,0.00263729,0.01161746,0.0660912,0.115,0.37202712000000004,0.26161795,0.10342225,0.05052873,0.017058,5.189786,"q1v13b_i6. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Aider en France les gens qui sont moins bien lotis que vous..."
Political similarity,Radical left,828.7407,0.013185209800846032,0.5068259589519376,0.43979148121963846,0.00350783,0.00967738,0.04932492,0.13255352,0.325,0.27628601,0.16345221,0.02686373,0.0133344,5.342755,"q1v13b_i6. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Aider en France les gens qui sont moins bien lotis que vous..."
