Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Plutôt pas d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.7182091593212379,0.23491662989910356,0.3805574,0.33802146,0.1849999,0.0495472,0.04687404,"q18bv12b_i3. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat ne devrait pas faire appel à des cabinets de consultants privés pour élaborer sa politique ou ses réformes"
Gender,Man,2929.637,0.7249998999999999,0.23776082156253486,0.4149999,0.31052329000000006,0.17869627,0.05906452,0.03671602,"q18bv12b_i3. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat ne devrait pas faire appel à des cabinets de consultants privés pour élaborer sa politique ou ses réformes"
Gender,Woman,3049.36,0.7111820185219193,0.2321842616155521,0.34618232000000004,0.3649999,0.1917809,0.04040359,0.05663329,"q18bv12b_i3. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat ne devrait pas faire appel à des cabinets de consultants privés pour élaborer sa politique ou ses réformes"
Age,18-24,478.2759,0.6995926409840011,0.23679282188377046,0.33123956,0.36835266,0.18010835999999997,0.05668454,0.06361468,"q18bv12b_i3. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat ne devrait pas faire appel à des cabinets de consultants privés pour élaborer sa politique ou ses réformes"
Age,25-34,836.9062,0.735,0.21279218626890323,0.34586624,0.3863416999999999,0.16288456,0.049907599999999996,0.054999900000000004,"q18bv12b_i3. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat ne devrait pas faire appel à des cabinets de consultants privés pour élaborer sa politique ou ses réformes"
Age,35-49,1494.556,0.692589638661917,0.25081770104298534,0.33210137000000006,0.36048786,0.19905248999999997,0.05176513,0.05659250999999999,"q18bv12b_i3. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat ne devrait pas faire appel à des cabinets de consultants privés pour élaborer sa politique ou ses réformes"
Age,50-64,1554.412,0.7332502579753629,0.21657121792677872,0.41011912999999994,0.32198034000000003,0.172721,0.045,0.05017953000000001,"q18bv12b_i3. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat ne devrait pas faire appel à des cabinets de consultants privés pour élaborer sa politique ou ses réformes"
Age,65+,1614.848,0.7257277465123653,0.24877003903772987,0.42755910999999996,0.29867121,0.19809208000000003,0.05067769999999999,0.0249999,"q18bv12b_i3. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat ne devrait pas faire appel à des cabinets de consultants privés pour élaborer sa politique ou ses réformes"
Socio-Professional Category,Total-CSP+,1734.019,0.7207631519608493,0.2518513926317993,0.37658538,0.34417772,0.19726733,0.05458392,0.027386069999999995,"q18bv12b_i3. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat ne devrait pas faire appel à des cabinets de consultants privés pour élaborer sa politique ou ses réformes"
Socio-Professional Category,Small Business owners,212.9949,0.6549999,0.3150617221351309,0.38475629999999994,0.27063667,0.22821855999999996,0.08684321,0.02954549,"q18bv12b_i3. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat ne devrait pas faire appel à des cabinets de consultants privés pour élaborer sa politique ou ses réformes"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.6925328968658192,0.2857203779366274,0.3500168499999999,0.34214747,0.225,0.06108897,0.02174671,"q18bv12b_i3. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat ne devrait pas faire appel à des cabinets de consultants privés pour élaborer sa politique ou ses réformes"
Socio-Professional Category,Prof Intermed,896.9079,0.765,0.2145502341990744,0.39705221999999996,0.365,0.17153679,0.04301348,0.023397510000000003,"q18bv12b_i3. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat ne devrait pas faire appel à des cabinets de consultants privés pour élaborer sa politique ou ses réformes"
Socio-Professional Category,Total-CSP-,1674.09,0.7180629476312504,0.20964105872444136,0.367661,0.35040140999999997,0.17189124,0.03774983,0.07229629,"q18bv12b_i3. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat ne devrait pas faire appel à des cabinets de consultants privés pour élaborer sa politique ou ses réformes"
Socio-Professional Category,Salaried,956.6466,0.7049998999999999,0.23530653848558075,0.3640198,0.34430332,0.19530807,0.03999846,0.056369720000000005,"q18bv12b_i3. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat ne devrait pas faire appel à des cabinets de consultants privés pour élaborer sa politique ou ses réformes"
Socio-Professional Category,Blue collar,717.4432,0.7310490921093127,0.1754184860906062,0.37226712000000006,0.35853291,0.14066702,0.035,0.09353295000000002,"q18bv12b_i3. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- L'Etat ne devrait pas faire appel à des cabinets de consultants privés pour élaborer sa politique ou ses réformes"
