Indicator,Category,BASE,ST Elevé,ST Faible,Très élevée,Assez élevée,Assez faible,Très faible,Je ne sais pas,No rep.,Question
Total,Total,5979.002,0.6788167991915707,0.1549999,0.44853706,0.23027907,0.14859234,0.06229859,0.09289371,0.01739857,"q13v13b_i7. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un site de stockage souterrain de déchets nucléaires"
Gender,Man,2929.637,0.6500528905116914,0.15937472799531135,0.41444589000000004,0.23560759,0.1768431,0.07174647,0.08762818999999998,0.013731129999999998,"q13v13b_i7. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un site de stockage souterrain de déchets nucléaires"
Gender,Woman,3049.36,0.7064518456331821,0.15117431198677755,0.48129181,0.22515986999999998,0.12145132,0.05322166,0.09795262000000002,0.02092207,"q13v13b_i7. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un site de stockage souterrain de déchets nucléaires"
Age,18-24,478.2759,0.6668937322578872,0.1882426231386528,0.40807346000000005,0.25882007,0.13313351,0.08092233,0.10732030999999999,0.01173026,"q13v13b_i7. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un site de stockage souterrain de déchets nucléaires"
Age,25-34,836.9062,0.6702332949618488,0.15943543015931774,0.41999701,0.25023629,0.15207606,0.04647981,0.11295555,0.01825539,"q13v13b_i7. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un site de stockage souterrain de déchets nucléaires"
Age,35-49,1494.556,0.6949998999999999,0.1605057957011982,0.48163190000000006,0.21356323,0.125,0.06862613,0.09187973000000002,0.01929901,"q13v13b_i7. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un site de stockage souterrain de déchets nucléaires"
Age,50-64,1554.412,0.7105349160968906,0.13308460047915224,0.4849999,0.22553396000000006,0.13983481,0.04239476,0.09068979,0.01654678,"q13v13b_i7. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un site de stockage souterrain de déchets nucléaires"
Age,65+,1614.848,0.6402757411223844,0.15956746393468613,0.40854582,0.23173042,0.18246262,0.07828365,0.08128387000000001,0.01769443,"q13v13b_i7. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un site de stockage souterrain de déchets nucléaires"
Socio-Professional Category,Total-CSP+,1734.019,0.7070516528365606,0.1448038919988766,0.45167389,0.25537794,0.14172226,0.06109431,0.08370958,0.00642233,"q13v13b_i7. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un site de stockage souterrain de déchets nucléaires"
Socio-Professional Category,Small Business owners,212.9949,0.5975575002030565,0.23091721914468374,0.36204656,0.23551076,0.16437539,0.06626098,0.16465629,0.00715029,"q13v13b_i7. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Un site de stockage souterrain de déchets nucléaires"
