Indicator,Category,BASE,ST Improbable,ST probable,Tout à fait improbable,Plutôt improbable,Plutôt probable,Tout à fait probable,No rep.,Question
Total,Total,5979.002,0.485,0.47161499527847617,0.17675575,0.30662986,0.29981609,0.1717984,0.0449999,"comp1v12b_i2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- La crise sanitaire fournit l'occasion au gouvernement de surveiller et de contrôler les citoyens"
Gender,Man,2929.637,0.5032582534969349,0.46157595633861803,0.19978092999999997,0.3034776,0.28845072,0.17312602,0.03516705,"comp1v12b_i2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- La crise sanitaire fournit l'occasion au gouvernement de surveiller et de contrôler les citoyens"
Gender,Woman,3049.36,0.46308077760579264,0.4812603300364667,0.15463507,0.30844541,0.31073668,0.17052339,0.0556585,"comp1v12b_i2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- La crise sanitaire fournit l'occasion au gouvernement de surveiller et de contrôler les citoyens"
Age,18-24,478.2759,0.5601195878780428,0.38104533387527995,0.17989029000000004,0.38022928,0.27991479,0.10113064,0.05883487,"comp1v12b_i2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- La crise sanitaire fournit l'occasion au gouvernement de surveiller et de contrôler les citoyens"
Age,25-34,836.9062,0.46170753663911196,0.5018741646315918,0.15154159,0.31016606,0.34923782,0.15263634,0.03641811,"comp1v12b_i2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- La crise sanitaire fournit l'occasion au gouvernement de surveiller et de contrôler les citoyens"
Age,35-49,1494.556,0.4549999,0.495,0.14499990000000001,0.31156317,0.3266618700000001,0.16655502,0.05022004,"comp1v12b_i2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- La crise sanitaire fournit l'occasion au gouvernement de surveiller et de contrôler les citoyens"
Age,50-64,1554.412,0.4836545909321338,0.476746126509574,0.20415545999999998,0.27949913,0.28554753,0.19119879,0.03960059,"comp1v12b_i2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- La crise sanitaire fournit l'occasion au gouvernement de surveiller et de contrôler les citoyens"
Age,65+,1614.848,0.4934222292129043,0.45857436737079904,0.1911635,0.30225873,0.26973628,0.18883839,0.04800413,"comp1v12b_i2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- La crise sanitaire fournit l'occasion au gouvernement de surveiller et de contrôler les citoyens"
Socio-Professional Category,Total-CSP+,1734.019,0.5187247083221118,0.45390857885640234,0.18198174000000003,0.33674302,0.30373358,0.15017483,0.027367050000000004,"comp1v12b_i2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- La crise sanitaire fournit l'occasion au gouvernement de surveiller et de contrôler les citoyens"
Socio-Professional Category,Small Business owners,212.9949,0.4191977836089033,0.555,0.13735653,0.28184126,0.34694016999999994,0.20886214,0.0249999,"comp1v12b_i2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- La crise sanitaire fournit l'occasion au gouvernement de surveiller et de contrôler les citoyens"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.5618784514679354,0.4101206434428443,0.19626756,0.3649999,0.2641275,0.14660398,0.02800106,"comp1v12b_i2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- La crise sanitaire fournit l'occasion au gouvernement de surveiller et de contrôler les citoyens"
Socio-Professional Category,Prof Intermed,896.9079,0.5115171803035741,0.4674909207511718,0.18007312,0.33144406,0.32627351999999993,0.14121762,0.020990630000000003,"comp1v12b_i2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- La crise sanitaire fournit l'occasion au gouvernement de surveiller et de contrôler les citoyens"
Socio-Professional Category,Total-CSP-,1674.09,0.4380517176495887,0.5127392792502196,0.17011559,0.26793643,0.33093107,0.18180827000000002,0.04920846,"comp1v12b_i2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- La crise sanitaire fournit l'occasion au gouvernement de surveiller et de contrôler les citoyens"
Socio-Professional Category,Salaried,956.6466,0.4455364185687797,0.4949999,0.16812572,0.27741028,0.32296493,0.1734328,0.05806548,"comp1v12b_i2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- La crise sanitaire fournit l'occasion au gouvernement de surveiller et de contrôler les citoyens"
Socio-Professional Category,Blue collar,717.4432,0.4280727728689881,0.5345292839907048,0.1727688,0.25530383,0.34155275,0.19297625000000002,0.03739842,"comp1v12b_i2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- La crise sanitaire fournit l'occasion au gouvernement de surveiller et de contrôler les citoyens"
Political similarity,Far left,187.3446,0.5187727321737589,0.462441778412615,0.2220285,0.29674429,0.30167349,0.16076828000000004,0.01878592,"comp1v12b_i2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- La crise sanitaire fournit l'occasion au gouvernement de surveiller et de contrôler les citoyens"
Political similarity,Radical left,828.7407,0.4408304069053203,0.5227458962737078,0.14435348,0.29647693,0.33774516,0.1849999,0.03642453,"comp1v12b_i2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- La crise sanitaire fournit l'occasion au gouvernement de surveiller et de contrôler les citoyens"
Political similarity,Left,1430.296,0.5083304434886206,0.4629355042592582,0.16297773,0.34535284999999993,0.32453261,0.13840261,0.02873502,"comp1v12b_i2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- La crise sanitaire fournit l'occasion au gouvernement de surveiller et de contrôler les citoyens"
Political similarity,PC/LFI,641.3963,0.4180641516017476,0.5403596809024311,0.1216655,0.29639865,0.34790737,0.19245230999999996,0.04157655999999999,"comp1v12b_i2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- La crise sanitaire fournit l'occasion au gouvernement de surveiller et de contrôler les citoyens"
Political similarity,PS,449.3176,0.6182838152789919,0.3600157216187392,0.23868239,0.37960164,0.26444546,0.09557015,0.0217007,"comp1v12b_i2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- La crise sanitaire fournit l'occasion au gouvernement de surveiller et de contrôler les citoyens"
