Indicator,Category,BASE,ST 1-2,ST 3-5,ST 6-7,1.0,2.0,3.0,4.0,5.0,6.0,7.0,Ne peut choisir,No rep.,moyenne,Question
Total,Total,5979.002,0.19682147622629997,0.5420322655854606,0.16109651744555362,0.10656253,0.09025889,0.12894254,0.21298753000000026,0.20033895,0.11586017,0.0449999,0.06641841,0.03363108,3.931797,"q1v13b_i4. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Etre actif dans des associations sociales ou politiques..."
Gender,Man,2929.637,0.2049999,0.5174849307269125,0.18166400820306405,0.11310094,0.09406172,0.13014025,0.19597001,0.19137548,0.12763284,0.054031060000000006,0.05781723,0.03587308,3.94612,"q1v13b_i4. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Etre actif dans des associations sociales ou politiques..."
Gender,Woman,3049.36,0.18688642862764646,0.5656163916362777,0.14133723141905186,0.10028101,0.08660544999999999,0.12779216,0.22887287999999997,0.20895086,0.10454991,0.03678729,0.07468203,0.03147714,3.917845,"q1v13b_i4. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Etre actif dans des associations sociales ou politiques..."
Age,18-24,478.2759,0.1710458544952819,0.5698349007340742,0.1485077128076075,0.11209716,0.05894874,0.13282206,0.17735159,0.25966121,0.10316108,0.04534665,0.0729683,0.03764325,4.01688,"q1v13b_i4. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Etre actif dans des associations sociales ou politiques..."
Age,25-34,836.9062,0.16037173580504005,0.5888669482912182,0.14971211827562037,0.07348503,0.08688671000000002,0.15093316,0.22807800999999997,0.20985578000000002,0.10205772,0.04765443,0.059633500000000006,0.04141555,4.013096,"q1v13b_i4. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Etre actif dans des associations sociales ou politiques..."
Age,35-49,1494.556,0.245,0.5417273089800583,0.10499990000000001,0.135,0.11046993,0.12931713,0.21894536999999997,0.19277511,0.08296384,0.02341697,0.06582685,0.0412848,3.636873,"q1v13b_i4. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Etre actif dans des associations sociales ou politiques..."
Age,50-64,1554.412,0.22506896498483026,0.5348925510096422,0.1528320033556097,0.135,0.09052497,0.12922443,0.21087242000000006,0.19433875999999997,0.10173596,0.05109603,0.05718416,0.03002327,3.821638,"q1v13b_i4. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Etre actif dans des associations sociales ou politiques..."
Age,65+,1614.848,0.15176994986525047,0.5166811365527901,0.22932108780516802,0.06945168,0.08231827,0.11577919,0.2102879,0.19061385000000003,0.17081614000000003,0.05850474,0.07743119,0.024797669999999997,4.243926,"q1v13b_i4. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Etre actif dans des associations sociales ou politiques..."
Socio-Professional Category,Total-CSP+,1734.019,0.1893792397891834,0.584890361639636,0.1422182225223599,0.10570103,0.08367815,0.15079477,0.22072601,0.21336952,0.09475531000000001,0.04746289,0.04608063,0.03743171,3.901815,"q1v13b_i4. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Etre actif dans des associations sociales ou politiques..."
Socio-Professional Category,Small Business owners,212.9949,0.3206112916318654,0.4623215391542239,0.13969667818337433,0.2188951399999999,0.10058208,0.09961271000000001,0.18201069999999997,0.18069799,0.09386267000000001,0.045833979999999996,0.035,0.04350473,3.50691,"q1v13b_i4. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Etre actif dans des associations sociales ou politiques..."
