Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Ni d'accord ni pas d'accord,Pas vraiment d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.6575826534261069,0.08025601931559816,0.28217703,0.3757140900000001,0.2249999,0.06196357,0.01829242,0.03685299,"pop1_i2. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les différences politiques entre les citoyens ordinaires et les élites sont plus grandes que les différences entre citoyens"
Gender,Man,2929.637,0.675,0.0847610813216791,0.2952261,0.37605273,0.21490509,0.06104982,0.02371127,0.02905732,"pop1_i2. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les différences politiques entre les citoyens ordinaires et les élites sont plus grandes que les différences entre citoyens"
Gender,Woman,3049.36,0.645,0.07499990000000001,0.26942633,0.375,0.23530305,0.06284161,0.01308636,0.04434265,"pop1_i2. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les différences politiques entre les citoyens ordinaires et les élites sont plus grandes que les différences entre citoyens"
Age,18-24,478.2759,0.6293486667423552,0.06406367119898787,0.27290252,0.35713124000000007,0.2674034,0.048378670000000006,0.0149999,0.03918427,"pop1_i2. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les différences politiques entre les citoyens ordinaires et les élites sont plus grandes que les différences entre citoyens"
Age,25-34,836.9062,0.6612628750987865,0.08514593391708652,0.28664813,0.37461474000000006,0.2207852,0.06984989,0.01529603,0.03280592,"pop1_i2. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les différences politiques entre les citoyens ordinaires et les élites sont plus grandes que les différences entre citoyens"
Age,35-49,1494.556,0.6572364635383351,0.07499990000000001,0.29004534,0.3674093199999999,0.22668605,0.05992084,0.0149999,0.04093855,"pop1_i2. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les différences politiques entre les citoyens ordinaires et les élites sont plus grandes que les différences entre citoyens"
Age,50-64,1554.412,0.6798409945368409,0.07802590304243663,0.29917718,0.38066394,0.21316479,0.05851142,0.01951444,0.02896969,"pop1_i2. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les différences politiques entre les citoyens ordinaires et les élites sont plus grandes que les différences entre citoyens"
Age,65+,1614.848,0.6429341956642359,0.08940061231769182,0.2589614,0.38397304,0.22559876,0.06711362,0.022286999999999998,0.0420671,"pop1_i2. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les différences politiques entre les citoyens ordinaires et les élites sont plus grandes que les différences entre citoyens"
Socio-Professional Category,Total-CSP+,1734.019,0.6687216230041308,0.09144340402267796,0.26612857,0.40259316999999994,0.21634509,0.06834395,0.023099399999999996,0.02348989,"pop1_i2. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les différences politiques entre les citoyens ordinaires et les élites sont plus grandes que les différences entre citoyens"
Socio-Professional Category,Small Business owners,212.9949,0.6346518156068526,0.13092895651492126,0.32377527000000006,0.31029273,0.195,0.09178027,0.03914867,0.04000306,"pop1_i2. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Les différences politiques entre les citoyens ordinaires et les élites sont plus grandes que les différences entre citoyens"
