Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Plutôt pas d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.4880401444923417,0.4821257795197258,0.10940309,0.37939149999999994,0.28637237,0.1949999,0.02983314,"q27_i24. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- La plupart des immigrés veulent s'intégrer à la société française"
Gender,Man,2929.637,0.487741655365494,0.4900276041024878,0.10957377999999998,0.37816801,0.288184,0.20184449,0.02223171,"q27_i24. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- La plupart des immigrés veulent s'intégrer à la société française"
Gender,Woman,3049.36,0.4883286984809927,0.4745349843901671,0.10923922,0.37908905,0.28463232,0.18990191,0.03713619,"q27_i24. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- La plupart des immigrés veulent s'intégrer à la société française"
Age,18-24,478.2759,0.5401072895372734,0.44217887625113456,0.1309684,0.40913874,0.26970939,0.17246961,0.01771388,"q27_i24. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- La plupart des immigrés veulent s'intégrer à la société française"
Age,25-34,836.9062,0.5274784677183656,0.44768613256778356,0.13513115,0.39234743000000005,0.28819753,0.15948884,0.024835140000000002,"q27_i24. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- La plupart des immigrés veulent s'intégrer à la société française"
Age,35-49,1494.556,0.505,0.4633282392897958,0.1099362,0.395,0.26841313999999994,0.19368983,0.03296083,"q27_i24. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- La plupart des immigrés veulent s'intégrer à la société française"
Age,50-64,1554.412,0.4741191524512163,0.5006306564797492,0.11054514999999998,0.36357433,0.29168837,0.20894221999999998,0.02525159,"q27_i24. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- La plupart des immigrés veulent s'intégrer à la société française"
Age,65+,1614.848,0.45108034935795815,0.5113919700182308,0.08808977999999999,0.36299063,0.30073301,0.21065946000000002,0.03752826,"q27_i24. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- La plupart des immigrés veulent s'intégrer à la société française"
Socio-Professional Category,Total-CSP+,1734.019,0.5349999,0.4485454888325906,0.12248590999999999,0.41396882999999995,0.26519831,0.18334695,0.015,"q27_i24. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- La plupart des immigrés veulent s'intégrer à la société française"
Socio-Professional Category,Small Business owners,212.9949,0.5249999,0.448275099544637,0.11432466,0.41240038,0.25143518,0.19683978,0.025,"q27_i24. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- La plupart des immigrés veulent s'intégrer à la société française"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.5514655772594494,0.43106763902994905,0.08373522,0.46773011,0.25300003,0.17806744,0.01746725,"q27_i24. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- La plupart des immigrés veulent s'intégrer à la société française"
Socio-Professional Category,Prof Intermed,896.9079,0.533810885153314,0.45694825522219173,0.15065872,0.38296288999999994,0.27213876,0.185,0.00923963,"q27_i24. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- La plupart des immigrés veulent s'intégrer à la société française"
