Indicator,Category,BASE,ST Améliorée,ST Aggravée,Beaucoup améliorée,Un peu améliorée,Un peu aggravée,Beaucoup aggravée,N'a pas changée,No rep.,Question
Total,Total,5979.002,0.20721802735640496,0.5937596274428408,0.028354009999999995,0.17886396,0.3187602400000001,0.2749999,0.17571762,0.02330427,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Gender,Man,2929.637,0.2066024562087385,0.594706443153196,0.02668375,0.17991874,0.3049999,0.2897048600000002,0.1793742,0.01931855,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Gender,Woman,3049.36,0.20781003226906627,0.5928516147650654,0.02995876,0.17785125,0.33049263000000006,0.26235787,0.17220459,0.027133540000000005,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Age,18-24,478.2759,0.2947537185126828,0.5288796696634726,0.05049698,0.24425671,0.30194162,0.22693805,0.15714595,0.01922073,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Age,25-34,836.9062,0.28631679392505394,0.5449999,0.065,0.22247081,0.33268737000000004,0.21239298,0.14870603,0.01874281,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Age,35-49,1494.556,0.20466526513559877,0.5964468377230427,0.02000959,0.18465571,0.32822664,0.26822039,0.16765373999999997,0.03123343,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Age,50-64,1554.412,0.1827796620201079,0.605560559233974,0.0249999,0.15745073,0.29831319,0.30757514,0.18760226,0.024058780000000002,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Age,65+,1614.848,0.1649999,0.625,0.01403671,0.15214918,0.325,0.2987608699999999,0.19124023,0.01881301,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Socio-Professional Category,Total-CSP+,1734.019,0.24149683480976852,0.558742032238401,0.04107127,0.2004256,0.31601897,0.24272305999999996,0.19125506000000003,0.00850607,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Socio-Professional Category,Small Business owners,212.9949,0.24881079312227664,0.5707141344698864,0.02816953,0.22064125,0.31995935,0.2507545,0.15345588,0.02701968,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.260671381537083,0.5537249555608217,0.04349666,0.21717475,0.3139325,0.23979245,0.17841262,0.00719099,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Socio-Professional Category,Prof Intermed,896.9079,0.22352830206981117,0.5656760298353933,0.04155838,0.18196985,0.32010033,0.2458113,0.20556024,0.0049999,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Socio-Professional Category,Total-CSP-,1674.09,0.21295898069996236,0.6027256599107575,0.03280396,0.18015495,0.32153365,0.28115842,0.14934902,0.035,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Socio-Professional Category,Salaried,956.6466,0.19154283305872827,0.5960672415498053,0.024860529999999995,0.16668224000000004,0.31980598,0.27626127,0.17460480999999997,0.03778454,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Socio-Professional Category,Blue collar,717.4432,0.24151514712244815,0.6116047932435626,0.04339583,0.19811938,0.32391623,0.28768828,0.11567259,0.03120791,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Political similarity,Far left,187.3446,0.4249999,0.4170922460535291,0.13350355,0.29240637,0.28500000000000003,0.13275648,0.12107437,0.03525923,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Political similarity,Radical left,828.7407,0.2943506937694746,0.4765877915734077,0.07191787,0.22243278,0.2869748,0.18961275,0.2099407,0.01912164,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Political similarity,Left,1430.296,0.2722098782349947,0.4679708955349102,0.03691381,0.2349999,0.3125086299999999,0.1557579,0.24831867,0.01150109,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Political similarity,PC/LFI,641.3963,0.2549999,0.495,0.05392937,0.20180020000000004,0.2877455,0.20621976999999997,0.23589737,0.01440803,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Political similarity,PS,449.3176,0.2691078649044685,0.46130866006584204,0.03174087,0.23736684,0.3549999,0.10578782,0.26216856000000005,0.00793601,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Political similarity,EELV,339.583,0.3074411852183413,0.42768748730060097,0.011619710000000002,0.29582135,0.30112373,0.12656399,0.25414323,0.0107276,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Political similarity,EM,672.9198,0.4026573449020225,0.38591225878626245,0.06343937,0.33921799,0.31763161,0.06828054,0.20209318,0.00933651,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Political similarity,MoDem,161.1257,0.205,0.4349999,0.025,0.17675151,0.31218912,0.12447511000000001,0.36158426,0,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Political similarity,Right,573.0042,0.15932712186053785,0.7307401935273773,0.02847553,0.13085161,0.37383845000000004,0.35690175,0.10170507,0.00822774,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Political similarity,UDI/PR,89.32552,0.19203246731729076,0.6698670212051382,0.0149999,0.17702499999999996,0.4952713000000001,0.17460318000000002,0.13810062,0,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Political similarity,LR,397.5368,0.16246770110339467,0.725,0.02895156,0.13351614,0.355,0.36898281999999993,0.10169013,0.01185935,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Political similarity,Radical right,1008.8,0.09395899088025378,0.8408725218080888,0.01811537,0.07499990000000001,0.24671606000000013,0.5949999,0.05757114,0.00759763,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Political similarity,Debout la France,86.14185,0.11091960527896717,0.8250469429203111,0.04024448,0.07067511,0.3376952100000001,0.48735173,0.06403344,0,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Political similarity,Reconquete,205.4045,0.025,0.9449998999999999,0.010032869999999998,0.015,0.12282092000000001,0.82222522,0.02992099,0,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Political similarity,RN,717.2537,0.1119485894600474,0.8126530403398408,0.01777232,0.09417626000000001,0.27023646,0.54212907,0.065,0.01068589,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Political similarity,No preference,1860.95,0.13941782422956014,0.635,0.006700860000000001,0.132717,0.35520003000000006,0.27970494,0.18147881,0.044199289999999995,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Politics,Total-left,1649.278,0.2449999,0.46826126341344515,0.0349999,0.21155966,0.31097372000000006,0.15752857,0.26655773,0.01838042,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Politics,Very Left,217.9165,0.265,0.4549999,0.06697698,0.19641679,0.28468863,0.17298672,0.27531857,0.0036128300000000005,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Politics,Left,1431.362,0.24427405506084415,0.4698729601596242,0.03040907,0.21386498,0.31469796,0.15517507,0.26522382,0.020628699999999996,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Politics,Center,776.1196,0.3236725370677406,0.4498250011982689,0.05163463,0.27203797,0.32452537,0.12529993,0.22104931,0.00545222,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Politics,Total-right,1622.94,0.16302395652334653,0.7314065831145945,0.02451816,0.1385058,0.28273892,0.4486673,0.09802519,0.00754374,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
Politics,Right,1193.119,0.1812283602892922,0.6978023147732959,0.0285342,0.15269424,0.31032336,0.38747904,0.11178776,0.00918063,"q8v13b_i1. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de sécurité quotidienne"
