Indicator,Category,BASE,ST 1-2,ST 3-5,ST 6-7,1.0,2.0,3.0,4.0,5.0,6.0,7.0,Ne peut choisir,No rep.,moyenne,Question
Total,Total,5979.002,0.109036725527103,0.30611898106071883,0.5328894353940674,0.0704404,0.03859631,0.05189202,0.105,0.15006887,0.25057861,0.28146998,0.0288119,0.02314191,5.2212,"q1v13b_i1. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours voter aux élections..."
Gender,Man,2929.637,0.09837314315732631,0.2749999,0.5779965231187344,0.06303293,0.03534018,0.054304069999999996,0.09860218,0.12343082,0.26102626,0.31697108,0.02568244,0.02161238,5.345967,"q1v13b_i1. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours voter aux élections..."
Gender,Woman,3049.36,0.11928184930608389,0.335,0.48955518535036857,0.07755713,0.04172469,0.0495748,0.10949648000000001,0.17566122,0.24054168999999997,0.24901301,0.03181855,0.02461142,5.100172,"q1v13b_i1. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours voter aux élections..."
Age,18-24,478.2759,0.09631137592339484,0.39644021369255694,0.4449999,0.06594579,0.03036559,0.10235855,0.10800213999999998,0.18607968999999996,0.2249999,0.2234552500000001,0.0430835,0.01570959,5.004558,"q1v13b_i1. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours voter aux élections..."
Age,25-34,836.9062,0.095,0.40242634120765264,0.45136085740552523,0.055,0.03617935,0.06375317,0.13506902,0.20360454,0.23114004000000005,0.21991545,0.022125040000000002,0.03321339,5.086152,"q1v13b_i1. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours voter aux élections..."
Age,35-49,1494.556,0.1549999,0.33967880761911895,0.44429087969938896,0.09324956999999999,0.06187136,0.0513415,0.12117686,0.16716048,0.23063746000000013,0.21200939,0.035,0.027553379999999995,4.865644,"q1v13b_i1. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours voter aux élections..."
Age,50-64,1554.412,0.12578370470634556,0.3049999,0.5237634552486727,0.08799353,0.03779015,0.0527734,0.12100157,0.13277735,0.25057591,0.2718954600000001,0.02019263,0.025,5.109882,"q1v13b_i1. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours voter aux élections..."
Age,65+,1614.848,0.06344727181753329,0.1979801194911224,0.6909362367232087,0.04192575,0.0215215,0.03045937,0.055036470000000004,0.11248427,0.28499990000000003,0.40593560000000006,0.03214231,0.01549483,5.786095,"q1v13b_i1. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours voter aux élections..."
Socio-Professional Category,Total-CSP+,1734.019,0.10084410839788953,0.355,0.5049999,0.06218058,0.03866351,0.06158606,0.095,0.19645731,0.2526188,0.2535577600000001,0.01818385,0.021752130000000005,5.185747,"q1v13b_i1. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours voter aux élections..."
Socio-Professional Category,Small Business owners,212.9949,0.268857564195199,0.2657875845853586,0.445,0.17714091,0.09171666,0.06700954,0.05159269,0.1471854,0.22864798000000006,0.21670702,0.0049999,0.0149999,4.480232,"q1v13b_i1. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours voter aux élections..."
