Indicator,Category,BASE,ST Confiance,ST Pas Confiance,Très confiance,Plutôt confiance,Plutôt pas confiance,Pas du tout confiance,No rep.,Question
Total,Total,5979.002,0.4594902293058273,0.5204358520033945,0.07898184,0.38050815,0.29601713,0.22441889,0.020073299999999995,"q13_i6. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les institutions suivantes :
- L'institution présidentielle"
Gender,Man,2929.637,0.48842296844284805,0.49779204727411613,0.09176348,0.39666006,0.28199647,0.21579587999999997,0.01378633,"q13_i6. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les institutions suivantes :
- L'institution présidentielle"
Gender,Woman,3049.36,0.43169419156806677,0.5421914762441955,0.06670209,0.3649919999999999,0.30948829,0.23270302999999998,0.02611345,"q13_i6. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les institutions suivantes :
- L'institution présidentielle"
Age,18-24,478.2759,0.4849999,0.495,0.11329055,0.3749999,0.30783272,0.18593709,0.01793974,"q13_i6. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les institutions suivantes :
- L'institution présidentielle"
Age,25-34,836.9062,0.4608383830828353,0.5213547229068204,0.09725886000000002,0.36357957,0.29991175,0.22144322,0.01780668,"q13_i6. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les institutions suivantes :
- L'institution présidentielle"
Age,35-49,1494.556,0.40624566760964453,0.5713258653406095,0.04941838,0.35682730999999995,0.32784988,0.24347626,0.02242782,"q13_i6. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les institutions suivantes :
- L'institution présidentielle"
Age,50-64,1554.412,0.4524165407884139,0.535,0.07209144,0.38014807,0.305,0.22946909,0.0132914,"q13_i6. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les institutions suivantes :
- L'institution présidentielle"
Age,65+,1614.848,0.5049999,0.46767163225269504,0.09334216,0.41261613,0.25281283,0.215,0.026228880000000003,"q13_i6. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les institutions suivantes :
- L'institution présidentielle"
Socio-Professional Category,Total-CSP+,1734.019,0.5077216570291329,0.4821496188911425,0.08897596,0.41931424000000017,0.28499990000000003,0.19658089,0.01012901,"q13_i6. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les institutions suivantes :
- L'institution présidentielle"
Socio-Professional Category,Small Business owners,212.9949,0.4638573975245417,0.5221110928008135,0.11400897,0.34888026999999994,0.26096465,0.26114611,0.015,"q13_i6. Avez-vous très confiance, plutôt confiance, plutôt pas confiance ou pas confiance du tout dans les institutions suivantes :
- L'institution présidentielle"
