Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,Je ne sais pas,No rep.,Moyenne,Question
Total,Total,5979.002,0.4849999,0.246602861146392,0.205,0.12499990000000001,0.06743378,0.0849999,0.06856935,0.04407716,0.0987868,0.0661055,0.08568876999999998,0.09480868,0.05689572999999999,0.14624508000000003,0.0548438,0.00654555,5.153843,"q21v13b_i1. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Il n'y a pas de mal à s'abstenir si l'on n'a pas d'opinion sur une élection"
Gender,Man,2929.637,0.5224135276827812,0.235,0.19242192804091426,0.14852854999999993,0.07234057,0.09011632000000001,0.07553379,0.042845100000000004,0.09300412,0.06530079,0.075,0.09352718,0.04995609,0.14246581,0.0435783,0.0078033799999999995,4.906658,"q21v13b_i1. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Il n'y a pas de mal à s'abstenir si l'on n'a pas d'opinion sur une élection"
Gender,Woman,3049.36,0.4449999,0.265,0.2122800194139098,0.10297891999999999,0.06271975,0.0806158,0.06187843,0.0449999,0.10434248,0.06687872,0.09599955,0.09604002,0.06356298,0.14897921999999997,0.06566712,0.005337109999999999,5.396338,"q21v13b_i1. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Il n'y a pas de mal à s'abstenir si l'on n'a pas d'opinion sur une élection"
Age,18-24,478.2759,0.4149999,0.2753168202704757,0.245,0.10446075,0.05459439,0.04796131,0.06729507,0.03418454,0.10872793,0.04890085,0.11154574,0.115,0.09536033,0.14880450999999992,0.05174465,0.01141993,5.735856,"q21v13b_i1. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Il n'y a pas de mal à s'abstenir si l'on n'a pas d'opinion sur une élection"
Age,25-34,836.9062,0.39346213470517966,0.325,0.205,0.08907131,0.04157282,0.06861575,0.0538855,0.0389888,0.10132793,0.075,0.10993073,0.13984288999999994,0.06656162,0.13669238,0.06422335,0.014286919999999998,5.760612,"q21v13b_i1. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Il n'y a pas de mal à s'abstenir si l'on n'a pas d'opinion sur une élection"
Age,35-49,1494.556,0.44348160925385194,0.265,0.24976588364704969,0.10169027,0.05741826,0.06291707,0.0697654,0.05736924,0.09432139000000002,0.06715065,0.09744185,0.09868536000000001,0.06511858,0.18464728000000002,0.04086091,0.00261316,5.646115,"q21v13b_i1. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Il n'y a pas de mal à s'abstenir si l'on n'a pas d'opinion sur une élection"
Age,50-64,1554.412,0.485,0.23210706041898801,0.2213676296889113,0.12003658,0.0723287,0.07940713,0.06589649,0.0416535,0.105,0.06784456,0.0818727,0.08238974,0.04437362,0.17648000999999996,0.05904733,0.00366964,5.256121,"q21v13b_i1. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Il n'y a pas de mal à s'abstenir si l'on n'a pas d'opinion sur une élection"
Age,65+,1614.848,0.6085913349120166,0.1949999,0.12800845652346227,0.17717577000000004,0.08919699999999998,0.13128567,0.07802276,0.03967539,0.09317137,0.06422301,0.05826287,0.07362148,0.045,0.08307116,0.05979592,0.0074976,4.103852,"q21v13b_i1. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Il n'y a pas de mal à s'abstenir si l'on n'a pas d'opinion sur une élection"
Socio-Professional Category,Total-CSP+,1734.019,0.5001512670853088,0.2672834034690508,0.17922802460642012,0.13095629,0.06430131,0.07653751,0.08631693,0.04676243000000001,0.09499990000000001,0.06856972,0.08994330999999998,0.10877037999999999,0.04646898,0.13388724999999996,0.0449999,0.00748609,5.067018,"q21v13b_i1. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Il n'y a pas de mal à s'abstenir si l'on n'a pas d'opinion sur une élection"
Socio-Professional Category,Small Business owners,212.9949,0.4534425941654002,0.2713627884986918,0.22066223181869613,0.16495371,0.05738851,0.055064180000000004,0.04351973,0.02936499,0.10315134,0.07881541,0.08941885,0.10312856999999999,0.04957152,0.17109067,0.04625138,0.00828136,5.301289,"q21v13b_i1. Etes-vous d'accord ou pas avec l'affirmation suivante : La note 0 signifiant que vous n'êtes pas du tout d'accord et la note 10 signifiant que vous êtes tout à fait d'accord.
Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas du tout d'accordTout à fait d'accord
- Il n'y a pas de mal à s'abstenir si l'on n'a pas d'opinion sur une élection"
