Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Plutôt pas d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.405,0.5525597750259993,0.08857458,0.3159388200000001,0.33499989999999996,0.21730148,0.04318522000000001,"q56_i5. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- En démocratie rien n'avance, il vaudrait mieux moins de démocratie mais plus d'efficacité"
Gender,Man,2929.637,0.382716698348635,0.5799056333600374,0.08940859,0.29330852,0.34129215,0.23861448,0.03737886,"q56_i5. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- En démocratie rien n'avance, il vaudrait mieux moins de démocratie mais plus d'efficacité"
Gender,Woman,3049.36,0.425,0.5249999,0.0877735,0.3389990000000001,0.32946389,0.1949999,0.04876371,"q56_i5. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- En démocratie rien n'avance, il vaudrait mieux moins de démocratie mais plus d'efficacité"
Age,18-24,478.2759,0.48195968059440175,0.48538845465556596,0.09997426,0.38198538,0.31013898,0.17524954,0.03265176,"q56_i5. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- En démocratie rien n'avance, il vaudrait mieux moins de démocratie mais plus d'efficacité"
Age,25-34,836.9062,0.47675868574040914,0.48861795981437345,0.11006807,0.36669056,0.32987173,0.15874634,0.03462312,"q56_i5. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- En démocratie rien n'avance, il vaudrait mieux moins de démocratie mais plus d'efficacité"
Age,35-49,1494.556,0.3931029014637123,0.5473060895677379,0.06952419,0.32357878,0.33226403,0.21504233,0.05959023,"q56_i5. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- En démocratie rien n'avance, il vaudrait mieux moins de démocratie mais plus d'efficacité"
Age,50-64,1554.412,0.3843880515590461,0.5667514790158593,0.09266301,0.29172497,0.3117504800000001,0.255,0.04886154,"q56_i5. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- En démocratie rien n'avance, il vaudrait mieux moins de démocratie mais plus d'efficacité"
Age,65+,1614.848,0.3731061375435954,0.5967987699151871,0.08775519,0.28499990000000003,0.3709179999999999,0.22623132,0.03009559,"q56_i5. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- En démocratie rien n'avance, il vaudrait mieux moins de démocratie mais plus d'efficacité"
Socio-Professional Category,Total-CSP+,1734.019,0.3825586686189713,0.5863713142704895,0.08988373,0.29267488,0.3390745399999999,0.24729688999999996,0.03107014,"q56_i5. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- En démocratie rien n'avance, il vaudrait mieux moins de démocratie mais plus d'efficacité"
Socio-Professional Category,Small Business owners,212.9949,0.47214886365823777,0.505,0.19670217,0.2749999,0.27775845,0.22628827999999998,0.0242512,"q56_i5. Certaines opinions sont parfois exprimées au sujet du système politique démocratique. Veuillez me dire, à chaque fois, si vous êtes tout à fait d'accord, plutôt d'accord,
plutôt pas d'accord ou pas du tout d'accord.
- En démocratie rien n'avance, il vaudrait mieux moins de démocratie mais plus d'efficacité"
