Indicator,Category,BASE,Plutôt de gauche,Plutôt de droite,Ni de gauche ni de droite,Vous ne savez pas,No rep.,Question
Total,Total,5979.002,0.28499990000000003,0.29494125,0.15591204,0.22820163,0.03594518,"ce1_i1. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre père"
Gender,Man,2929.637,0.29934087,0.3124745000000001,0.15908244,0.195,0.03410219,"ce1_i1. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre père"
Gender,Woman,3049.36,0.27208595,0.27669157,0.15286624,0.26063912,0.03771588,"ce1_i1. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre père"
Age,18-24,478.2759,0.25595791,0.26143216,0.19494232999999997,0.27562773,0.01203978,"ce1_i1. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre père"
Age,25-34,836.9062,0.26776764,0.26859767,0.16239286999999997,0.2549999,0.04624192,"ce1_i1. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre père"
Age,35-49,1494.556,0.29073752,0.24613885,0.143443,0.28649512,0.03318495,"ce1_i1. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre père"
Age,50-64,1554.412,0.29499990000000004,0.2817345300000001,0.15760075,0.22005144,0.04561338,"ce1_i1. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre père"
Age,65+,1614.848,0.28904095,0.37500594,0.15090814,0.15410819,0.03093734,"ce1_i1. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre père"
Socio-Professional Category,Total-CSP+,1734.019,0.28500000000000003,0.30161235,0.17157788000000002,0.20076429,0.04104548,"ce1_i1. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre père"
Socio-Professional Category,Small Business owners,212.9949,0.21687346,0.22821686999999993,0.21342286,0.2549999,0.08648691,"ce1_i1. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre père"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.30611525999999994,0.34499989999999997,0.16741308,0.15647186,0.0249999,"ce1_i1. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre père"
Socio-Professional Category,Prof Intermed,896.9079,0.28481865,0.29313021,0.16636703,0.21950972000000002,0.03617348,"ce1_i1. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre père"
Socio-Professional Category,Total-CSP-,1674.09,0.28090249000000006,0.24350297999999998,0.165,0.27387237,0.03672216,"ce1_i1. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre père"
Socio-Professional Category,Salaried,956.6466,0.27793231,0.26781509,0.14886877,0.26038393,0.0449999,"ce1_i1. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre père"
Socio-Professional Category,Blue collar,717.4432,0.28897716,0.21108514,0.18390557,0.29103213,0.025,"ce1_i1. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre père"
