Indicator,Category,BASE,ST 1-2,ST 3-5,ST 6-7,1.0,2.0,3.0,4.0,5.0,6.0,7.0,Ne peut choisir,No rep.,moyenne,Question
Total,Total,5979.002,0.032646752752382414,0.28635799084863994,0.6251536627684687,0.013271640000000001,0.01937512,0.03579487,0.08725945,0.16330381,0.26732287,0.35783145999999993,0.0326802,0.02316017,5.755089,"q1v13b_i2. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Ne jamais essayer de frauder le fisc..."
Gender,Man,2929.637,0.03824753715221374,0.28499990000000003,0.6106565420903681,0.01734476,0.020902780000000003,0.04041828,0.08358988,0.16456322,0.26438521,0.34606758000000015,0.03772829,0.025,5.704461,"q1v13b_i2. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Ne jamais essayer de frauder le fisc..."
Gender,Woman,3049.36,0.027265911535535325,0.2842322651310439,0.6390842668625547,0.00935846,0.01790746,0.03135308,0.09078492,0.16209431,0.27014557,0.3689384,0.02783039,0.02158643,5.803061,"q1v13b_i2. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Ne jamais essayer de frauder le fisc..."
Age,18-24,478.2759,0.03366061304782449,0.255,0.5946841561533834,0.0049999,0.02852391,0.03558243,0.05921802,0.15994433,0.24153674,0.3532842000000001,0.0891917,0.02771877,5.805501,"q1v13b_i2. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Ne jamais essayer de frauder le fisc..."
Age,25-34,836.9062,0.025091820325862088,0.3336422887057116,0.5699257575102203,0.0061861,0.01890571,0.03723586,0.11253812,0.1838684,0.26627512,0.30365052,0.03453545,0.03680479,5.651589,"q1v13b_i2. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Ne jamais essayer de frauder le fisc..."
Age,35-49,1494.556,0.03906513372533381,0.30121735150773876,0.6111595015509623,0.02008049,0.01898463,0.02417179,0.08963077,0.18741479,0.26632338,0.34483653,0.03331855,0.015238619999999998,5.715488,"q1v13b_i2. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Ne jamais essayer de frauder le fisc..."
Age,50-64,1554.412,0.03761986526094755,0.2707731926927996,0.6452813025118179,0.01841441,0.01920546,0.04289336,0.08249859,0.14538102,0.26718688,0.37824916999999986,0.0249999,0.02117121,5.758977,"q1v13b_i2. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Ne jamais essayer de frauder le fisc..."
Age,65+,1614.848,0.02553469428701649,0.2724662630786303,0.6563812817057704,0.0081012,0.01743349,0.03903556,0.08485176,0.14857881,0.27655934,0.37982231,0.02163383,0.02398465,5.826268,"q1v13b_i2. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Ne jamais essayer de frauder le fisc..."
Socio-Professional Category,Total-CSP+,1734.019,0.03870108113002222,0.31376657349198595,0.5973446657735584,0.01589201,0.02280906,0.04124901,0.08670522,0.1849999,0.28988304,0.30827413,0.0332603,0.01692733,5.635503,"q1v13b_i2. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Ne jamais essayer de frauder le fisc..."
Socio-Professional Category,Small Business owners,212.9949,0.1468487743133756,0.2949999,0.5259365365086206,0.07063714,0.07621164,0.03262854,0.07750862,0.1849999,0.30639063,0.21994221,0.0213769,0.010304419999999998,5.094937,"q1v13b_i2. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Ne jamais essayer de frauder le fisc..."
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.025648760159885715,0.28948873998435665,0.6323678769587062,0.006330090000000001,0.01931867,0.026351939999999997,0.09030478,0.1728319,0.30177718,0.33059086,0.03259075,0.01990392,5.777488,"q1v13b_i2. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Ne jamais essayer de frauder le fisc..."
Socio-Professional Category,Prof Intermed,896.9079,0.022849213391921287,0.3329386439789414,0.5955650518854835,0.00972966,0.01311955,0.05306599000000001,0.08595802,0.19391467000000004,0.28037741,0.315,0.0338347,0.015,5.672644,"q1v13b_i2. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Ne jamais essayer de frauder le fisc..."
Socio-Professional Category,Total-CSP-,1674.09,0.028440633418752876,0.2907638179548292,0.620762324606204,0.01505031,0.013390330000000002,0.029978410000000004,0.10042047,0.16036485,0.25785316,0.36290922,0.03557079,0.024462089999999995,5.769094,"q1v13b_i2. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Ne jamais essayer de frauder le fisc..."
Socio-Professional Category,Salaried,956.6466,0.0249999,0.25816848144340865,0.665,0.01470396,0.01362168,0.02922431,0.08983584,0.13910832,0.26584101,0.39660184000000004,0.02899612,0.02206625,5.854724,"q1v13b_i2. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Ne jamais essayer de frauder le fisc..."
Socio-Professional Category,Blue collar,717.4432,0.028593984861798115,0.33422673739189385,0.5651856481460832,0.01551214,0.013081850000000003,0.030983929999999996,0.11453417,0.1887086,0.24720187,0.31798336,0.04433754,0.02765674,5.652337,"q1v13b_i2. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Ne jamais essayer de frauder le fisc..."
Political similarity,Far left,187.3446,0.035072657551912356,0.345,0.5249999,0.00848316,0.026589489999999997,0.05834185,0.10685372999999998,0.1766938,0.3206252499999999,0.20481679,0.053075250000000004,0.04452104,5.435525,"q1v13b_i2. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Ne jamais essayer de frauder le fisc..."
