Indicator,Category,BASE,ST Bonne,ST Mauvaise,Très bonne,Assez bonne,Assez mauvaise,Très mauvaise,No rep.,Question
Total,Total,5979.002,0.33026715829832465,0.637589517447895,0.08161681,0.24865069000000004,0.305,0.3325907,0.0321418,"q55_i1. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir à sa tête un homme fort qui n'a pas à se préoccuper du parlement ni des élections"
Gender,Man,2929.637,0.317133829208192,0.6597213238363661,0.07781793,0.239316,0.29993477,0.35978792,0.0231461,"q55_i1. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir à sa tête un homme fort qui n'a pas à se préoccuper du parlement ni des élections"
Gender,Woman,3049.36,0.3428860482199544,0.6163290001836451,0.0849999,0.2576195,0.30795016,0.30864605,0.04078439,"q55_i1. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir à sa tête un homme fort qui n'a pas à se préoccuper du parlement ni des élections"
Age,18-24,478.2759,0.3617800938746861,0.5936274439084219,0.11981806,0.24196200999999998,0.32175318999999997,0.27146674,0.045,"q55_i1. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir à sa tête un homme fort qui n'a pas à se préoccuper du parlement ni des élections"
Age,25-34,836.9062,0.3995622209514041,0.5682273592906828,0.11406129,0.28550105,0.3217751300000001,0.24645247,0.0322101,"q55_i1. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir à sa tête un homme fort qui n'a pas à se préoccuper du parlement ni des élections"
Age,35-49,1494.556,0.3401857140180763,0.6266691913852677,0.06110207,0.27908355,0.295,0.33166956999999997,0.03314481,"q55_i1. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir à sa tête un homme fort qui n'a pas à se préoccuper du parlement ni des élections"
Age,50-64,1554.412,0.335,0.6349999,0.0883307,0.24626817,0.29139848,0.34482073999999996,0.02918334,"q55_i1. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir à sa tête un homme fort qui n'a pas à se préoccuper du parlement ni des élections"
Age,65+,1614.848,0.2716744857720355,0.6979882936350665,0.0660121,0.2049999,0.31049411,0.3881554500000002,0.03033844,"q55_i1. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir à sa tête un homme fort qui n'a pas à se préoccuper du parlement ni des élections"
Socio-Professional Category,Total-CSP+,1734.019,0.3536041992619458,0.6285709672154688,0.08021227,0.2733917,0.27810318,0.35046825,0.01782475,"q55_i1. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir à sa tête un homme fort qui n'a pas à se préoccuper du parlement ni des élections"
Socio-Professional Category,Small Business owners,212.9949,0.4215146935443055,0.5651017935171218,0.09822061,0.32329394,0.30633752,0.25876399,0.01338417,"q55_i1. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir à sa tête un homme fort qui n'a pas à se préoccuper du parlement ni des élections"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.3351681514288519,0.6449999,0.07825187,0.25691623,0.28294256,0.36264343,0.01924611,"q55_i1. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir à sa tête un homme fort qui n'a pas à se préoccuper du parlement ni des élections"
Socio-Professional Category,Prof Intermed,896.9079,0.34874160434978885,0.6393204921040387,0.07361172,0.27512992,0.26854987,0.37077062,0.01193677,"q55_i1. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir à sa tête un homme fort qui n'a pas à se préoccuper du parlement ni des élections"
Socio-Professional Category,Total-CSP-,1674.09,0.36603653328076746,0.5849998999999999,0.10683189000000001,0.2592047,0.3200612499999999,0.2649999,0.04890226,"q55_i1. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir à sa tête un homme fort qui n'a pas à se préoccuper du parlement ni des élections"
Socio-Professional Category,Salaried,956.6466,0.3186432691027178,0.6328814632279046,0.07372438,0.245,0.3198295199999999,0.31297116,0.04847494,"q55_i1. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir à sa tête un homme fort qui n'a pas à se préoccuper du parlement ni des élections"
Socio-Professional Category,Blue collar,717.4432,0.42923133148380244,0.5212970169624578,0.15097781,0.27825353,0.31729327,0.20400361,0.04947208,"q55_i1. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir à sa tête un homme fort qui n'a pas à se préoccuper du parlement ni des élections"
Political similarity,Far left,187.3446,0.36405954588496275,0.625,0.13178795,0.2322716,0.345,0.2766076900000002,0.01433276,"q55_i1. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir à sa tête un homme fort qui n'a pas à se préoccuper du parlement ni des élections"
Political similarity,Radical left,828.7407,0.3149999,0.665,0.10499990000000001,0.21370267,0.24541367000000003,0.41608068000000004,0.01980308,"q55_i1. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir à sa tête un homme fort qui n'a pas à se préoccuper du parlement ni des élections"
Political similarity,Left,1430.296,0.28459780353157665,0.6962897889667593,0.07499990000000001,0.20852278,0.24677948000000002,0.45058454000000014,0.0191133,"q55_i1. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir à sa tête un homme fort qui n'a pas à se préoccuper du parlement ni des élections"
