Indicator,Category,BASE,ST D'accord,ST Pas D'accord,Tout à fait d'accord,Plutôt d'accord,Pas vraiment d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,1455.142,0.295,0.682151295200056,0.11631586,0.17705234,0.30442562,0.37772582,0.02448082,"q5v13b_groupe2. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Gender,Man,693.0328,0.2818048438688617,0.7006710216312995,0.12451236,0.15729241,0.28756402,0.41310685,0.01752413,"q5v13b_groupe2. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Gender,Woman,762.1102,0.3038830867242034,0.6653096888087839,0.10886216999999998,0.1949999,0.31975835,0.3455726699999999,0.03080691,"q5v13b_groupe2. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,18-24,110.8492,0.32701607228559165,0.6709599167156822,0.15098648,0.17602951,0.40045296,0.27050687,0.00202384,"q5v13b_groupe2. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,25-34,193.4098,0.40912647652807665,0.557955181174894,0.16105575,0.24807068,0.26065401,0.29730117,0.03291836,"q5v13b_groupe2. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,35-49,363.697,0.3260791263056885,0.652733456696096,0.12915372,0.19692527,0.29778332,0.3549501400000001,0.021187199999999996,"q5v13b_groupe2. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,50-64,383.5679,0.34556332790100525,0.6125212771975965,0.135,0.21072939,0.26818615,0.34416964,0.04191482,"q5v13b_groupe2. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Age,65+,403.6189,0.1495786991144369,0.8374161864075246,0.05618865,0.09339005,0.3394511499999999,0.49796453999999996,0.01300504,"q5v13b_groupe2. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Socio-Professional Category,Total-CSP+,419.1823,0.3149999,0.6768527678768879,0.09966325,0.21499990000000002,0.33006594,0.34820141000000016,0.007069499999999999,"q5v13b_groupe2. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Socio-Professional Category,Small Business owners,47.15336,0.24464279957992388,0.745,0.06031895,0.18432381,0.355,0.38796225000000006,0.01239499,"q5v13b_groupe2. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Socio-Professional Category,Cadres/Prof Lib,137.569,0.3434470701975009,0.645664793667178,0.1325191,0.21092796999999996,0.31066468000000025,0.335,0.01088825,"q5v13b_groupe2. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Socio-Professional Category,Prof Intermed,230.6214,0.31724870285238055,0.6789309231493694,0.08810518,0.22914357,0.32724049,0.35169061,0.00382038,"q5v13b_groupe2. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
