Indicator,Category,BASE,ST Bonne,ST Mauvaise,Très bonne,Assez bonne,Assez mauvaise,Très mauvaise,No rep.,Question
Total,Total,5979.002,0.18108640873510326,0.7924046521476326,0.04269147,0.138395,0.22967144,0.56273238,0.02650857,"q55_i3. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que l'armée dirige le pays"
Gender,Man,2929.637,0.16007034318586225,0.8184331369381257,0.04082615,0.11924411999999998,0.20836916,0.61006534,0.02149665,"q55_i3. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que l'armée dirige le pays"
Gender,Woman,3049.36,0.2012776451452108,0.7673980769735288,0.044483600000000005,0.15679418,0.25013793,0.51725936,0.03132374,"q55_i3. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que l'armée dirige le pays"
Age,18-24,478.2759,0.2649999,0.715,0.08305198,0.18223105,0.2659747499999999,0.445,0.02374222,"q55_i3. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que l'armée dirige le pays"
Age,25-34,836.9062,0.2746252805870001,0.7075111882311304,0.08335198,0.19127329,0.2693205,0.43819055999999995,0.01786341,"q55_i3. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que l'armée dirige le pays"
Age,35-49,1494.556,0.215,0.7630915134662066,0.03663182,0.17521993,0.25095052,0.5121978300000001,0.0249999,"q55_i3. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que l'armée dirige le pays"
Age,50-64,1554.412,0.13849899511841135,0.8312847559077002,0.03398034,0.105,0.21758002,0.61322279,0.030216849999999996,"q55_i3. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que l'armée dirige le pays"
Age,65+,1614.848,0.1201931698834813,0.8502242935558021,0.02365858,0.0965346,0.18994785,0.660277,0.029582830000000004,"q55_i3. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que l'armée dirige le pays"
Socio-Professional Category,Total-CSP+,1734.019,0.18904458370986707,0.7956077759240239,0.0509836,0.13806106,0.21710679,0.57884865,0.0149999,"q55_i3. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que l'armée dirige le pays"
Socio-Professional Category,Small Business owners,212.9949,0.22891825109427502,0.7649136199974741,0.10962854,0.1192898,0.22295843999999998,0.54195476,0.00616853,"q55_i3. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que l'armée dirige le pays"
