Indicator,Category,BASE,ST Améliorée,ST Aggravée,Beaucoup améliorée,Un peu améliorée,Un peu aggravée,Beaucoup aggravée,N'a pas changée,No rep.,Question
Total,Total,5979.002,0.205,0.5249999,0.03642819,0.16732524999999998,0.33348692,0.1949999,0.23185659000000003,0.03590315,"q8v13b_i4. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de fonctionnement de la démocratie"
Gender,Man,2929.637,0.19958776462749478,0.5420180042783457,0.0387619,0.16082597,0.33748352,0.20453503,0.23243685,0.02595944,"q8v13b_i4. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de fonctionnement de la démocratie"
Gender,Woman,3049.36,0.2049999,0.515487184196028,0.03418616,0.1735698,0.32959277000000003,0.18589373000000003,0.23129991,0.04545651999999999,"q8v13b_i4. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de fonctionnement de la démocratie"
Age,18-24,478.2759,0.2627355883915539,0.4610142388525117,0.06474748,0.197988,0.27601422999999997,0.1849999,0.2370546,0.03919579,"q8v13b_i4. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de fonctionnement de la démocratie"
Age,25-34,836.9062,0.28895185625342484,0.485,0.08635515,0.20259654,0.31793778,0.16640646,0.192675,0.03402909,"q8v13b_i4. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de fonctionnement de la démocratie"
Age,35-49,1494.556,0.19363041598976552,0.5367566019607161,0.030868430000000002,0.16276198,0.355,0.18330119,0.21985301999999995,0.04821538,"q8v13b_i4. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de fonctionnement de la démocratie"
Age,50-64,1554.412,0.18960816051342885,0.5473882085315862,0.03402467,0.15558346,0.33017533,0.21721275000000004,0.23283235,0.03017261,"q8v13b_i4. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de fonctionnement de la démocratie"
Age,65+,1614.848,0.1651151687341471,0.5449999,0.00962498,0.15549018,0.34317577,0.20232431000000003,0.25936559,0.030020290000000005,"q8v13b_i4. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de fonctionnement de la démocratie"
Socio-Professional Category,Total-CSP+,1734.019,0.229350255101011,0.5116371850596793,0.05552401,0.17382624,0.3318399,0.17979711,0.23889629,0.02011656,"q8v13b_i4. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de fonctionnement de la démocratie"
Socio-Professional Category,Small Business owners,212.9949,0.23056674126939192,0.515,0.052040350000000006,0.17852639,0.305,0.21089651,0.23008352999999993,0.02345322,"q8v13b_i4. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de fonctionnement de la démocratie"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.23801003458303768,0.4900230302728262,0.03939157,0.19861842,0.30882373,0.1811993,0.24357001,0.02839686,"q8v13b_i4. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de fonctionnement de la démocratie"
Socio-Professional Category,Prof Intermed,896.9079,0.225,0.5321184036844808,0.065,0.15686661,0.3592136399999999,0.17286491,0.23166414,0.0143907,"q8v13b_i4. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de fonctionnement de la démocratie"
Socio-Professional Category,Total-CSP-,1674.09,0.22117018798272495,0.5292560734488588,0.0449999,0.17580762999999996,0.3300818099999999,0.19953718000000004,0.20655353,0.04301995,"q8v13b_i4. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de fonctionnement de la démocratie"
Socio-Professional Category,Salaried,956.6466,0.195,0.5321064225807106,0.027274489999999995,0.16668297000000004,0.3232203100000002,0.20955220000000002,0.2249999,0.04827013,"q8v13b_i4. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de fonctionnement de la démocratie"
Socio-Professional Category,Blue collar,717.4432,0.25745564248152325,0.5254562312389329,0.06948112,0.1879746,0.34029189,0.18618324000000003,0.18106924999999996,0.0349999,"q8v13b_i4. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de fonctionnement de la démocratie"
Political similarity,Far left,187.3446,0.4549999,0.4289892529595195,0.21448422,0.24370961,0.27964259,0.14934666,0.09665332999999998,0.016164,"q8v13b_i4. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de fonctionnement de la démocratie"
