Indicator,Category,BASE,ST Bonne,ST Mauvaise,Très bonne,Assez bonne,Assez mauvaise,Très mauvaise,No rep.,Question
Total,Total,5979.002,0.535,0.4311896868407135,0.15599465,0.37903168000000015,0.30595323,0.12499990000000001,0.03402054,"q55_i6. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient les citoyens et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Gender,Man,2929.637,0.5449453294042913,0.42642279572520414,0.16393731,0.3810083,0.28949416,0.13692939,0.028633369999999995,"q55_i6. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient les citoyens et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Gender,Woman,3049.36,0.5250327937665608,0.4349999,0.14836412,0.37666855,0.32176719,0.11400291,0.03919626,"q55_i6. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient les citoyens et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Age,18-24,478.2759,0.5686876549706978,0.4005236308164388,0.19095755999999997,0.37772987999999996,0.3212654,0.07925831,0.03078901,"q55_i6. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient les citoyens et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Age,25-34,836.9062,0.6589222304721843,0.3225280204639421,0.22718783000000004,0.43247179,0.24679062,0.07499990000000001,0.01854986,"q55_i6. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient les citoyens et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Age,35-49,1494.556,0.5629045014037614,0.38711389870971713,0.15967331,0.40323106,0.2751284,0.11198549999999999,0.04998116,"q55_i6. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient les citoyens et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Age,50-64,1554.412,0.5110205659760733,0.46055839764489725,0.15483604,0.35618453000000005,0.3238295299999999,0.13672913,0.028422360000000004,"q55_i6. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient les citoyens et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Age,65+,1614.848,0.45727604084099555,0.5091122508124604,0.10645423,0.35082175,0.34340347000000004,0.16570878,0.03361248,"q55_i6. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient les citoyens et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Socio-Professional Category,Total-CSP+,1734.019,0.5422783718056146,0.4333780079687708,0.16390951,0.3777123100000001,0.33089072,0.10248746,0.025,"q55_i6. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient les citoyens et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Socio-Professional Category,Small Business owners,212.9949,0.5745236153541704,0.375,0.23863064,0.33499989999999996,0.24776020999999993,0.12649439,0.05211486,"q55_i6. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient les citoyens et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.48932531552276515,0.48033964593485,0.13149364,0.35783167,0.37004653,0.11029303000000001,0.03033522,"q55_i6. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient les citoyens et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Socio-Professional Category,Prof Intermed,896.9079,0.5683336048216322,0.4218828934386686,0.16599440999999998,0.40233942,0.32785819,0.09402496000000002,0.00978218,"q55_i6. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient les citoyens et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Socio-Professional Category,Total-CSP-,1674.09,0.6094331845958103,0.35557198239043303,0.19087188,0.41856113,0.25021636,0.10535575,0.03499486,"q55_i6. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient les citoyens et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Socio-Professional Category,Salaried,956.6466,0.5770990039582015,0.3876180608387674,0.18832806,0.38905422999999995,0.29040641,0.0972114,0.0349999,"q55_i6. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient les citoyens et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Socio-Professional Category,Blue collar,717.4432,0.6525478253888252,0.315,0.19426374,0.45828393999999995,0.19662602,0.11621549,0.03461107,"q55_i6. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient les citoyens et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
