Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Plutôt pas d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.6991355747999415,0.2709688004787421,0.24333108,0.45607606000000006,0.20569737,0.0649999,0.02989559,"q18bv12b_i2. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- Aujourd'hui on ne sait plus qui du gouvernement ou des entreprises privées prend les grandes décisions"
Gender,Man,2929.637,0.6896414129122481,0.2846216101175674,0.24623214,0.44340988,0.21346518,0.07115653,0.02573829,"q18bv12b_i2. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- Aujourd'hui on ne sait plus qui du gouvernement ou des entreprises privées prend les grandes décisions"
Gender,Woman,3049.36,0.7082574704200225,0.2578520738777973,0.24054425,0.4677129,0.19823491,0.05961746,0.0338897,"q18bv12b_i2. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- Aujourd'hui on ne sait plus qui du gouvernement ou des entreprises privées prend les grandes décisions"
Age,18-24,478.2759,0.7204249680989571,0.2581535051212072,0.22489153000000003,0.49553323,0.21858618,0.03956735,0.02142174,"q18bv12b_i2. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- Aujourd'hui on ne sait plus qui du gouvernement ou des entreprises privées prend les grandes décisions"
Age,25-34,836.9062,0.7549999,0.2174160019366567,0.28070979000000007,0.4749999,0.16201756,0.05539838,0.02687437,"q18bv12b_i2. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- Aujourd'hui on ne sait plus qui du gouvernement ou des entreprises privées prend les grandes décisions"
Age,35-49,1494.556,0.6884271984455584,0.27066854637765325,0.26860987,0.41981711999999993,0.21391564,0.05675279,0.0409043,"q18bv12b_i2. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- Aujourd'hui on ne sait plus qui du gouvernement ou des entreprises privées prend les grandes décisions"
Age,50-64,1554.412,0.715,0.2616427948317434,0.24717713,0.4662363,0.19817655000000003,0.06346614,0.024945180000000004,"q18bv12b_i2. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- Aujourd'hui on ne sait plus qui du gouvernement ou des entreprises privées prend les grandes décisions"
Age,65+,1614.848,0.6596788056832593,0.3117742970236208,0.20235236,0.45732676,0.22415113000000003,0.08762305,0.02854762,"q18bv12b_i2. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- Aujourd'hui on ne sait plus qui du gouvernement ou des entreprises privées prend les grandes décisions"
Socio-Professional Category,Total-CSP+,1734.019,0.6930212414050826,0.28940686347727446,0.22486080000000003,0.46816027,0.2275937,0.061813110000000004,0.01757248,"q18bv12b_i2. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- Aujourd'hui on ne sait plus qui du gouvernement ou des entreprises privées prend les grandes décisions"
Socio-Professional Category,Small Business owners,212.9949,0.6806116014984397,0.305,0.25269337,0.4283522200000001,0.25580833,0.04814618,0.0149999,"q18bv12b_i2. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- Aujourd'hui on ne sait plus qui du gouvernement ou des entreprises privées prend les grandes décisions"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.6730774923275628,0.3094938541063741,0.2096673,0.4634100299999999,0.23625772,0.07323608,0.01742869,"q18bv12b_i2. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- Aujourd'hui on ne sait plus qui du gouvernement ou des entreprises privées prend les grandes décisions"
Socio-Professional Category,Prof Intermed,896.9079,0.7152703192825038,0.27255462907618494,0.22931931,0.48639006999999995,0.21499990000000002,0.05711686999999999,0.01217385,"q18bv12b_i2. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- Aujourd'hui on ne sait plus qui du gouvernement ou des entreprises privées prend les grandes décisions"
Socio-Professional Category,Total-CSP-,1674.09,0.735892335537516,0.2249999,0.29610296,0.43978926,0.17180815,0.05472467999999999,0.03757469,"q18bv12b_i2. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- Aujourd'hui on ne sait plus qui du gouvernement ou des entreprises privées prend les grandes décisions"
Socio-Professional Category,Salaried,956.6466,0.7294124078839562,0.2349999,0.305,0.4244122900000001,0.16374197,0.07146974,0.035376,"q18bv12b_i2. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- Aujourd'hui on ne sait plus qui du gouvernement ou des entreprises privées prend les grandes décisions"
Socio-Professional Category,Blue collar,717.4432,0.745,0.21496057109468736,0.28500000000000003,0.45953304000000006,0.18256386,0.03239666,0.04050643999999999,"q18bv12b_i2. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- Aujourd'hui on ne sait plus qui du gouvernement ou des entreprises privées prend les grandes décisions"
Political similarity,Far left,187.3446,0.7930492792426362,0.1880555938094826,0.45804893,0.33499989999999996,0.12653239,0.06152315,0.01889563,"q18bv12b_i2. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- Aujourd'hui on ne sait plus qui du gouvernement ou des entreprises privées prend les grandes décisions"
Political similarity,Radical left,828.7407,0.8263140690447568,0.1635182150460331,0.3813138399999999,0.445,0.12902094,0.03449729,0.01016793,"q18bv12b_i2. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, pas vraiment ou pas du tout d'accord ?
- Aujourd'hui on ne sait plus qui du gouvernement ou des entreprises privées prend les grandes décisions"
