Indicator,Category,BASE,ST Improbable,ST probable,Tout à fait improbable,Plutôt improbable,Plutôt probable,Tout à fait probable,No rep.,Question
Total,Total,1935.377,0.4629896914141276,0.5022342417007126,0.18196899,0.2810207,0.30357698000000005,0.19843333,0.035,"comp2v13b_i8_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias cachent délibérément les informations les plus importantes au public"
Gender,Man,971.6732,0.5063868181195077,0.46883046686890206,0.20571947,0.30066714,0.27345552,0.19537474,0.02478288,"comp2v13b_i8_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias cachent délibérément les informations les plus importantes au public"
Gender,Woman,963.7041,0.4192336631129825,0.5349999,0.15802216,0.26121151,0.33424918,0.20151715,0.045,"comp2v13b_i8_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias cachent délibérément les informations les plus importantes au public"
Age,18-24,154.9066,0.5649999,0.41685221933732974,0.18346985000000002,0.3809910199999999,0.28279286,0.135,0.01774627,"comp2v13b_i8_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias cachent délibérément les informations les plus importantes au public"
Age,25-34,254.6808,0.42273583246165397,0.535,0.19303253,0.22877668999999995,0.325,0.21070073,0.04249005,"comp2v13b_i8_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias cachent délibérément les informations les plus importantes au public"
Age,35-49,476.7228,0.452390781393296,0.485,0.16225507,0.2901359,0.3097018899999999,0.175,0.06290714,"comp2v13b_i8_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias cachent délibérément les informations les plus importantes au public"
Age,50-64,527.0114,0.43024211620469693,0.5501573590248713,0.19281822,0.23742408999999998,0.33103231,0.21912505,0.0196003,"comp2v13b_i8_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias cachent délibérément les informations les plus importantes au public"
Age,65+,522.0563,0.4949751588095001,0.47932531414715235,0.18317614,0.31179894,0.26615444,0.21317125999999997,0.02569914,"comp2v13b_i8_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias cachent délibérément les informations les plus importantes au public"
Socio-Professional Category,Total-CSP+,602.8223,0.49675318912389266,0.4849999,0.21859958,0.27815361,0.33315838,0.15272803,0.01735996,"comp2v13b_i8_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias cachent délibérément les informations les plus importantes au public"
Socio-Professional Category,Small Business owners,69.45517,0.4299423642617245,0.5568384614133117,0.08693372,0.34300873,0.38512726999999997,0.17171134,0.01321929,"comp2v13b_i8_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias cachent délibérément les informations les plus importantes au public"
