Indicator,Category,BASE,ST Improbable,ST probable,Tout à fait improbable,Plutôt improbable,Plutôt probable,Tout à fait probable,No rep.,Question
Total,Total,1935.377,0.5047130869076154,0.43623097722045884,0.26172185,0.24211293000000003,0.25210923,0.185,0.05905599,"comp2v13b_i5_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias dissimulent le remplacement de la population française par les immigrés"
Gender,Man,971.6732,0.5119796450082188,0.4488695376182033,0.28278602,0.22919342,0.24611649,0.20275284,0.03915102,"comp2v13b_i5_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias dissimulent le remplacement de la population française par les immigrés"
Gender,Woman,963.7041,0.4949999,0.425,0.24224811,0.2549999,0.25828991999999995,0.16533653999999998,0.07912553,"comp2v13b_i5_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias dissimulent le remplacement de la population française par les immigrés"
Age,18-24,154.9066,0.5957826845337771,0.3731389753567634,0.21752514,0.37878607,0.2349999,0.13761041,0.03107848,"comp2v13b_i5_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias dissimulent le remplacement de la population française par les immigrés"
Age,25-34,254.6808,0.495,0.4618243699564317,0.24618711,0.24742033999999996,0.3229671,0.13885735,0.04456806000000001,"comp2v13b_i5_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias dissimulent le remplacement de la population française par les immigrés"
Age,35-49,476.7228,0.4794626982388927,0.4249999,0.26807800000000004,0.2107363,0.26416903,0.16201667,0.095,"comp2v13b_i5_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias dissimulent le remplacement de la population française par les immigrés"
Age,50-64,527.0114,0.520855526085394,0.44134301459133524,0.28446519,0.23639033,0.24257407,0.19876895000000003,0.03780131,"comp2v13b_i5_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias dissimulent le remplacement de la population française par les immigrés"
Age,65+,522.0563,0.489870536951666,0.4464775159307531,0.25631622,0.23355449999999997,0.22107405,0.22540366,0.06365154,"comp2v13b_i5_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias dissimulent le remplacement de la population française par les immigrés"
Socio-Professional Category,Total-CSP+,602.8223,0.5549999,0.415,0.2916855,0.26316445,0.22693437,0.185,0.03321568,"comp2v13b_i5_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias dissimulent le remplacement de la population française par les immigrés"
Socio-Professional Category,Small Business owners,69.45517,0.4749999,0.5056535028277953,0.15329615,0.32342498999999997,0.245,0.26103428,0.01724458,"comp2v13b_i5_groupe2. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les médias dissimulent le remplacement de la population française par les immigrés"
