Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Plutôt pas d'accord,Pas du tout d'accord,No rep.,Question
Total,Total,5979.002,0.5978481024090642,0.3641455547263573,0.1531324,0.445,0.27397072,0.08989119,0.03800569,"q27_i28. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Beaucoup de gens se conduisent de manière méprisante à l'égard des immigrés"
Gender,Man,2929.637,0.5881807200004642,0.3786233584570375,0.13744478,0.45073605,0.27523205,0.10339167999999999,0.03319732,"q27_i28. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Beaucoup de gens se conduisent de manière méprisante à l'égard des immigrés"
Gender,Woman,3049.36,0.6071375632919694,0.35023644305690377,0.16820411,0.43893309,0.27331552,0.07692086,0.04262537,"q27_i28. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Beaucoup de gens se conduisent de manière méprisante à l'égard des immigrés"
Age,18-24,478.2759,0.6204625823713886,0.339794875719224,0.18298897999999997,0.43747343,0.25781228,0.08198289000000002,0.03974256,"q27_i28. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Beaucoup de gens se conduisent de manière méprisante à l'égard des immigrés"
Age,25-34,836.9062,0.6397837654924768,0.33196647366216187,0.19860338,0.44118051,0.23252379,0.09944269,0.02824953,"q27_i28. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Beaucoup de gens se conduisent de manière méprisante à l'égard des immigrés"
Age,35-49,1494.556,0.5813679112726455,0.39217165499318857,0.15097661,0.4303911,0.31985419,0.0723174,0.02646012,"q27_i28. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Beaucoup de gens se conduisent de manière méprisante à l'égard des immigrés"
Age,50-64,1554.412,0.5883956119741741,0.3685111797901715,0.14413952,0.445,0.2554835300000001,0.11228238999999998,0.04309456,"q27_i28. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Beaucoup de gens se conduisent de manière méprisante à l'égard des immigrés"
Age,65+,1614.848,0.5937711784638554,0.3578946749167724,0.13137552,0.46239572,0.27589984,0.0819949,0.04833472,"q27_i28. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Beaucoup de gens se conduisent de manière méprisante à l'égard des immigrés"
Socio-Professional Category,Total-CSP+,1734.019,0.6250444775979963,0.3518825918285786,0.16853939,0.4571033199999999,0.26628463,0.0849999,0.023072759999999998,"q27_i28. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Beaucoup de gens se conduisent de manière méprisante à l'égard des immigrés"
Socio-Professional Category,Small Business owners,212.9949,0.5865060618822329,0.3692724567583543,0.19511012000000003,0.39105058,0.28461757,0.085,0.04422173,"q27_i28. Voici maintenant une liste de phrases. Pour chacune d'elles, êtes-vous tout à fait, plutôt, plutôt pas ou pas du tout d'accord ?
- Beaucoup de gens se conduisent de manière méprisante à l'égard des immigrés"
